com.samsung.shealth.rewards,6261011,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2015-08-21 00:43:00.652,,,,2015-08-22 21:34:13.618,2015-08-21 00:43:00.813,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":101,""mValue2"":60}",TiXFQW5DKB,com.sec.android.app.shealth,goal.activity,2015-08-21 00:43:00.652,8d1e72be-688b-40b2-9420-c8938897ab97,0,
,2015-09-19 18:55:01.897,,,,2015-10-07 22:25:31.435,2015-09-19 18:55:01.982,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":121,""mValue2"":60}",TiXFQW5DKB,com.sec.android.app.shealth,goal.activity,2015-09-19 18:55:01.897,a9c147bf-1b89-444c-beac-0e4f66f4bd28,0,
,2016-06-22 21:22:13.635,,,,2016-06-23 22:34:37.984,2016-06-22 21:22:13.685,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":110,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-06-22 21:22:13.635,4bff8d05-b389-4995-95ef-9f097d6039d2,0,
,2016-09-10 21:04:00.851,,,,2016-09-11 21:55:01.613,2016-09-10 21:04:00.909,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":85,""mValue2"":60}",J9OOjwOhpg,com.sec.android.app.shealth,goal.activity,2016-09-10 21:04:00.851,f296683e-c95b-4430-b5fb-650a0005e654,0,
5000,,1001,,f8a15b1b-86f9-da5b-7b80-27ec8d92cd2e,2016-10-16 23:18:33.304,2016-10-16 23:18:33.304,,,5000,UTC-0400,1800000,Sg8DVB0xC3,com.sec.android.app.shealth,sport.tracker.goal.achievement.duration,2016-10-16 23:18:29.284,49606e92-4a25-424f-88eb-08a1f2dd8c21,0,
,2015-07-13 01:48:52.804,,,,2015-07-15 01:55:06.263,2015-07-13 01:48:52.937,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":103,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-07-13 01:48:52.804,71c4d38d-97e6-4e88-9af1-1bfae82bb666,0,
,2016-10-21 20:53:23.544,,,,2016-10-23 19:29:46.150,2016-10-21 20:53:23.934,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":89,""mValue2"":60}",Sg8DVB0xC3,com.sec.android.app.shealth,goal.activity,2016-10-21 20:53:23.544,019d0a3a-a021-46aa-ab9c-a4db7257f1d7,0,
,2016-07-29 23:11:14.039,,,,2016-07-30 19:59:01.339,2016-07-29 23:11:14.098,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":128,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-07-29 23:11:14.039,6f5fffcb-9c96-48f2-ab76-3180816fdeae,0,
5000,,1001,,7fa47fb5-2639-e56d-1c74-9a61094d609f,2016-03-23 19:28:44.328,2016-03-23 19:28:44.328,,,5000,UTC-0400,2400000,OBFuvbOf82,com.sec.android.app.shealth,sport.tracker.goal.achievement.duration,2016-03-23 19:28:40.893,53b065e6-1de6-4cf2-9d64-92f1b3ddd6a4,0,
,2016-07-02 00:10:24.346,,,,2016-07-05 21:09:57.631,2016-07-02 00:10:24.501,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":152,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-07-02 00:10:24.346,f8115beb-c340-4d45-9388-924669776d93,0,
