com.samsung.shealth.food_frequent,6242001,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.91,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.91,0.91,0.91,riNzA2w1UR,com.sec.android.app.shealth,0.91,2e9bcd73-4e21-4856-bca9-bdf393fd639c,6f890fe5-342b-4508-93bc-16a6af65f59a,0.91,
0.67,2021-08-25 22:15:03.021,2021-08-25 22:15:03.021,0.67,0.67,0.67,yEjG51P5jF,com.sec.android.app.shealth,0.67,f7c8582c-39ac-4548-9e83-1240b828d9a6,daf5774f-89b4-4c43-9390-91b2f4a8de40,0.67,
0.91,2015-04-27 16:30:09.428,2015-04-27 16:30:09.428,0.91,0.91,0.91,ScgltublDV,com.sec.android.app.shealth,0.91,c54af857-cf59-49cf-9f18-973cd7c6b28a,5757c375-ecd0-4194-8187-aa568b47da12,0.91,
0.63,2017-09-06 21:57:28.345,2017-09-06 21:57:28.345,0.63,0.63,0.63,EHdtKydEi4,com.sec.android.app.shealth,0.63,3f5d3d76-aa6e-4b4b-a646-027dca28079d,f94a8835-64b1-4d84-b0f2-1465a44b927a,0.63,
0.79,2015-11-19 02:53:47.047,2015-11-19 02:53:47.047,0.79,0.79,0.79,OBFuvbOf82,com.sec.android.app.shealth,0.79,f07ed0b6-30b5-4633-9f16-fabde2f5794f,457e4c2e-08f9-41d8-9832-e0fd4dd99136,0.79,
0.79,2019-08-21 16:20:11.380,2019-08-21 16:20:11.380,0.79,0.79,0.79,cfxbbbfj2r,com.sec.android.app.shealth,0.79,12ab03d7-f356-4478-95bc-7c9756c75a65,82b1017f-345c-43c6-abfa-d1faa94bf827,0.79,
0.71,2021-08-25 22:15:03.021,2021-08-25 22:15:03.021,0.71,0.71,0.71,yEjG51P5jF,com.sec.android.app.shealth,0.71,9039c11e-ddc8-40b5-8448-f39fe97a1ae1,5f6bfec7-43b3-451f-a578-0e519f2504a7,0.71,
0.99,2020-10-16 23:26:05.948,2020-10-16 23:26:05.948,0.99,0.99,0.99,KwIsSebkfa,com.sec.android.app.shealth,0.99,2e572791-2eb4-4437-b38c-09a5cfc39f7d,219e7aa4-a18c-4e0e-9b9e-f9dd7fdb0465,0.99,
0.63,2020-10-16 23:26:05.950,2020-10-16 23:26:05.950,0.63,0.63,0.63,KwIsSebkfa,com.sec.android.app.shealth,0.63,ade6103d-29c4-4e7d-a071-86741348b103,0bc277c5-003d-4585-8916-c91e94e1ce43,0.63,
0.63,2019-08-21 16:20:11.381,2019-08-21 16:20:11.381,0.63,0.63,0.63,cfxbbbfj2r,com.sec.android.app.shealth,0.63,58440397-9d3a-4e8a-8e54-c045bafb3a6e,b467c87c-f475-419d-92d4-da00895a1288,0.63,
0.83,2015-11-19 02:53:47.047,2015-11-19 02:53:47.047,0.83,0.83,0.83,OBFuvbOf82,com.sec.android.app.shealth,0.83,4502a2b5-8d1e-4873-8d90-8ee03b32e3fc,d209372d-4be6-4e64-a231-159b0d1d0925,0.83,
0.79,2015-04-27 16:30:09.429,2015-04-27 16:30:09.429,0.79,0.79,0.79,ScgltublDV,com.sec.android.app.shealth,0.79,6553bf7f-c29b-409b-bd22-a2d304aa9a42,0943c884-c516-4fcc-b555-60ea41b80e97,0.79,
0.71,2015-04-27 16:30:09.429,2015-04-27 16:30:09.429,0.71,0.71,0.71,ScgltublDV,com.sec.android.app.shealth,0.71,1cd07d79-2ed1-4051-93e9-0510f935bce6,ba3d8ef0-a2b4-44b4-90dc-87397ad97e79,0.71,
0.79,2017-09-06 21:57:28.344,2017-09-06 21:57:28.344,0.79,0.79,0.79,EHdtKydEi4,com.sec.android.app.shealth,0.79,3ab2bf3c-6dbd-446a-a93a-cec129768efd,b4ddaa90-a4b5-4ece-8fc7-670dd376d8d9,0.79,
0.67,2017-09-06 21:57:28.344,2017-09-06 21:57:28.344,0.67,0.67,0.67,EHdtKydEi4,com.sec.android.app.shealth,0.67,6edb3118-a458-4393-b399-09e485882d0d,3f6ed5b2-565d-44f7-a607-69ef3242df84,0.67,
0.83,2019-08-21 16:20:11.380,2019-08-21 16:20:11.380,0.83,0.83,0.83,cfxbbbfj2r,com.sec.android.app.shealth,0.83,7a221d47-e478-45e2-8100-a9c536004cbf,9d9155e5-91d9-4fbf-bf78-c9ba6ad03465,0.83,
0.95,2019-08-21 16:20:11.379,2019-08-21 16:20:11.379,0.95,0.95,0.95,cfxbbbfj2r,com.sec.android.app.shealth,0.95,782a256d-d446-4ab0-aa6b-ceab56370ae6,9ee0559e-f2f6-43e6-89ae-033574af95b5,0.95,
0.95,2017-09-06 21:57:28.343,2017-09-06 21:57:28.343,0.95,0.95,0.95,EHdtKydEi4,com.sec.android.app.shealth,0.95,37af4f86-7ed5-43e4-9b9e-ed2fde91cbeb,bdc37838-bb7e-47e1-bd81-4429a0797b10,0.95,
0.79,2020-10-16 23:26:05.949,2020-10-16 23:26:05.949,0.79,0.79,0.79,KwIsSebkfa,com.sec.android.app.shealth,0.79,19de4e12-0009-407c-b4c8-4339eb6edf2c,4b53d611-ae43-49d1-8fe8-2d1623a709dd,0.79,
0.67,2016-11-04 16:33:07.915,2016-11-04 16:33:07.915,0.67,0.67,0.67,Q2GTsbBv8Q,com.sec.android.app.shealth,0.67,dc793e95-1c99-4127-b972-cce9ee4cf609,2709b2f4-5fdc-45fb-a09a-b5b3bd3f8ce6,0.67,
0.91,2020-10-16 23:26:05.949,2020-10-16 23:26:05.949,0.91,0.91,0.91,KwIsSebkfa,com.sec.android.app.shealth,0.91,b657e92d-d5b2-4186-ae49-ba4b78a1f302,cb041931-b46d-4358-941d-1c83bb82570c,0.91,
0.87,2015-04-27 16:30:09.428,2015-04-27 16:30:09.428,0.87,0.87,0.87,ScgltublDV,com.sec.android.app.shealth,0.87,7384414d-45a3-4329-b55c-eb85eb5badc0,05d61ae6-b233-4c37-9e4a-85d7de774bee,0.87,
0.75,2017-09-06 21:57:28.344,2017-09-06 21:57:28.344,0.75,0.75,0.75,EHdtKydEi4,com.sec.android.app.shealth,0.75,ce69612e-9da7-49f6-9055-912f760277ea,7d5b33e7-fb44-4f6b-8afd-d2ecc815925f,0.75,
0.79,2021-08-25 22:15:03.021,2021-08-25 22:15:03.021,0.79,0.79,0.79,yEjG51P5jF,com.sec.android.app.shealth,0.79,2551e65f-09ca-48f9-be88-3f23ccf0545b,49332479-098a-4be0-8cd9-32dfd90fd13c,0.79,
0.75,2015-04-27 16:30:09.429,2015-04-27 16:30:09.429,0.75,0.75,0.75,ScgltublDV,com.sec.android.app.shealth,0.75,c5d0f133-af88-4835-a6a1-dda024115603,25df6fb1-2712-4026-b9c0-dcf5633f0616,0.75,
0.67,2020-10-16 23:26:05.950,2020-10-16 23:26:05.950,0.67,0.67,0.67,KwIsSebkfa,com.sec.android.app.shealth,0.67,f903cedc-20d1-4589-a04f-dab26e3502ad,4cd8b095-1bbb-495e-b765-500edb92aaae,0.67,
0.67,2015-11-19 02:53:47.047,2015-11-19 02:53:47.047,0.67,0.67,0.67,OBFuvbOf82,com.sec.android.app.shealth,0.67,b7d7fa68-3729-40d5-a532-04a589d1a492,f20c4875-9944-418d-b901-b6faf3dc8cba,0.67,
0.99,2016-11-04 16:33:07.912,2016-11-04 16:33:07.912,0.99,0.99,0.99,Q2GTsbBv8Q,com.sec.android.app.shealth,0.99,643bf6b6-45b8-4721-b401-eca58ebed0e9,5cb54add-d819-4057-92fd-112d3ecdde4e,0.99,
0.87,2017-09-06 21:57:28.344,2017-09-06 21:57:28.344,0.87,0.87,0.87,EHdtKydEi4,com.sec.android.app.shealth,0.87,847e423f-6aa0-40d7-b52b-028451cf72fb,b5b78e02-e78d-4ff5-b074-6c9269552744,0.87,
0.95,2021-08-25 22:15:03.020,2021-08-25 22:15:03.020,0.95,0.95,0.95,yEjG51P5jF,com.sec.android.app.shealth,0.95,e75ba80f-c498-4626-95b0-66ae9842583e,99255cd9-4739-4e36-a00c-eb7356ce666d,0.95,
0.99,2017-09-06 21:57:28.343,2017-09-06 21:57:28.343,0.99,0.99,0.99,EHdtKydEi4,com.sec.android.app.shealth,0.99,f0f926c6-447e-4905-aa14-09b11f743610,5505e386-c67c-4fe6-b229-19df1fe23ac9,0.99,
