com.samsung.shealth.stand_day_summary,6261011,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,262145,,2020-02-07 23:08:19.284,2020-02-07 05:00:03.481,PEzvKidhug,com.sec.android.app.shealth,547ec79d-0e09-88eb-12f2-0b35dd3b955a,1581033600000,
,0,,2020-10-16 04:00:03.579,2020-10-16 04:00:03.579,PEzvKidhug,com.sec.android.app.shealth,acc6367b-c53f-f18b-7f78-7328052deb5f,1602806400000,
,524288,,2020-01-07 00:21:52.290,2020-01-06 05:00:04.646,PEzvKidhug,com.sec.android.app.shealth,696038e7-97e8-921e-e816-893b2f5334a6,1578268800000,
,0,,2020-07-29 07:23:19.116,2020-07-29 07:23:19.116,PEzvKidhug,com.sec.android.app.shealth,5dc0d832-5601-64e5-b7a0-315873bc95b4,1595980800000,
,0,,2020-03-06 05:00:03.647,2020-03-06 05:00:03.646,PEzvKidhug,com.sec.android.app.shealth,37364682-9ffd-6fe3-e9ff-14958622b631,1583452800000,
,32768,,2020-05-18 19:33:45.291,2020-05-18 05:42:32.987,PEzvKidhug,com.sec.android.app.shealth,626f0468-1578-b562-e3fc-cd66dd837787,1589760000000,
,0,,2020-12-14 05:00:04.373,2020-12-14 05:00:04.373,PEzvKidhug,com.sec.android.app.shealth,917daffa-cbb2-8f2f-9198-f1ecc9dd34b6,1607904000000,
,0,,2021-06-02 16:24:48.535,2021-06-02 04:00:04.141,C2yRtg360R,com.sec.android.app.shealth,3fd92032-4ec5-1af8-41d2-0876ea560072,1622592000000,
,524288,,2019-12-10 00:25:19.311,2019-12-09 05:00:06.022,PEzvKidhug,com.sec.android.app.shealth,82a72ea2-32a3-f5a3-afaa-cd56d9bf568f,1575849600000,
,0,,2020-07-22 04:00:04.649,2020-07-22 04:00:04.649,PEzvKidhug,com.sec.android.app.shealth,a97d09b1-8920-0053-90b9-536044af9e22,1595376000000,
,0,,2020-11-21 05:00:08.216,2020-11-21 05:00:08.216,PEzvKidhug,com.sec.android.app.shealth,975aee3d-ca62-fb16-8211-283c607411f5,1605916800000,
,0,,2020-10-10 04:00:08.507,2020-10-10 04:00:08.506,PEzvKidhug,com.sec.android.app.shealth,c579e56c-d574-eb60-a3d8-50604798747f,1602288000000,
,1048576,,2020-01-15 01:55:50.285,2020-01-14 05:00:04.608,PEzvKidhug,com.sec.android.app.shealth,5417eaa4-8738-54d3-aedb-9676ce95e387,1578960000000,
,0,,2020-07-26 04:00:07.741,2020-07-26 04:00:07.741,PEzvKidhug,com.sec.android.app.shealth,d896cfac-b981-0a08-ede5-14601aabcf50,1595721600000,
,0,,2021-07-14 04:00:07.800,2021-07-14 04:00:07.800,C2yRtg360R,com.sec.android.app.shealth,eb253c30-3c45-1a77-768f-0a838541b063,1626220800000,
,40960,,2020-03-12 19:02:07.321,2020-03-12 04:00:05.954,PEzvKidhug,com.sec.android.app.shealth,b5b332a5-285b-bd48-462d-f2da1e22fafd,1583971200000,
,32768,,2020-01-16 20:40:47.298,2020-01-16 05:00:04.714,PEzvKidhug,com.sec.android.app.shealth,2a1632bf-e957-0b86-bb9f-4b0c4cc8fb98,1579132800000,
,0,,2019-09-04 04:00:05.314,2019-09-04 04:00:05.314,PEzvKidhug,com.sec.android.app.shealth,cf03eaae-54c0-6c1e-2f9d-89bf4109731b,1567555200000,
,0,,2020-05-04 06:18:59.648,2020-05-04 06:18:59.648,PEzvKidhug,com.sec.android.app.shealth,f9fc5ed7-fae4-bd95-fac7-54517096542c,1588550400000,
,0,,2021-01-05 05:00:08.391,2021-01-05 05:00:08.381,PEzvKidhug,com.sec.android.app.shealth,978e5647-5dc6-a90e-467c-f6e384c019ce,1609804800000,
,524288,,2021-06-10 23:47:11.291,2021-06-10 04:00:06.496,C2yRtg360R,com.sec.android.app.shealth,bee6d821-c0b9-5f76-d3cf-ac54001620a5,1623283200000,
,0,,2019-09-20 04:09:06.363,2019-09-20 04:09:06.363,PEzvKidhug,com.sec.android.app.shealth,de93b442-950a-52ad-89aa-4df3b22bcce0,1568937600000,
,4194304,,2020-03-08 03:53:32.268,2020-03-07 05:00:03.594,PEzvKidhug,com.sec.android.app.shealth,9d7cb330-048b-eab0-8c3c-3d3643f7895b,1583539200000,
,0,,2020-04-28 04:00:02.580,2020-04-28 04:00:02.580,PEzvKidhug,com.sec.android.app.shealth,bc253ecf-cdf3-773a-85f3-ef024c24df7e,1588032000000,
,0,,2020-10-12 16:41:04.929,2020-10-12 16:41:04.929,PEzvKidhug,com.sec.android.app.shealth,f036bfa5-3b25-977a-e8f5-992295b6d400,1602460800000,
,0,,2020-06-23 04:00:07.688,2020-06-23 04:00:07.688,PEzvKidhug,com.sec.android.app.shealth,46f51529-a609-e690-bc23-4b25e55e8275,1592870400000,
,2097152,,2020-11-12 02:00:39.288,2020-11-11 05:00:13.836,PEzvKidhug,com.sec.android.app.shealth,647a8205-3f39-e47a-db17-b5108b4e0342,1605052800000,
,0,,2021-05-14 04:00:04.732,2021-05-14 04:00:04.731,C2yRtg360R,com.sec.android.app.shealth,44405e5f-c33e-5607-ab59-66a19ca63f08,1620950400000,
,0,,2020-06-16 15:22:29.826,2020-06-16 15:22:29.826,PEzvKidhug,com.sec.android.app.shealth,e8e62a26-acae-caf5-8ca8-90baea6e90e1,1592265600000,
,131072,,2021-08-21 21:57:10.993,2021-08-21 04:00:03.986,C2yRtg360R,com.sec.android.app.shealth,d976edb7-63f7-bf62-b49b-5254d7402241,1629504000000,
,0,,2021-01-15 05:00:03.581,2021-01-15 05:00:03.581,PEzvKidhug,com.sec.android.app.shealth,9a16ba89-540a-dc91-ffd5-6b2822ae8900,1610668800000,
