com.samsung.shealth.exercise,6261011,14
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
b2d66068-0fef-8022-ba3a-251eb4b91c45.live_data_internal.json,1800000,,,,,214.81944,1,,,,,1,2,,,,1,2006,,0.0,,,b2d66068-0fef-8022-ba3a-251eb4b91c45.location_data_internal.json,,,2017119,,,,b2d66068-0fef-8022-ba3a-251eb4b91c45.com.samsung.health.exercise.location_data.json,2017-10-26 21:45:06.045,1001,,291.578,638.674,136.0,,,238.082,,157.0,2017-10-26 22:19:17.778,2017-10-26 22:19:13.408,,2.243,0.0,78.0,,2349.748,,214.153,0.0,649.056,,UTC-0400,PEzvKidhug,,,b2d66068-0fef-8022-ba3a-251eb4b91c45.com.samsung.health.exercise.live_data.json,,1.1665565,com.sec.android.app.shealth,,,,2017-10-26 22:19:13.114,b2d66068-0fef-8022-ba3a-251eb4b91c45,,
,1800000,,,,,,0,,,,,1,2,,,,1,1483,,0.0,,,,,,1536000,,,,70bd79a9-bb6a-6547-7348-756b2e5ece51.com.samsung.health.exercise.location_data.json,2016-06-20 23:53:57.371,1002,,262.28162,1572.06,191.0,,,236.90561,,245.0,2016-06-21 00:50:33.508,2016-06-21 00:19:33.339,,3.675,,100.0,,4014.123,,334.0,,1257.349,,UTC-0400,ROm+XQMkto,,,70bd79a9-bb6a-6547-7348-756b2e5ece51.com.samsung.health.exercise.live_data.json,,2.652,com.sec.android.app.shealth,,,,2016-06-21 00:19:33.238,70bd79a9-bb6a-6547-7348-756b2e5ece51,,
,0,,,,,75.62,0,,,,,4,0,,,,0,0,,0.0,,,7fda6e4c-d69a-1996-fc6a-31ce93a2c859.location_data_internal.json,,,1178749,,,,7fda6e4c-d69a-1996-fc6a-31ce93a2c859.com.samsung.health.exercise.location_data.json,2017-05-24 00:22:41.839,1001,,,,0.0,,,,,0.0,2017-05-24 00:43:22.516,2017-05-24 00:43:22.516,,1.2222222,0.0,0.0,,1218.25,,75.62,0.0,,,UTC-0500,PEzvKidhug,,,7fda6e4c-d69a-1996-fc6a-31ce93a2c859.com.samsung.health.exercise.live_data.json,,1.0603876,com.sec.android.app.shealth,,,,2017-05-24 00:42:20.588,7fda6e4c-d69a-1996-fc6a-31ce93a2c859,,
,4828,,,,,,0,,,,,1,1,,,,1,3526,,0.0,,,,,,3734000,,,,b1cc77df-acae-d282-ffec-8417ebbf13ad.com.samsung.health.exercise.location_data.json,2016-05-13 21:23:19.198,1001,,288.325,418.177,169.0,,,259.123,,206.0,2016-05-13 22:25:40.248,2016-05-13 22:25:33.948,,1.372,,76.0,,4721.298,,257.0,,410.117,,UTC-0400,ROm+XQMkto,,,b1cc77df-acae-d282-ffec-8417ebbf13ad.com.samsung.health.exercise.live_data.json,,1.095,com.sec.android.app.shealth,,,,2016-05-13 22:25:33.891,b1cc77df-acae-d282-ffec-8417ebbf13ad,,
,0,,,,,,0,,,,,4,0,,,,1,0,,0.0,,,,,,708766,,,,1e2b33a3-cb56-599c-0cbe-3c9784330174.com.samsung.health.exercise.location_data.json,2016-07-18 15:46:11.322,11007,,,0.0,0.0,,,,,0.0,2016-11-04 16:37:45.911,2016-07-18 15:58:58.387,,0.0,,0.0,,0.0,,126.0,,0.0,,UTC-0400,ROm+XQMkto,,,1e2b33a3-cb56-599c-0cbe-3c9784330174.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,2016-07-18 15:58:00.088,1e2b33a3-cb56-599c-0cbe-3c9784330174,,
,0,,,,,,0,,,,,4,0,,,,1,0,,0.0,,,,,,1236732,,,,225a13a8-09bb-e9db-cf4f-7fc436b52e20.com.samsung.health.exercise.location_data.json,2016-08-03 23:41:05.801,1001,,,0.0,0.0,,,,,0.0,2016-11-04 16:36:17.621,2016-08-04 00:01:43.374,,1.6111112,,0.0,,1492.79,,85.0,,0.0,,UTC-0400,ROm+XQMkto,,,225a13a8-09bb-e9db-cf4f-7fc436b52e20.com.samsung.health.exercise.live_data.json,,1.4104894,com.sec.android.app.shealth,,,,2016-08-04 00:01:42.533,225a13a8-09bb-e9db-cf4f-7fc436b52e20,,
9293b8d2-0428-ca2d-2e69-b5bf0bc0dde1.live_data_internal.json,1609,,,,,123.461784,1,,,,,1,1,,,,1,1529,,0.0,,,9293b8d2-0428-ca2d-2e69-b5bf0bc0dde1.location_data_internal.json,,,1536950,,,,9293b8d2-0428-ca2d-2e69-b5bf0bc0dde1.com.samsung.health.exercise.location_data.json,2017-01-14 18:25:02.821,1001,,226.438,375.87,137.0,,,195.253,,165.0,2017-01-14 18:53:50.275,2017-01-14 18:53:46.109,,2.467,0.0,78.0,,2159.648,,119.447,0.0,72.156,,UTC-0600,PEzvKidhug,,,9293b8d2-0428-ca2d-2e69-b5bf0bc0dde1.com.samsung.health.exercise.live_data.json,,1.4051517,com.sec.android.app.shealth,,,,2017-01-14 18:53:45.940,9293b8d2-0428-ca2d-2e69-b5bf0bc0dde1,,
,0,,,,,,0,,,,,4,0,,,,1,0,,0.0,,,,,,1079026,,,,5640f646-3963-1587-8a17-b1a3d171eced.com.samsung.health.exercise.location_data.json,2015-11-22 21:14:37.710,1001,,,0.0,0.0,,,,,0.0,2015-11-22 21:32:38.940,2015-11-22 21:32:37.275,,1.4648656,,0.0,,1248.44,,66.0,,0.0,,UTC-0500,ROm+XQMkto,,,5640f646-3963-1587-8a17-b1a3d171eced.com.samsung.health.exercise.live_data.json,,1.3587066,com.sec.android.app.shealth,,,,2015-11-22 21:32:36.736,5640f646-3963-1587-8a17-b1a3d171eced,,
abdb2106-8856-7204-a161-d10b57cd8e39.live_data_internal.json,1800000,,,,,68.311325,0,,,,,1,2,,,,1,815,,0.0,,,abdb2106-8856-7204-a161-d10b57cd8e39.location_data_internal.json,,,814909,,,,abdb2106-8856-7204-a161-d10b57cd8e39.com.samsung.health.exercise.location_data.json,2017-10-14 22:42:34.771,1001,,274.405,17.774,139.0,,,269.065,,168.0,2017-10-14 22:56:23.778,2017-10-14 22:56:19.481,,1.8,0.0,111.0,,934.963,,68.092,0.0,56.152,,UTC-0400,PEzvKidhug,,,abdb2106-8856-7204-a161-d10b57cd8e39.com.samsung.health.exercise.live_data.json,,1.1473205,com.sec.android.app.shealth,,,,2017-10-14 22:56:19.370,abdb2106-8856-7204-a161-d10b57cd8e39,,
,1800000,,,,,,0,,,,,1,2,,,,1,1116,,0.0,,,,,,1166000,,,,6a55ffb3-5c9e-19f2-d0c5-c1b099f1ee3e.com.samsung.health.exercise.location_data.json,2016-09-30 19:17:28.512,1001,,295.744,309.208,163.0,,,281.178,,209.0,2016-09-30 19:57:17.984,2016-09-30 19:57:12.167,,1.434,,91.0,,1445.596,,80.0,,283.702,,UTC-0400,ROm+XQMkto,,,6a55ffb3-5c9e-19f2-d0c5-c1b099f1ee3e.com.samsung.health.exercise.live_data.json,,1.253,com.sec.android.app.shealth,,,,2016-09-30 19:57:12.085,6a55ffb3-5c9e-19f2-d0c5-c1b099f1ee3e,,
