com.samsung.shealth.calories_burned.details,6261011,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,aac4b34b-dca2-41bf-be70-83eacd965928.extra_data.json,,,,260.7,1422664,1823.873,,2018-11-28 00:36:46.825,2018-11-01 04:00:01.269,104.57001,Mz5pMh3q+T,com.sec.android.app.shealth,aac4b34b-dca2-41bf-be70-83eacd965928,1541030400000,
,,a1ae886b-f239-4035-a59b-45c3da7a4736.extra_data.json,,,,354.5,646900,1840.5233,,2018-05-10 23:07:32.574,2018-04-13 05:00:00.600,49.23,9wVta8KBzt,com.sec.android.app.shealth,a1ae886b-f239-4035-a59b-45c3da7a4736,1523577600000,
,,9bbd5169-1d8a-4f2d-9a90-a17b1dafbc48.extra_data.json,,,,260.7,63365,1853.0476,,2018-05-12 19:26:00.228,2018-04-15 04:00:01.194,4.65,9wVta8KBzt,com.sec.android.app.shealth,9bbd5169-1d8a-4f2d-9a90-a17b1dafbc48,1523750400000,
,,940a23c3-381c-4294-ac58-bb2c3abe5ae0.extra_data.json,,,,0.0,5681325,1732.4691,,2018-12-28 21:35:35.439,2018-12-01 05:00:01.617,425.68002,Mz5pMh3q+T,com.sec.android.app.shealth,940a23c3-381c-4294-ac58-bb2c3abe5ae0,1543622400000,
,,11e597f9-84a9-4875-9e85-910809e40cef.extra_data.json,,,,260.7,82041,1852.647,,2018-11-22 20:26:07.080,2018-10-26 04:05:50.907,5.92,Mz5pMh3q+T,com.sec.android.app.shealth,11e597f9-84a9-4875-9e85-910809e40cef,1540512000000,
,,3a97309f-5b06-495d-aba9-70be6df79ee3.extra_data.json,,,,260.7,510255,1843.456,,2018-11-28 00:36:46.881,2018-11-04 04:00:01.083,34.929996,Mz5pMh3q+T,com.sec.android.app.shealth,3a97309f-5b06-495d-aba9-70be6df79ee3,1541289600000,
,,a1a2b1bf-3f05-43d6-bdc9-367d48d36c57.extra_data.json,,,,260.7,44689,1853.4486,,2018-11-28 00:36:46.871,2018-11-03 04:00:00.608,3.2600002,Mz5pMh3q+T,com.sec.android.app.shealth,a1a2b1bf-3f05-43d6-bdc9-367d48d36c57,1541203200000,
,,5050c58f-0e0d-4e39-9281-df577e64772d.extra_data.json,,,,267.6,3394752,1840.9285,,2018-03-13 23:01:06.723,2018-02-13 05:00:00.238,254.05003,EHdtKydEi4,com.sec.android.app.shealth,5050c58f-0e0d-4e39-9281-df577e64772d,1518480000000,
,,e32f1cc5-7368-4a2d-877f-91a195ce3ba1.extra_data.json,,,,263.0,809644,1837.0302,,2018-08-02 20:12:57.012,2018-07-06 04:00:05.435,61.7,9wVta8KBzt,com.sec.android.app.shealth,e32f1cc5-7368-4a2d-877f-91a195ce3ba1,1530835200000,
,,318f9326-d310-4dd6-8e2d-0ffeb92bfaef.extra_data.json,,,,0.0,3839937,1836.4802,,2017-12-05 04:51:53.494,2017-11-28 05:00:01.668,294.19107,EHdtKydEi4,com.sec.android.app.shealth,318f9326-d310-4dd6-8e2d-0ffeb92bfaef,1511827200000,
,,486a7506-1b97-4d5b-a618-0941452618a3.extra_data.json,,,,173.8,0,1848.7308,,2019-01-02 02:16:26.293,2018-12-05 05:15:51.525,0.0,Mz5pMh3q+T,com.sec.android.app.shealth,486a7506-1b97-4d5b-a618-0941452618a3,1543968000000,
,,94a706fe-0e41-405b-9624-65bb14efc148.extra_data.json,,,,260.7,3877499,1771.1848,,2018-04-16 20:15:58.530,2018-03-20 04:00:00.379,282.8188,9wVta8KBzt,com.sec.android.app.shealth,94a706fe-0e41-405b-9624-65bb14efc148,1521504000000,
,,3096d970-30f8-4a8e-85dc-4945eec22674.extra_data.json,,,,354.5,1833106,1815.0637,,2018-05-21 00:31:22.744,2018-04-23 06:07:57.130,136.78,9wVta8KBzt,com.sec.android.app.shealth,3096d970-30f8-4a8e-85dc-4945eec22674,1524441600000,
,,676636f5-ee64-48c2-9a72-daf92f7e24b4.extra_data.json,,,,260.7,2063146,1810.1263,,2018-06-23 00:33:36.943,2018-05-26 04:00:01.431,146.88098,9wVta8KBzt,com.sec.android.app.shealth,676636f5-ee64-48c2-9a72-daf92f7e24b4,1527292800000,
