com.samsung.shealth.exercise.weather,6261011,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
1.0,,2021-07-08 22:50:34.740,35.96569,,,Partly Cloudy,,1,TWC,2021-07-08 23:04:01.827,2021-07-08 23:04:00.568,0,-83.91852,30.0,58,UTC-0400,C2yRtg360R,a40d0f9f-3227-5bdd-0d65-d48dce5ae511,com.sec.android.app.shealth,,,,2,db18a817-d498-eccb-0002-3273234ea631,
3.0,,2021-06-12 21:53:13.510,35.957672,,,Fair,,1,TWC,2021-06-12 22:13:50.441,2021-06-12 22:13:48.270,0,-83.90831,31.0,51,UTC-0400,C2yRtg360R,5891212c-cb48-14b0-7ab8-a67ec76bcac3,com.sec.android.app.shealth,,,,1,17e26237-bbc3-dac0-2e34-0bcbd6bd985e,
4.0,,2020-10-08 19:32:14.881,35.936127,,,Fair,,1,TWC,2020-10-08 19:48:33.391,2020-10-08 19:48:33.391,0,-83.9573,26.0,56,UTC-0400,PEzvKidhug,2ea1522a-e523-c4a9-f0c3-13ed29033162,com.sec.android.app.shealth,,,,1,03d635b7-0f04-1576-7508-88bda8587acf,
3.0,,2021-05-13 21:36:06.520,35.934788,,,Partly Cloudy,,1,TWC,2021-05-13 21:54:59.606,2021-05-13 21:54:57.825,0,-83.95975,21.0,28,UTC-0400,C2yRtg360R,620d2b56-83c8-3662-1908-0a0334298cf8,com.sec.android.app.shealth,,,,2,3f4b3d05-a34b-8edf-f4c6-a801dcd554ee,
3.0,,2018-04-28 21:00:17.921,35.926083,,,Partly Cloudy,,1,TWC,2018-04-28 21:15:49.348,2018-04-28 21:15:49.348,0,-84.038506,24.0,27,UTC+0000,PEzvKidhug,5dcf6ddc-7c4d-dba2-0acc-cece60d4101d,com.sec.android.app.shealth,,,,2,b247c545-c88f-d404-7757-d043a5309840,
7.0,,2020-09-14 19:07:57.930,35.93851,,,Partly Cloudy,,1,TWC,2020-09-14 19:48:36.162,2020-09-14 19:48:36.162,0,-83.9581,29.0,60,UTC-0400,PEzvKidhug,3a694deb-a9a9-4a2d-89e2-f923adfffee0,com.sec.android.app.shealth,,,,2,946960a5-6250-f606-7cdf-a18a25470f26,
0.0,,2020-04-10 04:53:01.637,35.93724,,,Partly Cloudy,,1,TWC,2020-04-10 05:07:00.708,2020-04-10 05:07:00.708,0,-83.9573,12.0,44,UTC-0400,PEzvKidhug,802cc7e3-8d59-7ad8-d19e-31e428848610,com.sec.android.app.shealth,,,,19,e4f2ecda-da53-dfc7-7235-cfe6c7e634d7,
4.0,,2021-07-21 21:36:22.390,35.94001,,,Fair,,1,TWC,2021-07-21 22:16:37.920,2021-07-21 22:16:32.367,0,-83.9584,31.055557,44,UTC-0400,C2yRtg360R,ac3d991a-8981-2dd9-517c-b8bc4583db53,com.sec.android.app.shealth,,,,1,4479d49f-8c4e-fda7-b679-d43cb8937a01,
0.0,,2021-05-27 23:43:30.820,35.96395,,,Partly Cloudy,,1,TWC,2021-05-27 23:57:47.692,2021-05-27 23:57:45.842,0,-83.91877,28.0,54,UTC-0400,C2yRtg360R,2a65ddf0-127b-d2c5-6d77-8fd13930bd30,com.sec.android.app.shealth,,,,2,764a7e70-34f5-ea4f-d1d5-87149de072ad,
0.0,,2017-06-04 23:36:02.702,35.958054,,SSW,Thunderstorm,,1,AccuWeather,2017-06-05 00:19:00.555,2017-06-05 00:19:00.555,0,-83.934296,23.6,87,UTC+0000,PEzvKidhug,5b96dcfc-db7a-64f6-f3cd-841140e9ff17,com.sec.android.app.shealth,km/h,,7.0,9,829a6280-4d09-93d7-b7ce-78283ec027bf,
1.0,,2021-03-29 22:10:28.230,35.92975,,,Sunny,,1,TWC,2021-03-29 22:37:06.975,2021-03-29 22:37:06.443,0,-83.96873,17.0,24,UTC-0400,C2yRtg360R,9c18bf73-2949-774b-7766-8614977eb9bd,com.sec.android.app.shealth,,,,1,44c70cc6-5c0b-5328-5fde-03ad4d1c4387,
1.0,,2016-03-13 20:23:02.668,35.94535,,SW,Cloudy,,1,AccuWeather,2016-03-13 21:00:06.296,2016-03-13 21:00:06.296,0,-83.949715,21.1,67,UTC+0000,ROm+XQMkto,a0de5b9f-b92c-d23e-a738-3099b1f5ebc4,com.sec.android.app.shealth,km/h,,7.0,3,7a649ca1-5151-6a4c-a297-8a41d6e76bf1,
0.0,,2018-05-24 00:53:36.880,35.955215,,,Partly Cloudy,,1,TWC,2018-05-24 01:12:54.990,2018-05-24 01:12:54.990,0,-83.93814,26.0,64,UTC+0000,PEzvKidhug,fb0fe022-f268-023d-02d8-54a8122c28a5,com.sec.android.app.shealth,,,,19,8f828483-0f2b-694c-b36f-7a6fd8ef1c76,
,,2022-09-01 18:21:29.936,35.931545,,30.NNE,Fair,,1,TWC,2022-09-01 18:43:28.342,2022-09-01 18:43:28.342,1,-83.95788,31.0,41,UTC-0400,fOrMnGyNlI,d752d9c7-4499-49cf-934f-25ccc62e5854,com.sec.android.app.shealth,km/h,,6.0,1,b65abc67-7ec7-45c2-af7a-e8dd78bcbb0d,
0.0,,2021-05-26 00:17:52.470,35.97016,,,Fair,,1,TWC,2021-05-26 00:39:24.804,2021-05-26 00:39:21.988,0,-83.918846,28.0,52,UTC-0400,C2yRtg360R,0c1ec183-c345-bc16-523f-236171b28dc2,com.sec.android.app.shealth,,,,1,e979d0a4-aacb-9502-a1f3-71e0572f3ec3,
,,2018-06-16 02:04:23.876,35.956055,,,Clear,,1,TWC,2018-06-16 02:25:02.442,2018-06-16 02:25:02.442,0,-83.93906,27.666668,-1,UTC+0000,PEzvKidhug,77614250-c51d-b636-ab91-3b566b749c47,com.sec.android.app.shealth,,,,18,42de1926-8713-7737-227f-16ad51fc4eaa,
,,2022-06-03 20:30:08.238,35.932327,,10.N,Fair,,1,TWC,2022-06-03 21:53:36.634,2022-06-03 21:53:36.634,1,-83.95766,26.0,46,UTC-0400,t26sjZf3K8,d3ebba30-51d6-4edb-8266-e3b0f858794d,com.sec.android.app.shealth,km/h,,8.0,1,66f3f288-8089-40b6-a96e-fb31ffdeda7f,
0.0,,2016-06-17 23:45:43.424,35.956463,,N,Partly sunny,,1,AccuWeather,2016-06-18 00:07:44.674,2016-06-18 00:07:44.674,0,-83.92136,26.7,55,UTC+0000,ROm+XQMkto,7ddcceaa-5e72-1131-1d77-d8b42d29194a,com.sec.android.app.shealth,km/h,,7.0,2,b329cc55-e69f-10c3-b1ff-c9eb88470a34,
,0,2020-06-10 21:50:52.195,35.93919,,SW. 220,Mostly Cloudy,0,1,TWC,2020-06-10 21:50:52.196,2020-06-10 21:50:52.196,1,-83.958275,29.0,70,UTC-0400,cfxbbbfj2r,803c1c58-6a0d-4ce4-9443-0e2bf188785f,com.sec.android.app.shealth,km/h,0,19.0,3,06d0d2a0-2f17-4ab1-a918-3420c7b35a9c,
8.0,,2021-05-13 18:53:21.980,35.936504,,,Sunny,,1,TWC,2021-05-13 19:14:36.421,2021-05-13 19:14:36.417,0,-83.956825,21.0,28,UTC-0400,C2yRtg360R,10e1f561-35a1-eed5-b1de-0b82eff5f0d3,com.sec.android.app.shealth,,,,1,7e998f21-98da-e11e-9ffb-9303b2c0fe77,
6.0,,2021-05-23 19:59:15.180,35.964928,,,Partly Cloudy,,1,TWC,2021-05-23 20:14:46.492,2021-05-23 20:14:45.497,0,-83.919174,31.0,32,UTC-0400,C2yRtg360R,cd002b62-51c7-12e4-9d0d-4083b4ee613b,com.sec.android.app.shealth,,,,2,bb6e4200-e6bd-a853-d27b-2a824aa4a357,
6.0,,2020-10-15 17:21:42.380,35.93597,,,Partly Cloudy,,1,TWC,2020-10-15 17:37:59.093,2020-10-15 17:37:59.093,0,-83.95701,25.0,60,UTC-0400,PEzvKidhug,c88e18c7-9bc7-e97e-3f2e-5b22c6ae2e41,com.sec.android.app.shealth,,,,2,862c13bc-d1be-5992-c930-76122c3e3e7f,
0.0,,2021-04-11 03:30:10.090,35.96475,,,Mostly Cloudy,,1,TWC,2021-04-11 03:44:36.622,2021-04-11 03:44:36.188,0,-83.91856,17.0,85,UTC-0400,C2yRtg360R,3cd87401-db22-0ed8-d494-3d0db8d2561d,com.sec.android.app.shealth,,,,19,8645bc2c-3a18-7825-68ae-00c37d510775,
8.0,,2021-04-16 18:17:27.710,35.93595,,,Sunny,,1,TWC,2021-04-16 18:51:01.319,2021-04-16 18:51:01.316,0,-83.957245,17.0,33,UTC-0400,C2yRtg360R,c0351218-970e-88a8-ed7c-57029b7c6f2a,com.sec.android.app.shealth,,,,1,4270b614-366b-6116-62b8-cdfedec7052d,
