com.samsung.health.food_info,6261011,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
708.0,10.0,24.0,,35.0,MyFitnessPal Dinner,,100003-Sat Feb 10 00:00:00 EST 2018,0,415.0,13.0,33.0,2018-02-13 02:47:45.130,2018-02-13 02:47:45.130,17.0,17.9,2.7,10.0,MyFitnessPal Dinner,3.0,,5.0,317.0,,,EHdtKydEi4,,9.1,0.0,com.myfitnesspal.android,19.0,,123bad30-80c1-4e7b-b018-517176d5389d,,
183.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Wed Mar 07 00:00:00 EST 2018,0,495.0,19.0,49.0,2018-03-10 02:21:09.474,2018-03-10 02:21:09.474,10.0,12.0,3.5,56.0,MyFitnessPal Dinner,4.0,,10.0,340.0,,,EHdtKydEi4,,21.0,0.0,com.myfitnesspal.android,30.0,,5afe9a9d-fce8-48dd-ac87-12a5412a9c45,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Sat Jan 13 00:00:00 EST 2018,0,125.0,11.0,32.0,2018-01-15 16:41:55.895,2018-01-15 16:41:55.895,0.0,6.0,0.0,31.0,MyFitnessPal Lunch,2.0,,8.0,425.0,,,EHdtKydEi4,,11.0,0.0,com.myfitnesspal.android,18.0,,36c11f8f-561c-4eb6-a768-b2a3f5f4f18f,,
760.0,35.0,25.0,,25.0,MyFitnessPal Snacks,,100005-Fri Feb 02 00:00:00 EST 2018,0,490.0,2.0,7.5,2018-02-04 20:25:38.426,2018-02-04 20:25:38.426,3.0,38.0,1.0,40.0,MyFitnessPal Snacks,1.0,,95.0,230.0,,,EHdtKydEi4,,1.5,0.0,com.myfitnesspal.android,5.0,,9d9db799-484d-4d32-8688-1af4498b4ffe,,
0.0,18.0,270.0,,30.0,MyFitnessPal Snacks,,100005-Thu Feb 15 00:00:00 EST 2018,0,1170.0,9.0,18.0,2018-02-17 18:35:18.013,2018-02-17 18:35:18.013,0.0,16.0,0.0,12.0,MyFitnessPal Snacks,0.0,,32.0,350.0,,,EHdtKydEi4,,6.0,0.0,com.myfitnesspal.android,27.0,,8f7e3127-f242-4213-ae4b-a28ff7048d94,,
630.0,4.0,0.0,,70.0,MyFitnessPal Dinner,,100003-Sun Feb 18 00:00:00 EST 2018,0,1547.5,29.0,48.5,2018-02-21 02:23:19.341,2018-02-21 02:23:19.341,1.0,34.0,0.5,15.2,MyFitnessPal Dinner,16.5,,278.0,635.0,,,EHdtKydEi4,,28.0,0.0,com.myfitnesspal.android,59.5,,c7d8a7af-2e65-4c46-a2b1-5c80a625650d,,
0.0,6.0,2.0,,10.0,MyFitnessPal Lunch,,100002-Fri Feb 23 00:00:00 EST 2018,0,165.0,9.0,20.5,2018-02-26 02:56:17.768,2018-02-26 02:56:17.768,4.25,10.0,1.5,9.0,MyFitnessPal Lunch,15.0,,24.0,439.0,,,EHdtKydEi4,,12.5,0.0,com.myfitnesspal.android,31.5,,0c6f52f7-3676-4c07-8d0c-89934ffa7dbc,,
27.0,25.0,30.0,,75.0,MyFitnessPal Dinner,,100003-Fri Jan 19 00:00:00 EST 2018,0,400.0,15.0,35.0,2018-01-22 01:32:31.188,2018-01-22 01:32:31.188,0.0,10.0,0.0,26.0,MyFitnessPal Dinner,4.0,,27.0,840.0,,,EHdtKydEi4,,20.0,0.0,com.myfitnesspal.android,21.0,,95ccd479-6afb-4639-b567-c752ed34a376,,
0.0,240.0,8.0,,40.0,MyFitnessPal Dinner,,100003-Wed Jan 10 00:00:00 EST 2018,0,960.0,8.0,34.0,2018-01-12 07:40:09.589,2018-01-12 07:40:09.589,0.0,18.0,0.0,20.0,MyFitnessPal Dinner,6.0,,50.0,440.0,,,EHdtKydEi4,,10.0,0.0,com.myfitnesspal.android,16.0,,4ec1bc68-5341-452a-a017-67b943af75b0,,
27.0,2.0,0.0,,45.0,MyFitnessPal Breakfast,,100001-Sun Mar 11 00:00:00 EST 2018,0,165.0,8.0,16.0,2018-03-14 02:30:13.231,2018-03-14 02:30:13.231,0.0,8.0,0.0,6.0,MyFitnessPal Breakfast,1.0,,22.0,610.0,,,EHdtKydEi4,,10.0,0.0,com.myfitnesspal.android,11.0,,4ccdfaab-9b29-4a72-8622-dd22b8e3ba22,,
