com.samsung.health.device_profile,6261011,7
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,connectivity_type,deviceuuid,pkg_name,fixed_name,datauuid
Samsung,,,,10026,,,,360001,2018-03-14 16:00:20.694,2014-11-13 05:21:50.498,SM-N910T,SM-N910T,4,uvU4k19tWW,com.sec.android.app.shealth,,baf53893-5f6d-5960-cc36-bad9ec3dd72e,
Samsung,,,,10009,,,,360001,2018-03-14 16:00:20.694,2015-01-20 01:30:18.174,SM-N910T,SM-N910T,4,+dPy1Pzb/V,com.sec.android.app.shealth,,f9d3f2d4-fcdb-fd5d-33fb-79005275315d,
Samsung,,,,10030,,,,360003,2018-03-14 16:00:20.694,2015-10-23 16:25:02.080,Gear S,,,npQ6AbI0iP,com.sec.android.app.shealth,,0bccc404-1871-3ca3-2604-1ceda773a7d5,
Samsung Electronics,1,,13,10038,1,b74f4f83-8174-f41c-5246-0b4bbf9b1313.capability.json,,360003,2021-02-06 17:32:30.540,2020-10-16 23:26:05.839,Gear S3,,,PEzvKidhug,com.sec.android.app.shealth,Galaxy Z Fold2,b74f4f83-8174-f41c-5246-0b4bbf9b1313,
Samsung Electronics,1,,103,10053,1,1d6255d7-a913-4356-817e-227fcbf119a0.capability.json,,360003,2022-10-07 05:11:50.035,2022-06-13 00:00:40.541,Galaxy Watch4 Classic,SM-R895U,,enBdMyKVSw,com.sec.android.app.shealth,,1d6255d7-a913-4356-817e-227fcbf119a0,
Samsung,,,,10009,,,,360001,2018-03-14 16:00:20.694,2015-02-01 00:00:00.000,Shealth2.5,Shealth2.5,4,giFDW8zpE7,com.sec.android.app.shealth,,8221435b-cce9-13b5-c2dc-22eaf6cb6590,
Samsung Electronics,1,,103,10053,1,33dc8e05-f584-45e6-b404-05d3d8d74370.capability.json,,360003,2022-06-01 21:34:10.312,2022-06-01 21:18:15.109,Galaxy Watch4 Classic,SM-R895U,,t26sjZf3K8,com.sec.android.app.shealth,,33dc8e05-f584-45e6-b404-05d3d8d74370,
Samsung Electronics,,,,,,,,360003,2018-03-14 16:00:20.694,2016-09-10 16:48:22.268,Fitbit,www.fitbit.com,,aPrYU29gLH,com.sec.android.app.shealth,Lucent-P,0cb28989-5530-4b0c-518d-3bd579d815fc,
Samsung Electronics,1,,105,10056,1,1df26e86-e802-47b3-8502-f9c7ad1850a0.capability.json,,360003,2022-11-15 20:15:43.461,2022-10-17 22:29:19.170,Galaxy Watch5 Pro,SM-R925U,,wytlyWkZAS,com.sec.android.app.shealth,Lucent S22,1df26e86-e802-47b3-8502-f9c7ad1850a0,
Samsung,,,,10022,,,,360003,2018-03-14 16:00:20.694,2014-10-16 00:27:56.506,Gear 2 Neo,,7,7FBCXSeqw+,com.sec.android.app.shealth,,ec50425d-27aa-c3e0-0bda-68f7ff767050,
Samsung,,,,,,,,360001,2019-03-06 18:40:54.770,2019-03-06 18:40:54.770,My Device,SM-G975U,,4V/TlqPcbG,com.sec.android.app.shealth,Galaxy S10+,de8c94d3-5cff-4ac8-e12e-64fc37449700,
Samsung,,,,,,,,360001,2020-10-16 23:26:05.848,2020-10-16 23:26:05.848,My Device,SM-F916U1,,KwIsSebkfa,com.sec.android.app.shealth,Galaxy Z Fold2,e4263753-0f0e-75bf-1328-796dcb9fcc82,
Samsung,,,,,,,,360001,2019-08-21 16:20:10.944,2019-08-21 16:20:10.944,My Device,SM-N975U,,cfxbbbfj2r,com.sec.android.app.shealth,Lucent Note10,e0168f90-809a-1daa-2dab-be1773f53cdf,
Samsung Electronics,1,,103,10053,1,7a7a98a4-d03f-48f4-918a-81ab8056801e.capability.json,,360003,2022-04-20 23:32:05.925,2021-09-26 19:01:18.668,Galaxy Watch4 Classic,SM-R895U,,OuewklxoZv,com.sec.android.app.shealth,Galaxy Z Fold3,7a7a98a4-d03f-48f4-918a-81ab8056801e,
Samsung Electronics,1,,105,10056,1,60650e51-0bed-4ffa-b050-90de4d5fb766.capability.json,,360003,2022-10-07 18:46:29.631,2022-08-23 20:07:49.198,Galaxy Watch5 Pro,SM-R925U,,fOrMnGyNlI,com.sec.android.app.shealth,,60650e51-0bed-4ffa-b050-90de4d5fb766,
Samsung,,,,,,,,360001,2018-03-14 16:00:20.694,2015-04-27 16:28:36.731,My Device,SM-N910T,,ScgltublDV,com.sec.android.app.shealth,,511c402e-2f03-9197-3b7f-eb025ddab9bb,
Samsung Electronics,1,,19,10046,1,184a1ab0-0700-6732-4f9f-49e759adf37d.capability.json,,360003,2020-09-25 03:24:09.066,2020-09-25 03:24:09.029,Galaxy Watch Active,,,F/obkIvIyh,com.sec.android.app.shealth,Lucent Note10,184a1ab0-0700-6732-4f9f-49e759adf37d,
Samsung,,,,,,,,360001,2018-08-23 19:28:33.487,2018-08-23 19:28:33.487,My Device,SM-N960U,,Mz5pMh3q+T,com.sec.android.app.shealth,Lucent-Phone,4335d6ee-9d57-acb7-4913-4e7a68259b63,
Samsung Electronics,,,,,,,,360003,2018-03-14 16:00:20.694,2016-08-22 19:08:14.695,Microsoft,login.live.com,,2AdOG87RhG,com.sec.android.app.shealth,Lucent-P,3bb12437-d079-7662-278a-bbe0ed425430,
Samsung Electronics,1,,105,10056,1,207518b9-b3ef-4661-baab-19947c73ff80.capability.json,,360003,2023-06-15 15:25:55.706,2023-02-17 17:09:22.084,Galaxy Watch5 Pro,SM-R925U,,ry+ZjrbuWN,com.sec.android.app.shealth,Michael's S23 Ultra,207518b9-b3ef-4661-baab-19947c73ff80,
Samsung Electronics,1,,105,10056,1,c156e156-82e2-4cb9-9bfb-c1f85ba16df9.capability.json,,360003,2023-06-24 19:08:33.457,2023-02-18 18:59:46.163,Galaxy Watch5 Pro,SM-R925U,,lJP864EN0q,com.sec.android.app.shealth,Lucent S23 Ultra,c156e156-82e2-4cb9-9bfb-c1f85ba16df9,
Samsung Electronics,1,,107,10059,1,a1464ee0-1bf4-49e5-88ab-94d91e3dfe4c.capability.json,,360003,2023-09-07 20:19:38.132,2023-07-03 09:21:20.400,Galaxy Watch6 Classic,SM-R965U,,f5OzzNknPX,com.sec.android.app.shealth,,a1464ee0-1bf4-49e5-88ab-94d91e3dfe4c,
Samsung Electronics,1,,104,10055,1,2716abed-0939-4343-92fb-a7155661f090.capability.json,,360003,2023-08-12 20:37:37.411,2023-08-12 20:37:33.040,Galaxy Watch5,SM-R900,,8VPFQmDo0K,com.sec.android.app.shealth,,2716abed-0939-4343-92fb-a7155661f090,
Samsung Electronics,1,,107,10059,1,f96d6b6b-8076-46b1-9c2c-9983cb255337.capability.json,62610110,360003,2024-01-19 06:49:18.882,2023-09-09 18:58:35.314,Galaxy Watch6 Classic,SM-R965U,,2Rs3UPxJn5,com.sec.android.app.shealth,,f96d6b6b-8076-46b1-9c2c-9983cb255337,
