com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,7286,,4654251,,0,,2016-01-24 23:49:20.000,,2016-01-23 05:00:01.172,,,,60,420000,128,,,,5750.831,,321.73993,ecd1cf5c-889d-40ff-82bf-b3b8ee67b163.extra_data.json,OBFuvbOf82,73341,com.sec.android.app.shealth,4580910,48780000,ecd1cf5c-889d-40ff-82bf-b3b8ee67b163,1453507200000,
,,,,5575,,3609521,,0,,2016-01-19 00:57:33.800,,2016-01-17 05:00:01.131,,,,60,1177685,98,,,,4128.958,,232.16638,44f36137-7d2f-4c22-bc1c-8cbdd6ae077a.extra_data.json,OBFuvbOf82,36080,com.sec.android.app.shealth,3573441,54540000,44f36137-7d2f-4c22-bc1c-8cbdd6ae077a,1452988800000,
,,,,162,,108054,,0,,2016-03-25 01:45:50.786,,2016-03-24 04:00:08.177,,,,60,22011,1,,,,127.85,,6.7200003,9369b666-2d1a-4c84-8e83-8cca089d5302.extra_data.json,OBFuvbOf82,0,com.sec.android.app.shealth,108054,63600000,9369b666-2d1a-4c84-8e83-8cca089d5302,1458777600000,
,,,,900,,525228,,0,,2016-01-02 17:16:39.247,,2016-01-01 05:00:01.144,,,,60,180000,13,,,,752.5401,,42.120003,af7b0071-bf9e-4797-b6fa-67f68abbb0d9.extra_data.json,OBFuvbOf82,22400,com.sec.android.app.shealth,502828,47760000,af7b0071-bf9e-4797-b6fa-67f68abbb0d9,1451606400000,
null
,,,,6594,,4216006,,0,,2016-02-10 03:02:54.600,,2016-02-09 05:00:02.387,,,,60,180000,115,,,,5218.3604,,291.86996,f1be4e04-e31b-49cc-852b-909672a56e2b.extra_data.json,OBFuvbOf82,49195,com.sec.android.app.shealth,4166811,32160000,f1be4e04-e31b-49cc-852b-909672a56e2b,1454976000000,
,,,,7322,,4694711,,0,,2016-04-03 04:24:41.046,,2016-04-02 04:02:01.105,,,,60,180000,128,,,,5844.2896,,307.18008,38ad665c-9ecb-4d27-9ff7-639bc75be379.extra_data.json,OBFuvbOf82,43742,com.sec.android.app.shealth,4650969,38520000,38ad665c-9ecb-4d27-9ff7-639bc75be379,1459555200000,
null
,,,,9925,,5909767,,0,,2016-04-07 13:19:01.622,,2016-04-06 04:00:13.303,,,,60,2775981,163,,,,7725.4253,,423.26596,c91e2c0e-713d-4b04-9c73-7acc476f0b5e.extra_data.json,OBFuvbOf82,120946,com.sec.android.app.shealth,5788821,34380000,c91e2c0e-713d-4b04-9c73-7acc476f0b5e,1459900800000,
null
,,,,11351,,7007110,,0,,2016-09-01 03:52:56.912,,2016-08-31 04:00:02.381,,,,60,3708000,191,,,,7468.8784,,418.48444,e8b6d7fb-27d1-4e5e-8ef0-af2ecec694dc.extra_data.json,J9OOjwOhpg,47878,com.sec.android.app.shealth,6959232,33420000,e8b6d7fb-27d1-4e5e-8ef0-af2ecec694dc,1472601600000,
,,,,6235,,4049107,,0,,2015-11-28 04:43:22.242,,2015-11-27 05:01:24.470,,,,60,240000,111,,,,4899.159,,274.0901,d9d562fd-c529-4824-a107-d6eae52d1a27.extra_data.json,OBFuvbOf82,63941,com.sec.android.app.shealth,3985166,28920000,d9d562fd-c529-4824-a107-d6eae52d1a27,1448582400000,
,,,,2193,,1341014,,0,,2016-04-12 19:59:56.001,,2016-04-11 04:00:14.570,,,,60,480000,36,,,,1773.2197,,91.64001,7e4ec190-9907-489c-8728-0011d4037458.extra_data.json,OBFuvbOf82,19200,com.sec.android.app.shealth,1321814,56040000,7e4ec190-9907-489c-8728-0011d4037458,1460332800000,
,,,,8654,,5677153,,0,,2016-08-31 22:40:05.041,,2016-08-30 04:04:36.235,,,,60,120000,155,,,,6776.6323,,407.63,17fe9f28-2f79-44d5-bdba-8a37d8ece2aa.extra_data.json,J9OOjwOhpg,52654,com.sec.android.app.shealth,5624499,37920000,17fe9f28-2f79-44d5-bdba-8a37d8ece2aa,1472515200000,
null
,,,,2704,,1684557,,0,,2015-10-30 02:09:49.470,,2015-10-29 04:00:29.628,,,,60,300000,45,,,,2124.398,,128.48416,03114c5c-116a-4c5a-963b-417893e989f1.extra_data.json,TiXFQW5DKB,35931,com.sec.android.app.shealth,1648626,65280000,03114c5c-116a-4c5a-963b-417893e989f1,1446076800000,
null
,,,,10335,,6650000,,0,,2016-06-23 21:43:18.620,,2016-06-22 04:00:00.851,,,,60,1202657,183,,,,8059.648,,473.3884,5f550731-624a-4813-b6fe-425e24c31c9d.extra_data.json,OBFuvbOf82,135593,com.sec.android.app.shealth,6514407,29640000,5f550731-624a-4813-b6fe-425e24c31c9d,1466553600000,
