com.samsung.shealth.tracker.pedometer_step_count,6242001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
9462,4,0,16,2023-07-01 00:10:00.000,,,2023-07-01 00:14:59.410,2023-07-01 00:14:59.410,16,1.1666666,11.04,0.79,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 00:11:00.000,65827820-bee5-4b83-a1f5-1be6b1832d34,
20316,4,0,26,2023-07-01 18:36:00.000,,,2023-07-01 18:36:50.214,2023-07-01 18:36:28.239,26,0.89728916,18.23,0.8699998,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:37:00.000,6a31f7e4-c2d0-4440-9012-4c61bd8ac2b3,
44393,4,0,70,2023-07-01 23:30:00.000,,,2023-07-01 23:35:00.548,2023-07-01 23:35:00.548,70,1.0555556,46.86,3.52,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:31:00.000,924fe99d-82b7-4460-8793-e45264badb31,
23249,4,0,53,2023-07-01 02:13:00.000,,,2023-07-01 02:14:59.499,2023-07-01 02:14:59.499,53,1.7222222,40.04,2.73,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 02:14:00.000,9e2ba552-a80b-43f1-9373-85a74c3399af,
11199,4,0,19,2023-07-01 22:08:00.000,,,2023-07-01 22:15:01.704,2023-07-01 22:15:01.704,19,1.2777778,14.31,0.6,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 22:09:00.000,bd9175a3-4a16-4754-be1f-1fe9934f8383,
12487,4,0,19,2023-07-01 16:53:00.000,,,2023-07-01 16:53:18.724,2023-07-01 16:53:05.198,19,1.106751,13.82,0.60999995,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 16:54:00.000,4e24daab-8e16-4733-ac9a-a02ae7b990f3,
60000,4,0,97,2023-07-01 23:36:00.000,,,2023-07-01 23:39:34.231,2023-07-01 23:36:56.061,97,1.0773333,64.64,4.85,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:37:00.000,84e6032e-c777-43ed-b47c-ddee259ed397,
547,4,0,1,2023-07-01 18:04:00.000,,,2023-07-01 18:04:01.490,2023-07-01 18:04:01.490,1,1.3888888,0.76,0.03,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:05:00.000,668dc029-fcec-441e-b281-02e2643d39e6,
29216,4,0,48,2023-07-01 23:10:00.000,,,2023-07-01 23:11:06.321,2023-07-01 23:10:09.323,48,1.1219825,32.78,2.41,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:11:00.000,62d366f0-9797-4a3b-ada7-082839eb2972,
60000,4,0,94,2023-07-01 23:37:00.000,,,2023-07-01 23:47:56.879,2023-07-01 23:47:56.879,94,1.1358334,68.15,2.82,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:38:00.000,defd9ac6-391f-4263-85e0-fe0526806b9c,
