com.samsung.shealth.report,6242001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1467518400000,2021-08-24 23:55:12.005,2020-10-19 22:34:22.889,0,0,1,KwIsSebkfa,X,com.sec.android.app.shealth,16df0409-21ea-417d-a548-340b23713928,16df0409-21ea-417d-a548-340b23713928.compressed_content.json,
America/New_York,1607835600000,2020-12-21 18:36:39.102,2020-12-20 18:41:08.804,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,48bdc731-0ba5-4640-8d44-be9fcafa174b,48bdc731-0ba5-4640-8d44-be9fcafa174b.compressed_content.json,
America/New_York,1544331600000,2018-12-22 18:15:02.965,2018-12-16 18:33:39.943,0,0,2,Mz5pMh3q+T,X,com.sec.android.app.shealth,4a0d4165-889d-4360-bfa5-4b5ddd0a9ea1,4a0d4165-889d-4360-bfa5-4b5ddd0a9ea1.compressed_content.json,
America/New_York,1462680000000,2019-07-22 16:18:13.240,2019-03-06 18:49:20.712,0,0,1,4V/TlqPcbG,X,com.sec.android.app.shealth,7b156352-bfca-4d5d-9190-a269e5850e2f,7b156352-bfca-4d5d-9190-a269e5850e2f.compressed_content.json,
America/New_York,1472356800000,2017-04-11 04:07:20.590,2016-11-18 16:06:52.062,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,2c051c65-6720-4296-872c-581cbf07e290,2c051c65-6720-4296-872c-581cbf07e290.compressed_content.json,
America/New_York,1471150800000,2017-08-24 22:48:42.329,2017-04-19 17:25:55.437,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,666d4050-ca06-41ec-9db6-839dcc7da93d,666d4050-ca06-41ec-9db6-839dcc7da93d.compressed_content.json,
America/New_York,1482037200000,2016-12-26 19:44:04.654,2016-12-25 19:43:47.493,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,8e629f33-00cb-4bac-bdfd-e7bb9d88c980,8e629f33-00cb-4bac-bdfd-e7bb9d88c980.compressed_content.json,
America/New_York,1471752000000,2020-10-14 04:42:25.992,2019-08-27 05:18:57.725,0,0,1,cfxbbbfj2r,X,com.sec.android.app.shealth,de7593a0-b0ca-4a2e-81e6-403e2633522a,de7593a0-b0ca-4a2e-81e6-403e2633522a.compressed_content.json,
America/New_York,1600574400000,2020-09-28 17:29:00.741,2020-09-27 17:28:28.528,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,fa1a1f67-6703-4e72-be7e-14b4afd1258c,fa1a1f67-6703-4e72-be7e-14b4afd1258c.compressed_content.json,
America/Chicago,1494738000000,2017-05-21 20:52:01.729,2017-05-21 20:50:53.322,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,145c91c6-17d5-4310-a602-d1672fd4f8b2,145c91c6-17d5-4310-a602-d1672fd4f8b2.compressed_content.json,
America/New_York,1471147200000,2017-04-11 04:07:20.738,2016-11-18 16:06:52.174,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,efcffe6d-89b6-4834-b46a-686b3a5fd015,efcffe6d-89b6-4834-b46a-686b3a5fd015.compressed_content.json,
America/New_York,1460260800000,2019-02-27 15:42:32.597,2018-09-12 14:37:13.341,0,0,1,Mz5pMh3q+T,X,com.sec.android.app.shealth,9919d421-ab6d-4d10-a8af-bf339c7200cb,9919d421-ab6d-4d10-a8af-bf339c7200cb.compressed_content.json,
America/New_York,1460260800000,2016-04-17 17:13:54.590,2016-04-17 17:13:53.763,0,,1,OBFuvbOf82,X,com.sec.android.app.shealth,836a63a8-23b9-4034-9ae0-573eef685808,836a63a8-23b9-4034-9ae0-573eef685808.compressed_content.json,
America/New_York,1591502400000,2020-06-15 17:30:48.887,2020-06-14 17:28:40.254,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,ea8b2fae-349f-4ae4-834f-519b955e29b8,ea8b2fae-349f-4ae4-834f-519b955e29b8.compressed_content.json,
America/New_York,1541912400000,2018-11-24 18:14:52.976,2018-11-18 18:15:03.910,0,0,2,Mz5pMh3q+T,X,com.sec.android.app.shealth,3db41839-858e-4d32-ab48-69536d5891ef,3db41839-858e-4d32-ab48-69536d5891ef.compressed_content.json,
