date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2011-12-29,1662,200,63,81,0,3532,28,22
2011-12-30,1462,153,63,86,34,2726,22,8
2011-12-31,1876,248,87,37,5,1361,48,7
2012-01-01,2163,189,48,38,60,1650,54,11
2012-01-02,2104,316,57,67,49,1996,94,10
2012-01-03,3278,419,150,74,45,6708,78,12
2012-01-04,3151,416,129,78,54,4594,152,16
2012-01-05,1530,233,58,48,10,6313,92,10
2012-01-06,1740,236,70,62,129,1705,109,31
2012-01-07,1652,202,39,97,115,3286,51,15
2012-01-08,2633,318,144,33,8,4517,185,17
2012-01-09,1884,308,53,48,91,2426,126,13
2012-01-10,1683,208,72,50,49,2937,84,16
2012-01-11,2873,390,119,45,23,3964,56,15
2012-01-12,1700,297,51,102,53,3621,101,13
2012-01-13,1897,249,87,37,10,1966,84,11
2012-01-14,2062,282,78,63,110,2345,147,13
2012-01-15,2303,275,80,59,11,4898,66,22
2012-01-16,2055,290,81,41,49,6458,124,2
2012-01-17,2170,359,61,48,45,4007,78,29
2012-01-18,1565,199,63,49,48,4094,86,12
2012-01-19,1595,216,64,47,85,2433,42,13
2012-01-20,1393,166,49,69,65,4338,40,14
2012-01-21,1676,244,63,41,43,3900,130,12
2012-01-22,1479,200,48,68,61,4059,91,11
2012-01-23,1807,273,63,55,61,2760,98,9
2012-01-24,1796,270,67,46,24,4727,81,9
2012-01-25,1742,170,50,54,76,2941,80,10
2012-01-26,1660,149,44,92,23,4517,107,7
2012-01-27,2316,312,75,74,134,2223,123,36
2012-01-28,2340,224,53,43,50,3288,160,8
2012-01-29,1810,253,69,54,20,2623,103,12
2012-01-30,1426,218,53,35,33,3197,76,14
2012-01-31,2744,377,121,73,205,3463,123,26
2012-02-01,1505,142,35,42,58,3582,102,14
2012-02-02,1654,227,64,59,38,6054,53,21
2012-02-03,1659,175,76,28,40,2086,23,4
2012-02-04,1670,186,45,28,33,3062,89,5
2012-02-05,1552,216,24,31,28,3417,142,9
2012-02-06,1783,250,77,39,65,2476,64,7
2012-02-07,1524,218,45,62,110,3230,76,7
2012-02-08,1497,205,43,52,65,2812,72,8
2012-02-09,1566,118,48,45,128,1977,49,9
2012-02-10,2265,263,85,86,173,3348,83,17
2012-02-11,1705,176,72,106,108,5144,86,8
2012-02-12,1780,232,80,44,70,2147,82,11
2012-02-13,1866,288,67,42,14,2459,104,7
2012-02-14,1885,171,102,54,38,1154,64,13
2012-02-15,1685,235,68,41,65,1873,95,10
2012-02-16,1765,294,49,54,58,2156,122,9
2012-02-17,1863,248,70,75,149,2352,94,30
2012-02-18,1975,341,54,42,28,3664,133,16
2012-02-19,1769,283,58,39,20,3444,133,11
2012-02-20,2060,277,91,52,85,4564,103,7
2012-02-21,1928,245,71,90,12,3747,123,12
2012-02-22,2152,351,36,48,60,2828,131,19
2012-02-23,1706,256,53,31,20,2333,88,13
2012-02-24,1795,247,69,39,55,2693,106,10
2012-02-25,2437,346,97,62,70,3788,133,16
2012-02-26,2278,324,85,82,144,4378,152,33
2012-02-27,1825,198,45,15,5,1283,36,5
2012-02-28,1992,277,65,36,50,2311,81,15
2012-02-29,2292,323,83,60,64,4725,50,45
2012-03-01,2925,274,89,110,377,9225,36,31
2012-03-02,2355,315,86,85,144,4259,121,32
2012-03-03,2643,417,60,28,24,2967,169,20
2012-03-04,2698,367,114,54,152,3029,137,13
2012-03-05,2942,379,143,54,73,5370,151,17
2012-03-06,2741,193,91,28,10,4520,16,8
2012-03-07,1889,251,53,106,55,4020,105,12
2012-03-08,1920,246,72,74,105,5059,83,18
2012-03-09,1659,239,37,58,65,2744,66,11
2012-03-10,2063,327,68,37,90,3989,147,15
2012-03-11,1752,249,59,52,60,2580,72,8
2012-03-12,1723,209,64,83,50,6477,67,21
2012-03-13,2117,249,84,67,77,3458,41,13
2012-03-14,1861,258,47,79,248,5077,69,14
2012-03-15,2433,369,89,78,120,5677,72,18
2012-03-16,2013,293,73,67,139,1989,151,29
2012-03-17,2535,273,86,57,84,5105,94,8
2012-03-18,2472,273,76,59,65,2746,134,9
2012-03-19,1862,213,73,38,23,2384,100,18
2012-03-20,1978,259,90,44,27,2702,93,21
2012-03-21,1983,285,84,48,80,5999,121,15
2012-03-22,1630,223,57,62,43,4307,102,17
2012-03-23,2071,210,101,62,70,2904,35,18
2012-03-24,1512,190,48,94,20,4838,79,8
2012-03-25,1516,217,45,58,85,3079,78,17
2012-03-26,1498,210,53,53,67,4210,86,10
2012-03-27,1676,241,67,42,45,2871,82,20
2012-03-28,1425,237,41,39,25,3808,109,18
2012-03-29,1463,213,31,78,248,5192,56,12
2012-03-30,1760,189,71,65,35,2930,79,16
2012-03-31,1467,183,34,116,10,3230,104,16
2012-04-01,2050,257,93,49,83,2505,100,14
2012-04-02,1957,260,78,54,45,3518,64,16
2012-04-03,2138,249,105,89,178,3207,84,34
2012-04-04,1277,186,44,40,50,1550,57,14
2012-04-05,1606,212,58,57,110,2497,86,17
2012-04-06,2698,361,95,97,274,6969,39,12
2012-04-07,2550,350,96,93,214,3829,140,37
2012-04-08,3224,387,157,78,94,4002,217,19
2012-04-09,1553,202,43,96,55,3461,77,6
2012-04-10,1963,279,75,53,95,2650,119,11
2012-04-11,2008,251,83,76,65,5964,123,22
2012-04-12,2785,317,91,63,210,3063,166,13
2012-04-13,2393,279,75,33,214,1634,181,8
2012-04-14,3607,430,155,78,241,4308,184,19
2012-04-15,1694,194,63,106,25,5057,87,13
2012-04-16,1663,188,58,110,96,5447,61,9
