Date,Calories
2019-08-24,1595
2019-08-25,1473
2019-08-26,1979
2019-08-27,2495
2019-08-28,2719
2019-08-29,1900
2019-08-30,1570
2019-08-31,2831
2019-09-01,1882
2019-09-02,2310
2019-09-03,1720
2019-09-04,2956
2019-09-05,1961
2019-09-06,1795
2019-09-07,1569
2019-09-08,1700
2019-09-09,1563
2019-09-10,1650
2019-09-11,1554
2019-09-12,1574
2019-09-13,1723
2019-09-14,1481
2019-09-15,1488
2019-09-16,2145
2019-09-17,1752
2019-09-18,2094
2019-09-19,1470
2019-09-20,2059
2019-09-21,2107
2019-09-22,1757
2019-09-23,1748
2019-09-24,2053
2019-09-25,1644
2019-09-26,1474
2019-09-27,1675
2019-09-28,1562
2019-09-29,1560
2019-09-30,1911
2019-10-01,2070
2019-10-02,2002
2019-10-03,2510
2019-10-04,1804
2019-10-05,1626
2019-10-06,2752
2019-10-07,2773
2019-10-08,2758
2019-10-09,3915
2019-10-10,3403
2019-10-11,2750
2019-10-12,125
2019-10-13,83
2019-10-14,2121
2019-10-15,1172
2019-10-16,2199
2019-10-17,1466
2019-10-18,2621
2019-10-19,80
2019-10-20,95
2019-10-21,2335
2019-10-22,2102
2019-10-23,2740
2019-10-24,2878
2019-10-25,1930
2019-10-26,115
2019-10-27,105
2019-10-28,2235
2019-10-29,3147
2019-10-30,2421
2019-10-31,2374
2019-11-01,2211
2019-11-02,95
2019-11-03,105
2019-11-04,2317
2019-11-05,2204
2019-11-06,2693
2019-11-07,2430
2019-11-08,2387
2019-11-09,150
2019-11-10,125
2019-11-11,2560
2019-11-12,2846
2019-11-13,2239
2019-11-14,2260
2019-11-15,2410
2019-11-16,77
2019-11-17,120
2019-11-18,2512
2019-11-19,2448
2019-11-20,2294
2019-11-21,2265
2019-11-22,2230
2019-11-23,40
2019-11-24,75
2019-11-25,2214
2019-11-26,2632
2019-11-27,2460
2019-11-28,3218
2019-11-29,2357
2019-11-30,2467
2019-12-01,2963
2019-12-02,2679
2019-12-03,2590
2019-12-04,2119
2019-12-05,1968
2019-12-06,3189
2019-12-07,2317
2019-12-08,2253
2019-12-09,1962
2019-12-10,2677
2019-12-11,1920
2019-12-12,1657
2019-12-13,1790
2019-12-14,2244
2019-12-15,1867
2019-12-16,1987
2019-12-17,2130
2019-12-18,2085
2019-12-19,2252
2019-12-20,2488
2019-12-21,2392
2019-12-22,3355
2019-12-23,2632
2019-12-24,2450
2019-12-25,1930
2019-12-26,3235
2019-12-27,3178
2019-12-28,2813
2019-12-29,2885
2019-12-30,2762
2019-12-31,4118
2020-01-01,2560
2020-01-02,2901
2020-01-03,2735
2020-01-04,3441
2020-01-05,2839
2020-01-06,2719
2020-01-07,106
2020-01-08,2345
2020-01-09,96
2020-01-10,3361
2020-01-11,2794
2020-01-12,3378
2020-01-13,2437
2020-01-14,2219
2020-01-15,2461
2020-01-16,118
2020-01-17,2859
2020-01-18,2825
2020-01-19,3322
2020-01-20,1952
2020-01-21,3028
2020-01-22,1730
2020-01-23,1779
2020-01-24,1772
2020-01-25,3311
2020-01-26,1519
2020-01-27,1325
2020-01-28,1603
2020-01-29,1422
2020-01-30,1562
2020-01-31,1669
2020-02-01,1988
2020-02-02,2202
2020-02-03,1586
2020-02-04,1883
2020-02-05,1251
2020-02-06,1602
2020-02-07,1724
2020-02-08,1951
2020-02-09,2702
2020-02-10,1563
2020-02-11,2505
2020-02-12,2030
2020-02-13,2874
2020-02-14,1538
2020-02-15,2739
2020-02-16,2194
2020-02-17,2088
2020-02-18,1681
2020-02-19,2686
2020-02-20,2760
2020-02-21,2595
2020-02-22,2984
2020-02-23,2601
2020-02-24,1640
2020-02-25,1765
2020-02-26,1702
2020-02-27,2829
2020-02-28,2428
2020-02-29,2050
2020-03-01,2212
2020-03-02,1784
2020-03-03,2396
2020-03-04,2210
2020-03-05,3265
2020-03-06,1411
2020-03-07,1500
