Date,Calories
11/18/2016,1595
11/19/2016,1830
11/20/2016,1859
11/21/2016,1763
11/22/2016,2068
11/23/2016,3026
11/24/2016,3426
11/25/2016,2764
11/26/2016,2365
11/27/2016,4509
11/28/2016,2358
11/29/2016,2030
11/30/2016,1795
12/1/2016,1419
12/2/2016,1670
12/3/2016,1540
12/4/2016,1590
12/5/2016,1779
12/6/2016,2058
12/7/2016,2015
12/8/2016,1825
12/9/2016,2054
12/10/2016,3723
12/11/2016,2450
12/12/2016,2319
12/13/2016,2561
12/14/2016,2949
12/15/2016,2652
12/16/2016,2846
12/17/2016,2116
12/18/2016,1658
12/19/2016,1742
12/20/2016,2828
12/21/2016,2663
12/22/2016,2374
12/23/2016,2949
12/24/2016,4237
12/25/2016,3875
12/26/2016,2668
12/27/2016,2320
12/28/2016,2516
12/29/2016,1905
12/30/2016,2106
12/31/2016,1612
1/1/2017,1721
1/2/2017,1755
1/3/2017,1954
1/4/2017,1469
1/5/2017,1820
1/6/2017,2045
1/7/2017,1764
1/8/2017,2000
1/9/2017,1872
1/10/2017,2180
1/11/2017,1861
1/12/2017,2351
1/13/2017,2779
1/14/2017,2834
1/15/2017,2470
1/16/2017,2448
1/17/2017,2424
1/18/2017,2225
1/19/2017,2455
1/20/2017,2278
1/21/2017,2422
1/22/2017,2477
1/23/2017,2486
1/24/2017,3351
1/25/2017,2988
1/26/2017,2592
1/27/2017,2670
1/28/2017,2774
1/29/2017,2256
1/30/2017,2260
1/31/2017,2452
2/1/2017,2124
2/2/2017,1931
2/3/2017,2673
2/4/2017,3124
2/5/2017,2903
2/6/2017,1661
2/7/2017,2317
2/8/2017,2850
2/9/2017,2370
2/10/2017,2421
2/11/2017,2866
2/12/2017,2830
2/13/2017,2012
2/14/2017,3177
2/15/2017,2401
2/16/2017,2480
2/17/2017,2877
2/18/2017,2415
2/19/2017,2100
2/20/2017,2461
2/21/2017,3155
2/22/2017,2880
2/23/2017,2862
2/24/2017,2419
2/25/2017,2310
2/26/2017,2105
2/27/2017,2510
2/28/2017,2523
3/1/2017,2376
3/2/2017,2518
3/3/2017,2633
3/4/2017,4134
3/5/2017,2347
3/6/2017,2763
3/7/2017,3681
3/8/2017,1905
3/9/2017,2086
3/10/2017,1695
3/11/2017,1372
3/12/2017,2338
3/13/2017,2296
3/14/2017,2150
3/15/2017,2064
3/16/2017,1924
3/17/2017,1921
3/18/2017,3805
3/19/2017,1843
3/20/2017,2059
3/21/2017,2101
3/22/2017,2021
3/23/2017,1799
3/24/2017,1772
3/25/2017,1750
3/26/2017,1670
3/27/2017,1993
3/28/2017,1758
3/29/2017,1998
3/30/2017,1558
3/31/2017,1612
4/1/2017,1850
4/2/2017,1910
4/3/2017,1827
4/4/2017,1826
4/5/2017,1848
4/6/2017,1640
4/7/2017,1615
4/8/2017,1588
4/9/2017,2419
4/10/2017,1625
4/11/2017,2030
4/12/2017,2479
4/13/2017,1627
4/14/2017,2667
4/15/2017,2406
4/16/2017,3815
4/17/2017,2983
4/18/2017,3555
4/19/2017,2001
4/20/2017,2130
4/21/2017,2078
4/22/2017,2588
4/23/2017,2037
4/24/2017,2028
4/25/2017,2467
4/26/2017,2407
4/27/2017,2194
4/28/2017,1715
4/29/2017,1700
4/30/2017,1759
5/1/2017,1779
5/2/2017,2301
5/3/2017,1816
5/4/2017,1951
5/5/2017,1810
5/6/2017,1900
5/7/2017,2029
5/8/2017,2783
5/9/2017,2200
5/10/2017,1710
5/11/2017,2189
5/12/2017,2437
5/13/2017,2278
5/14/2017,3663
5/15/2017,3176
5/16/2017,3334
5/17/2017,2950
5/18/2017,3380
5/19/2017,2643
5/20/2017,2721
5/21/2017,2981
5/22/2017,3378
5/23/2017,3646
5/24/2017,2723
5/25/2017,2782
5/26/2017,3859
5/27/2017,718
5/28/2017,750
5/29/2017,2668
