date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g,lbs,fat_pct,calories_42d_avg,carbs_g_42d_avg,fat_g_42d_avg,protein_g_42d_avg,chol_mg_42d_avg,sodium_mg_42d_avg,sugar_g_42d_avg,fiber_g_42d_avg,lbs_interp,fat_pct_interp
2011-07-09,1600.0,247.0,53.0,50.0,35.0,3129.0,80.0,17.0,241.0,0.34,1705.6666666666667,215.6904761904762,68.71428571428571,53.26190476190476,56.642857142857146,3242.1190476190477,73.95238095238095,13.452380952380953,241.0,0.34
2011-07-10,1769.0,206.0,69.0,93.0,115.0,4784.0,62.0,24.0,240.6,0.3389999999999999,1718.642857142857,216.47619047619048,69.16666666666667,54.76190476190476,58.785714285714285,3300.4523809523807,74.19047619047619,13.833333333333334,240.6,0.3389999999999999
2011-07-11,1642.0,251.0,49.0,59.0,55.0,2231.0,96.0,14.0,,,1724.357142857143,217.28571428571428,69.28571428571429,55.095238095238095,59.26190476190476,3278.9523809523807,73.92857142857143,13.857142857142858,240.13333333333333,0.3376666666666666
2011-07-12,1623.0,254.0,50.0,47.0,65.0,2475.0,55.0,11.0,,,1722.6190476190477,218.54761904761904,68.76190476190476,55.30952380952381,59.73809523809524,3226.8333333333335,73.64285714285714,13.928571428571429,239.66666666666666,0.3363333333333333
2011-07-13,1623.0,264.0,47.0,36.0,10.0,2040.0,57.0,5.0,239.2,0.335,1721.6666666666667,220.54761904761904,67.71428571428571,55.142857142857146,59.5,3217.214285714286,73.54761904761905,13.80952380952381,239.2,0.335
2011-07-14,1578.0,245.0,64.0,47.0,25.0,4271.0,64.0,19.0,238.8,0.335,1703.1904761904761,218.38095238095238,67.14285714285714,54.5,56.904761904761905,3246.285714285714,70.52380952380952,13.404761904761905,238.8,0.335
2011-07-15,1581.0,249.0,51.0,35.0,14.0,1270.0,27.0,9.0,,,1697.0714285714287,220.0,65.95238095238095,53.92857142857143,56.642857142857146,3234.1190476190477,68.85714285714286,13.214285714285714,238.45000000000002,0.33425000000000005
2011-07-16,1567.0,222.0,58.0,55.0,80.0,2501.0,59.0,15.0,,,1692.5,220.42857142857142,65.71428571428571,53.714285714285715,57.04761904761905,3202.9285714285716,68.57142857142857,13.261904761904763,238.10000000000002,0.3335
2011-07-17,1566.0,245.0,44.0,48.0,75.0,2422.0,110.0,11.0,,,1687.2619047619048,220.0952380952381,65.26190476190476,53.595238095238095,56.80952380952381,3173.309523809524,69.38095238095238,13.261904761904763,237.75,0.33275
2011-07-18,1672.0,231.0,65.0,44.0,66.0,1922.0,109.0,16.0,237.4,0.332,1686.5714285714287,219.42857142857142,65.57142857142857,53.19047619047619,56.73809523809524,3132.6666666666665,69.26190476190476,13.142857142857142,237.4,0.332
2011-07-19,2112.0,239.0,93.0,50.0,0.0,3645.0,65.0,11.0,,,1697.2142857142858,219.23809523809524,66.38095238095238,53.42857142857143,56.38095238095238,3064.2619047619046,68.85714285714286,13.071428571428571,237.03333333333333,0.331
2011-07-20,1595.0,268.0,36.0,49.0,55.0,3232.0,79.0,15.0,,,1701.5238095238096,220.66666666666666,66.02380952380952,53.69047619047619,57.095238095238095,3055.4523809523807,68.47619047619048,13.119047619047619,236.66666666666666,0.33
2011-07-21,1680.0,234.0,69.0,48.0,95.0,4163.0,66.0,13.0,,,1710.5,221.52380952380952,66.88095238095238,53.76190476190476,58.92857142857143,3070.4285714285716,67.30952380952381,13.119047619047619,236.3,0.329
2011-07-22,2380.0,295.0,88.0,104.0,35.0,2473.0,50.0,7.0,,,1735.6904761904761,222.6904761904762,68.42857142857143,55.523809523809526,59.642857142857146,3064.4285714285716,65.83333333333333,13.095238095238095,235.93333333333334,0.328
2011-07-23,1490.0,238.0,41.0,59.0,65.0,3721.0,100.0,17.0,,,1729.7857142857142,222.04761904761904,68.23809523809524,55.523809523809526,60.023809523809526,3031.3571428571427,66.16666666666667,13.238095238095237,235.56666666666666,0.327
2011-07-24,1489.0,169.0,61.0,58.0,5.0,5384.0,77.0,17.0,235.2,0.326,1731.452380952381,222.95238095238096,67.76190476190476,55.666666666666664,59.07142857142857,3097.5,66.9047619047619,13.476190476190476,235.2,0.326
2011-07-25,1468.0,171.0,71.0,47.0,115.0,1404.0,33.0,7.0,,,1733.3095238095239,222.0952380952381,68.26190476190476,56.095238095238095,59.714285714285715,3089.5476190476193,65.88095238095238,13.547619047619047,235.0,0.3255
2011-07-26,1556.0,240.0,51.0,44.0,50.0,2554.0,18.0,9.0,234.8,0.325,1732.8333333333333,222.9047619047619,68.02380952380952,55.714285714285715,58.904761904761905,3034.5238095238096,64.54761904761905,13.571428571428571,234.8,0.325
2011-07-27,2078.0,294.0,79.0,63.0,124.0,3989.0,71.0,27.0,,,1747.357142857143,226.04761904761904,68.69047619047619,55.476190476190474,60.785714285714285,3023.5238095238096,64.47619047619048,13.785714285714286,234.60000000000002,0.32466666666666666
2011-07-28,2592.0,297.0,102.0,97.0,30.0,2705.0,38.0,5.0,,,1771.3333333333333,228.92857142857142,69.23809523809524,56.69047619047619,60.07142857142857,2965.4523809523807,63.45238095238095,13.738095238095237,234.4,0.3243333333333333
2011-07-29,2028.0,301.0,78.0,27.0,57.0,3706.0,120.0,4.0,,,1783.3809523809523,230.8095238095238,69.64285714285714,56.26190476190476,60.357142857142854,2967.1428571428573,64.47619047619048,13.5,234.2,0.32399999999999995
2011-07-30,1922.0,276.0,71.0,58.0,100.0,3842.0,110.0,18.0,,,1785.3095238095239,230.8095238095238,70.19047619047619,56.523809523809526,62.61904761904762,3051.809523809524,66.33333333333333,13.547619047619047,234.0,0.3236666666666666
2011-07-31,1465.0,232.0,41.0,49.0,55.0,2053.0,85.0,8.0,,,1785.547619047619,231.45238095238096,69.76190476190476,56.73809523809524,62.976190476190474,3016.404761904762,65.88095238095238,13.523809523809524,233.8,0.32333333333333325
2011-08-01,1607.0,208.0,65.0,52.0,75.0,3161.0,53.0,12.0,233.6,0.3229999999999999,1781.2857142857142,231.73809523809524,69.45238095238095,56.642857142857146,62.61904761904762,2982.2380952380954,65.66666666666667,13.523809523809524,233.6,0.3229999999999999
2011-08-02,1661.0,226.0,57.0,43.0,54.0,1960.0,61.0,14.0,,,1756.857142857143,230.07142857142858,69.0952380952381,56.285714285714285,61.76190476190476,2959.904761904762,66.16666666666667,13.452380952380953,233.56,0.3229999999999999
2011-08-03,1559.0,172.0,50.0,36.0,10.0,3507.0,32.0,6.0,,,1766.1190476190477,231.04761904761904,69.0952380952381,55.92857142857143,60.095238095238095,2969.5,66.04761904761905,13.404761904761905,233.51999999999998,0.3229999999999999
2011-08-04,1536.0,214.0,38.0,51.0,67.0,3836.0,55.0,9.0,,,1758.404761904762,232.0,68.0,54.73809523809524,58.595238095238095,2915.3571428571427,66.92857142857143,13.380952380952381,233.48,0.3229999999999999
2011-08-05,1913.0,239.0,73.0,37.0,15.0,1462.0,61.0,15.0,,,1762.7380952380952,233.04761904761904,68.33333333333333,54.19047619047619,57.285714285714285,2895.809523809524,67.23809523809524,13.428571428571429,233.44,0.3229999999999999
2011-08-06,1605.0,203.0,69.0,53.0,5.0,2765.0,79.0,10.0,,,1742.3095238095239,232.6904761904762,64.02380952380952,54.142857142857146,57.404761904761905,2914.4523809523807,67.92857142857143,12.928571428571429,233.39999999999998,0.3229999999999999
2011-08-07,2051.0,303.0,78.0,53.0,35.0,3447.0,96.0,13.0,,,1743.142857142857,236.1904761904762,63.595238095238095,52.666666666666664,57.285714285714285,2934.2380952380954,69.23809523809524,12.571428571428571,233.35999999999999,0.3229999999999999
2011-08-08,1636.0,214.0,52.0,53.0,102.0,2626.0,56.0,13.0,,,1737.095238095238,236.83333333333334,62.54761904761905,52.73809523809524,58.76190476190476,2954.0476190476193,70.02380952380952,12.571428571428571,233.32,0.3229999999999999
2011-08-09,1787.0,207.0,96.0,35.0,13.0,4039.0,80.0,6.0,,,1733.6666666666667,235.38095238095238,63.42857142857143,52.38095238095238,56.214285714285715,2987.904761904762,69.78571428571429,12.380952380952381,233.28,0.3229999999999999
2011-08-10,1411.0,139.0,76.0,49.0,10.0,1417.0,76.0,13.0,,,1732.5714285714287,235.54761904761904,63.642857142857146,52.857142857142854,55.476190476190474,3006.214285714286,70.5,12.547619047619047,233.23999999999998,0.3229999999999999
2011-08-11,1582.0,203.0,58.0,64.0,89.0,2187.0,97.0,10.0,233.2,0.3229999999999999,1715.9761904761904,233.52380952380952,63.095238095238095,53.11904761904762,57.23809523809524,2984.0,71.42857142857143,12.30952380952381,233.2,0.3229999999999999
2011-08-12,2932.0,329.0,115.0,60.0,65.0,4197.0,71.0,26.0,233.0,0.321,1742.0,237.04761904761904,64.21428571428571,52.57142857142857,55.142857142857146,3010.6190476190477,71.64285714285714,12.571428571428571,233.0,0.321
2011-08-13,1574.0,205.0,46.0,91.0,50.0,4242.0,87.0,18.0,,,1742.5,237.83333333333334,63.857142857142854,52.92857142857143,53.26190476190476,3034.7619047619046,72.35714285714286,12.666666666666666,232.9,0.321
2011-08-14,1484.0,230.0,47.0,45.0,40.0,3320.0,82.0,8.0,232.8,0.321,1737.2380952380952,238.45238095238096,63.476190476190474,52.54761904761905,50.61904761904762,3042.6428571428573,72.04761904761905,12.666666666666666,232.8,0.321
2011-08-15,1602.0,239.0,48.0,34.0,50.0,4803.0,93.0,8.0,,,1727.1904761904761,239.16666666666666,61.92857142857143,52.38095238095238,49.76190476190476,3108.2619047619046,71.85714285714286,12.642857142857142,232.60000000000002,0.3205
2011-08-16,2551.0,325.0,61.0,66.0,112.0,3291.0,48.0,16.0,,,1754.452380952381,242.45238095238096,62.07142857142857,52.80952380952381,51.142857142857146,3068.714285714286,72.23809523809524,12.880952380952381,232.4,0.32
2011-08-17,1366.0,199.0,51.0,40.0,15.0,2623.0,81.0,11.0,,,1744.095238095238,239.42857142857142,62.38095238095238,52.857142857142854,51.26190476190476,3080.1190476190477,71.73809523809524,12.761904761904763,232.2,0.3195
2011-08-18,1890.0,285.0,55.0,64.0,65.0,5763.0,57.0,20.0,232.0,0.319,1748.595238095238,239.21428571428572,62.61904761904762,53.26190476190476,52.69047619047619,3115.3333333333335,71.04761904761905,12.738095238095237,232.0,0.319
2011-08-19,1375.0,163.0,34.0,63.0,46.0,1310.0,32.0,11.0,,,1742.8095238095239,237.4047619047619,61.904761904761905,53.714285714285715,53.42857142857143,3092.190476190476,69.71428571428571,12.80952380952381,231.66666666666666,0.31833333333333336
2011-08-20,1790.0,208.0,72.0,79.0,95.0,5279.0,65.0,14.0,,,1747.3333333333333,236.47619047619048,62.357142857142854,54.404761904761905,54.857142857142854,3143.3809523809523,69.35714285714286,12.738095238095237,231.33333333333334,0.31766666666666665
2011-08-21,1586.0,195.0,65.0,39.0,68.0,2198.0,63.0,10.0,231.0,0.317,1742.9761904761904,236.21428571428572,62.26190476190476,53.11904761904762,53.73809523809524,3081.809523809524,69.38095238095238,12.404761904761905,231.0,0.317
2011-08-22,1574.0,222.0,42.0,37.0,35.0,2597.0,102.0,12.0,230.0,0.314,1741.357142857143,235.52380952380952,62.095238095238095,52.595238095238095,53.26190476190476,3090.5238095238096,69.52380952380952,12.357142857142858,230.0,0.314
2011-08-23,2033.0,268.0,83.0,47.0,18.0,5893.0,93.0,10.0,,,1751.1190476190477,235.85714285714286,62.88095238095238,52.595238095238095,52.142857142857146,3171.904761904762,70.42857142857143,12.333333333333334,229.73333333333332,0.31333333333333335
2011-08-24,1622.0,232.0,57.0,53.0,43.0,2386.0,67.0,11.0,,,1751.095238095238,235.0952380952381,63.11904761904762,53.0,52.92857142857143,3180.1428571428573,70.66666666666667,12.476190476190476,229.46666666666667,0.31266666666666665
2011-08-25,1587.0,234.0,60.0,40.0,20.0,2249.0,56.0,11.0,229.2,0.312,1751.3095238095239,234.83333333333334,63.023809523809526,52.833333333333336,52.80952380952381,3132.0,70.47619047619048,12.285714285714286,229.2,0.312
2011-08-26,1723.0,246.0,52.0,67.0,15.0,2229.0,74.0,15.0,228.0,0.31,1754.6904761904761,234.76190476190476,63.04761904761905,53.595238095238095,52.833333333333336,3154.8333333333335,71.5952380952381,12.428571428571429,228.0,0.31
2011-08-27,2665.0,246.0,88.0,97.0,50.0,4727.0,169.0,35.0,,,1780.8333333333333,235.33333333333334,63.76190476190476,54.595238095238095,52.11904761904762,3207.8333333333335,74.21428571428571,12.904761904761905,227.96363636363637,0.3099090909090909
