date,meal,food_name,calories,carbs,fat,protein,cholest,sodium,sugars,fiber
2012-08-15,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-15,Lunch,"Polly-O Cheese - Mozzarella Whole Milk, 2 oz (28g)",160,2,12,12,40,400,2,0
2012-08-15,Lunch,"Thomas' - Plain Bagels, 1 bagel",260,51,2,9,0,500,6,2
2012-08-15,Dinner,"Samson - Koek Met Chocoladestukjes, 12 cookies",612,0,0,0,0,0,0,0
2012-08-15,Dinner,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-16,Snacks,"Samson - Koek Met Chocoladestukjes, 3 cookies",153,0,0,0,0,0,0,0
2012-08-16,Snacks,"Fresh Fruit - Lychee, 22 piece",132,35,1,2,0,0,32,2
2012-08-16,Snacks,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-16,Snacks,"Quaker - Captain Crunch, 1 cup",147,31,2,1,0,267,16,1
2012-08-16,Breakfast,"Kelloggs - Crispix Cereal, 1 cup",110,25,0,2,0,220,4,0
2012-08-16,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-16,Lunch,Homemade - Grilled,NA,NA,NA,2,NA,NA,NA,NA
2012-08-16,Dinner,"Kraft - Salad Dressing: Catalina, Light, 8 Tbsp",200,40,4,0,0,1.56,36,0
2012-08-16,Dinner,"Kroger - 3 Jumbo Romain Hearts, 12 leaves (85g)",40,6,1,2,0,10,2,4
2012-08-16,Dinner,"Betty Crocker - Baco-Os Bacon Flavor Bits , 2 tablespoon (4.4 oz)(125mg)",40,3,2,4,0,160,0,0
2012-08-16,Dinner,Kroger - Shredded 2%,4,NA,NA,NA,NA,NA,NA,NA
2012-08-16,Dinner,"Kroger - Homestyle Croutons Cheese & Garlic, 0.33 container (40 tbsp ea.)",198,33,7,7,0,594,0,0
2012-08-17,Snacks,"Target Market Pantry - Light Mozzarella String Cheese, 1 piece (28 grams)",60,1,3,7,10,190,0,0
2012-08-17,Snacks,"Fresh Fruit - Lychee, 6 piece",36,10,0,0,0,0,9,1
2012-08-17,Snacks,"Kellogs Frosted Flakes - Cereal, 0.5 cup",73,18,0,1,0,93,7,1
2012-08-17,Snacks,"Starburst Original Fruit Chew - Candy, 5 pieces (40g)",114,21,2,0,0,0,14,0
2012-08-17,Snacks,"Generic - Salt Water Taffy, 8 pieces",220,48,3,0,0,80,30,0
2012-08-17,Snacks,"French Fries - Crinkle Cut, 10 fries",130,19,5,2,0,290,1,2
2012-08-17,Snacks,"Kroger - Red Velvet Cake W/ Cream Cheese Frosting, 1/8 of the cake",390,61,15,3,50,380,48,1
2012-08-17,Breakfast,"Kelloggs - Crispix Cereal, 1 cup",110,25,0,2,0,220,4,0
2012-08-17,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-17,Lunch,"Kraft - Salad Dressing: Catalina, Light, 8 Tbsp",200,40,4,0,0,1.56,36,0
2012-08-17,Lunch,"Kroger - 3 Jumbo Romain Hearts, 12 leaves (85g)",40,6,1,2,0,10,2,4
2012-08-17,Lunch,Betty Crocker - Baco-Os,NA,NA,NA,NA,2,NA,NA,NA
2012-08-17,Lunch,Kroger - Shredded 2%,4,NA,NA,NA,NA,NA,NA,NA
2012-08-17,Lunch,Kroger - Homestyle,NA,NA,NA,NA,0.33,NA,NA,NA
2012-08-17,Dinner,"Betty Crocker - Rich and Creamy Vanilla Frosting, 4 tbsp",280,46,10,0,0,140,38,0
2012-08-17,Dinner,"Domino's Pizza - Deep Dish Large Cheese Pizza, 1/2 of pizza",1.4,156,64,56,140,3.44,8,16
2012-08-18,Snacks,"Brach's - Dessert Mints, 14 pieces",60,0,0,0,0,0,0,0
2012-08-18,Snacks,"Betty Crocker Spring Party Chip - Cake Mix, Cupcakes, 2 cupcake",320,70,3,4,0,600,34,2
2012-08-18,Snacks,"Betty Crocker - Rich and Creamy Vanilla Frosting, 2 tbsp",140,23,5,0,0,70,19,0
2012-08-18,Breakfast,"Kelloggs - Crispix Cereal, 1 cup",110,25,0,2,0,220,4,0
2012-08-18,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-18,Lunch,"Buitoni - Alfredo Sauce, 0.25 container (1 1/10 cups ea.)",158,5,14,5,34,394,2,0
2012-08-18,Lunch,Morning Star Farms -,NA,NA,NA,NA,NA,1,NA,NA
2012-08-18,Dinner,"World's Finest Chocolate - Milk Chocolate, 43 g",230,27,12,3,10,40,27,1
2012-08-18,Dinner,"Oreida® - Sweet Potato Steak Fries, 4.5 oz (8 Steak Fries)",180,27,7,2,0,240,12,3
2012-08-18,Dinner,"Hershey's - Cookies'n'cream Eggs, 4 pieces (42 g)",147,17,8,2,3,53,13,0
2012-08-19,Snacks,"Fresh Fruit - Lychee, 12 piece",72,19,0,1,0,0,18,1
2012-08-19,Snacks,"Frito-Lay - Baked Cheetos Individual Serving Bag, 1 package",120,17,5,2,0,200,1,1
2012-08-19,Snacks,Frito-Lay - Sun Chips - Harvest Cheddar,1,NA,NA,NA,1,NA,NA,15
2012-08-19,Breakfast,"Morningstar - Sausage Patties, 1 patty",80,3,3,10,0,260,1,1
2012-08-19,Breakfast,"Pillsbury Grands - Flakey Layers Original Biscuits, 2 Biscuit",340,50,14,6,0,1.08,8,2
2012-08-19,Lunch,"Hershey's - Cookies'n'cream Eggs, 8 pieces (42 g)",293,33,16,4,7,107,27,0
2012-08-19,Dinner,"Watermelon - Raw, 1 cup, balls",46,12,0,1,0,2,10,1
2012-08-19,Dinner,"Country Crock - Butter, 1 Tbsp",50,0,5,0,0,95,0,0
2012-08-20,Snacks,Frito-Lay - Sun Chips - Harvest Cheddar,1,NA,NA,NA,2,NA,NA,15
2012-08-20,Snacks,"Pillsbury Grands - Flakey Layers Original Biscuits, 1 Biscuit",170,25,7,3,0,540,4,1
