analysis,cutoff_hour,cutoff_hhmm,target,target_label,early_n,late_n,early_mean,late_mean,diff_early_minus_late,raw_r,raw_n,partial_r,partial_n
cutoff_sweep,25.0,01:00,cal_next,Next-day calories,446,1586,2227.674887892377,2195.3732660781843,32.30162181419246,0.027335878299723938,2032,0.013172371097865097,2032
cutoff_sweep,25.0,01:00,steps_next,Next-day steps,447,1609,4110.474272930649,3588.392169049099,522.0821038815502,0.06500157259754132,2056,0.040510757490506845,2033
cutoff_sweep,25.0,01:00,sleep_hours,Sleep duration,447,1610,8.433982102908278,7.638024844720497,0.795957258187781,0.21478139330647295,2057,0.1860269859194779,2033
cutoff_sweep,25.166666666666668,01:10,calories,Same-day calories,514,1519,2244.7548638132293,2187.7162606978277,57.038603115401656,0.050677630631433795,2033,0.008340195711588016,2033
cutoff_sweep,25.166666666666668,01:10,surplus,Same-day surplus,514,1519,13.124513618677042,-28.797235023041473,41.921748641718516,0.03759513172589958,2033,0.005064930498937021,2033
cutoff_sweep,25.166666666666668,01:10,steps,Same-day steps,515,1542,4018.945631067961,3594.407263294423,424.5383677735381,0.055520270814466866,2057,0.06916594020488032,2033
cutoff_sweep,25.166666666666668,01:10,tdee,Same-day TDEE,514,1519,2231.6303501945526,2216.513495720869,15.116854473683816,0.03960497108872116,2033,0.010472724285434646,2033
cutoff_sweep,25.166666666666668,01:10,cal_next,Next-day calories,514,1518,2211.0661478599222,2199.550065876153,11.516081983769254,0.010235566320083387,2032,-0.005490759607321357,2032
cutoff_sweep,25.166666666666668,01:10,steps_next,Next-day steps,515,1541,3939.883495145631,3622.3653471771577,317.5181479684734,0.04152663686937112,2056,0.018248871942766833,2033
cutoff_sweep,25.166666666666668,01:10,weight_change,Weight change,221,739,0.04977375565610834,-0.10527740189445187,0.1550511575505602,0.0608158996801101,960,0.05357071807008588,958
cutoff_sweep,25.166666666666668,01:10,sleep_hours,Sleep duration,515,1542,8.476970873786406,7.588566796368353,0.8884040774180537,0.2518236723270993,2057,0.21220559935896266,2033
cutoff_sweep,25.333333333333332,01:20,calories,Same-day calories,590,1443,2257.0254237288136,2179.6950796950796,77.33034403373404,0.07174573482259505,2033,0.036435124182581734,2033
