residence_days,tol,move_window,move_thresh,move_scale,base_rate,down_factor,subject_r90,subject_r180,score,trial_mean_abs_err,trial_worst_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
28,3.0,21,0.1,0.02,0.0075,1.0,-0.6155615503993896,-0.7640703886046847,0.10270039364743896,16.109822632534154,19.066470410126758,10.145525672802396,2.8352489535721195,3.6596550766592415
42,4.0,14,0.1,0.02,0.01,0.5,-0.4797674046071308,-0.606559758821754,0.10254001881607128,12.051668662004534,13.619401255096882,13.659253718376302,4.434691628739691,4.598783417062076
14,3.0,21,0.1,0.02,0.005,1.0,-0.5261282748963712,-0.6685345980956248,0.1024901978803611,13.08361071367554,16.196586274249928,11.527050212644836,4.0413622362510315,4.26077740511215
21,2.5,21,0.08,0.02,0.0075,1.0,-0.5813844284003407,-0.7303263185420518,0.10219826312978711,14.993230352430759,17.932155822193838,11.264803532856195,2.879642078128804,3.7563336341964506
28,4.0,21,0.1,0.02,0.0075,0.5,-0.4374706450268681,-0.553552147776805,0.10133066743583419,10.757035707406898,12.099926344289596,14.066904867328203,5.3759319586307655,4.93819739467164
14,2.5,14,0.1,0.02,0.0075,1.0,-0.664219020191782,-0.8043462392727003,0.10063775900886293,17.898810535753874,20.560505046784158,8.911166969123984,2.645427388215548,3.4237968605193383
28,3.0,21,0.08,0.02,0.01,0.5,-0.4727387908773737,-0.5962527405550463,0.10046469829571464,12.086446757976848,13.054515742212207,14.176187552425306,4.475807115069436,4.6683846665551885
42,4.0,21,0.08,0.02,0.01,1.0,-0.643541078937952,-0.7913435992364156,0.10042266579239598,17.17704964793689,19.95774201868182,10.171488677287183,2.1783581596149104,3.300281078848266
28,4.0,14,0.1,0.02,0.0075,1.0,-0.6365457639922204,-0.7831342704379978,0.10005984126151002,16.943109965566386,19.762372341938267,9.56776204644009,2.7503739526262434,3.549069335287975
21,4.0,21,0.1,0.02,0.01,1.0,-0.7744929731214097,-0.8792486569410765,0.09993094384396514,21.813298761647864,23.82960540444873,6.6978524154395185,1.8670366947529122,2.783168376928027
14,3.0,21,0.08,0.02,0.01,1.0,-0.7332560269028396,-0.8564569326093898,0.09929851074331766,20.381105677681393,22.63354026058941,7.896266954043936,1.8969616224375752,2.8837901815937466
28,4.0,21,0.1,0.02,0.01,1.0,-0.7503355384540193,-0.8685635138975658,0.09879956747375288,21.001128908792985,23.151339280440677,7.261375654361032,1.940694300367566,2.899616559067473
21,2.5,21,0.08,0.02,0.01,1.0,-0.6851502386838998,-0.8232542966673454,0.09852623992413334,18.711568696339928,21.239262483296788,9.10124129316187,2.0261263323269185,3.09884866291161
21,2.5,21,0.05,0.02,0.01,1.0,-0.5596741303660882,-0.7099754341266721,0.09843667123865898,14.981050397652451,16.161645117438013,13.564050794662188,2.467529320649141,3.8364332462654795
28,3.0,21,0.08,0.02,0.01,1.0,-0.668007853147547,-0.8112297336423403,0.09817248713523158,18.119403888444737,20.74472882434206,9.512958586972866,2.0830584695511787,3.179681075159383
21,3.0,14,0.1,0.02,0.0075,1.0,-0.6389396499608269,-0.7841718644221403,0.09688317823044182,17.139593093637902,19.9264609857627,9.439532578605938,2.723194643009113,3.5221573973787743
28,4.0,14,0.08,0.02,0.0075,1.0,-0.5794241864931224,-0.7303760847649513,0.09676292150233537,15.093660378482946,18.078805742112817,11.147869910816684,2.8609655745832163,3.7289994043160175
21,3.0,14,0.08,0.02,0.0075,1.0,-0.5832457053371205,-0.7329498637814151,0.09662264139053178,15.208926426317355,18.244453542024164,11.01862806162546,2.8325567812388965,3.702596935838953
21,3.0,14,0.05,0.02,0.01,1.0,-0.5603414053808503,-0.7111792245455368,0.09660878296806333,15.017061972244582,16.339138296789532,13.417602563972133,2.436619606476007,3.8165765474047584
14,4.0,14,0.08,0.02,0.01,1.0,-0.7363197468821867,-0.8578948013804457,0.0961734802122001,20.59939386780795,22.815838931382757,7.761133880787197,1.871039233546836,2.8422915650819505
14,4.0,21,0.1,0.02,0.01,1.0,-0.7916812506456308,-0.8853972370906782,0.09606591522038516,22.555886152658847,24.449761237206868,6.192909454195742,1.7965753974371206,2.6695105990896635
21,4.0,14,0.08,0.02,0.01,1.0,-0.7120092203690698,-0.8430754855359834,0.09571885537801508,19.75795396931377,22.113128560477925,8.353161665726532,1.9441108532455362,2.957981461449286
28,3.0,21,0.08,0.02,0.0075,1.0,-0.563519377703462,-0.7139849902294486,0.09508669520301563,14.68396091405533,17.47534642193398,11.634595743089546,2.9450456828113594,3.828703819569273
14,2.5,21,0.08,0.02,0.01,1.0,-0.7187393486456615,-0.8468307349888178,0.09470887804220654,20.030961201171372,22.341124658002744,8.1548130370492,1.9204499623729694,2.926661983749381
21,3.0,21,0.1,0.02,0.0075,0.5,-0.43121788757101204,-0.5456874482331124,0.09434396135275219,10.75041919201939,12.186554237787206,14.002199041288513,5.355067675756811,4.927514288587935
14,4.0,14,0.1,0.02,0.01,0.3,-0.40298121626833533,-0.49830035923632604,0.09383865609748568,10.033698152189881,10.8468597127052,14.522592574520532,6.083923395311866,5.166814508114203
