sp_params,baseline,m0,a,b,c,rmse,corr,mean_m,frac_high,frac_low,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
"tol=3.0,hold=7,rate=0.001",0,0.1,0.005,0.002,100,2069.7622480472664,-0.1357385467957567,0.9013008712838436,0.8842459173871278,0.08309317963496637,-2.988523278416552,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.2,0.005,0.002,100,2069.7622480472664,-0.1357385467957567,0.901348902023517,0.8842459173871278,0.08261287223823247,-2.9885472937863886,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.005,0.002,100,2069.7622480472664,-0.1357385467957567,0.9013969327631903,0.8842459173871278,0.08261287223823247,-2.9885713091562254,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.0,0.002,0.002,50,2072.5094511489806,-0.13638047507624623,0.8983593742820645,0.8794428434197886,0.08021133525456292,-2.989478768877132,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.002,0.002,50,2072.5094511489806,-0.13638047507624623,0.8984074050217378,0.8794428434197886,0.08021133525456292,-2.9895027842469686,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.002,0.002,50,2072.5094511489806,-0.13638047507624623,0.8984554357614111,0.8794428434197886,0.07973102785782901,-2.9895267996168053,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.3,0.002,0.002,50,2072.5094511489806,-0.13638047507624623,0.8985034665010847,0.8794428434197886,0.07973102785782901,-2.989550814986642,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.0,0.001,0.001,0,2069.89054996615,-0.13335292639651675,0.9009060440991181,0.8717579250720461,0.06532180595581172,-2.9896469769426925,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.1,0.001,0.001,0,2069.89054996615,-0.13335292639651675,0.9009540748387915,0.8717579250720461,0.06532180595581172,-2.9896709923125293,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.2,0.001,0.001,0,2069.89054996615,-0.13335292639651675,0.9010021055784648,0.8717579250720461,0.06484149855907781,-2.989695007682366,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.001,0.001,0,2069.89054996615,-0.13335292639651675,0.9010501363181382,0.8717579250720461,0.06484149855907781,-2.989719023052203,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.0,0.005,0.005,0,2069.8696689304015,-0.13526344167824486,0.9037163162062646,0.8967339097022095,0.08981748318924111,-2.9900759743196534,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
