date,fm,surplus,sp,pressure,suppression,expression_day
2015-06-18,39.16,-663.0,46.20700299487582,387.5851647181704,1050.5851647181703,0
2015-06-19,38.98,-121.0,46.19977599188095,397.0876795534523,518.0876795534523,0
2015-06-20,38.94,152.0,46.192516215889064,398.8883918738987,246.88839187389868,0
2015-06-21,38.98,-1002.0,46.18530369967318,396.2917034820249,1398.2917034820248,0
2015-06-22,38.7,-456.0,46.1778183959735,411.28001177854253,867.2800117785425,0
2015-06-23,38.57,-824.0,46.17021057757753,418.01158176676404,1242.011581766764,0
2015-06-24,38.33,-664.0,46.16237036699995,430.7803701849974,1094.7803701849975,0
2015-06-25,38.14,-696.0,46.15434799663295,440.7891398148122,1136.7891398148122,0
2015-06-26,37.94,-616.0,46.146133648636315,451.3373506749975,1067.3373506749974,0
2015-06-27,37.77,-667.0,46.137757514987676,460.22666332432203,1127.226663324322,0
2015-06-28,37.58,-586.0,46.12919975747269,470.20598666099806,1056.205986660998,0
2015-06-29,37.41,-709.0,46.12048055771522,479.0764306743372,1188.0764306743372,0
2015-06-30,37.21,-593.0,46.1115700771575,489.5863542436626,1082.5863542436625,0
2015-07-01,37.03,-997.0,46.102488507080345,498.98686788941893,1495.986867889419,0
2015-07-02,36.75,-737.0,46.09313601857326,513.8724810215294,1250.8724810215294,0
2015-07-03,36.54,-437.0,46.08358288255469,524.8970585405078,961.8970585405078,0
2015-07-04,36.41,-295.0,46.07390929967213,531.5150114819673,826.5150114819673,0
2015-07-05,36.33,12.0,46.06416539037246,535.3790964704854,523.3790964704854,0
2015-07-06,36.33,-548.0,46.05443122498209,534.843717374015,1082.843717374015,0
2015-07-07,36.17,-707.0,46.04454679375711,543.1000736566408,1250.1000736566407,0
2015-07-08,35.97,-606.0,46.03447224696335,553.5459735829842,1159.545973582984,0
2015-07-09,35.79,230.0,46.02422777471639,562.8825276094013,332.88252760940134,0
2015-07-10,35.86,56.0,46.01406354694167,558.473495081792,502.47349508179195,0
2015-07-11,35.88,67.0,46.00392948339473,556.8161215867099,489.81612158670987,0
2015-07-12,35.89,54.0,45.99381555391133,555.7098554651233,501.70985546512327,0
2015-07-13,35.91,141.0,45.98373173835742,554.0552456096583,413.0552456096583,0
2015-07-14,35.95,-533.0,45.97369800661906,551.3033903640481,1084.303390364048,0
2015-07-15,35.79,-316.0,45.96351430861244,559.5432869736842,875.5432869736842,0
2015-07-16,35.7,-507.0,45.95325079430383,563.9287936867104,1070.9287936867104,0
2015-07-17,35.56,-138.0,45.942857543509525,571.0571648930238,709.0571648930238,0
2015-07-18,35.52,1515.0,45.932434685966015,572.6839077281306,0.0,0
2015-07-19,35.95,-13.0,45.92245225128005,548.4848738204025,561.4848738204025,0
2015-07-20,35.94,-512.0,45.91246979902877,548.4858389465825,1060.4858389465826,0
2015-07-21,35.8,558.0,45.902357329229744,555.629653107636,0.0,0
2015-07-22,35.96,235.0,45.892414971900514,546.2828234545283,311.2828234545283,0
2015-07-23,36.02,-26.0,45.88254255692861,542.4398406310735,568.4398406310735,0
2015-07-24,36.01,236.0,45.872670014371685,542.4468507904428,306.4468507904428,0
2015-07-25,36.08,-640.0,45.862877344357315,538.0582539396524,1178.0582539396523,0
2015-07-26,35.9,-530.0,45.85291446701296,547.4102956857128,1077.4102956857128,0
2015-07-27,35.74,-495.0,45.84280155254594,555.6540853900267,1050.6540853900267,0
2015-07-28,35.6,246.0,45.8325587509934,562.7907313046369,316.7907313046369,0
2015-07-29,35.67,225.0,45.82239619224241,558.3817905733324,333.3817905733324,0
2015-07-30,35.74,-82.0,45.81231379605016,553.9772587827588,635.9772587827588,0
2015-07-31,35.71,891.0,45.802211482254116,555.0716315239763,0.0,0
2015-08-01,35.96,2071.0,45.792369270771864,540.7803098924525,0.0,0
2015-08-02,36.56,0.0,45.783136901501095,507.2725295825601,507.2725295825601,0
2015-08-03,36.55,0.0,45.773903764599595,507.3147070529779,507.3147070529779,0
2015-08-04,36.55,206.0,45.764679860834995,506.8073923459249,300.8073923459249,0
2015-08-05,36.61,-115.0,45.75552518097416,503.00388495357885,618.0038849535788,0
2015-08-06,36.58,470.0,45.74634965579319,504.1492310686255,34.14923106862551,0
2015-08-07,36.71,209.0,45.737313306137395,496.5022318375567,287.5022318375567,0
2015-08-08,36.77,417.0,45.72834599283126,492.709029605719,75.70902960571902,0
2015-08-09,36.89,205.0,45.71950764683843,485.62292057611364,280.62292057611364,0
2015-08-10,36.95,407.0,45.71073813919159,481.84059765553735,74.84059765553735,0
2015-08-11,37.06,1859.0,45.7020874010524,475.31480705788204,0.0,0
2015-08-12,37.59,183.0,45.69397531365135,445.7186422508241,262.7186422508241,0
2015-08-13,37.64,474.0,45.6859213383377,442.52567360857347,0.0,0
2015-08-14,37.78,-36.0,45.678015416999365,434.390847934965,470.390847934965,0
2015-08-15,37.77,-356.0,45.670107401582364,434.5059070870298,790.5059070870298,0
2015-08-16,37.66,108.0,45.66209729418078,440.1153511799432,332.1153511799432,0
2015-08-17,37.69,229.0,45.6541251968866,438.02688582876334,209.02688582876334,0
2015-08-18,37.76,674.0,45.64623107168972,433.74270894293466,0.0,0
2015-08-19,37.95,-5.0,45.63853484061803,422.8694162339914,427.8694162339914,0
2015-08-20,37.95,38.0,45.63084630577741,422.4465468177574,384.4465468177574,0
2015-08-21,37.96,-142.0,45.62317545947163,421.4746502709397,563.4746502709397,0
2015-08-22,37.92,1238.0,45.615472284012164,423.2509756206689,0.0,0
2015-08-23,38.27,49.0,45.60812681172815,403.59697464504796,354.59697464504796,0
2015-08-24,38.28,-362.0,45.60079868491642,402.643927670403,764.643927670403,0
2015-08-25,38.19,-606.0,45.593387886231504,407.18633374273287,1013.1863337427328,0
2015-08-26,38.02,-518.0,45.58581449834527,416.11979740898977,934.1197974089898,0
2015-08-27,37.88,-506.0,45.57810868384693,423.39597761158086,929.3959776115809,0
2015-08-28,37.74,-267.0,45.57027057516308,430.66488163396923,697.6648816339692,0
2015-08-29,37.67,-529.0,45.562370304587915,434.08036675233524,963.0803667523353,0
2015-08-30,37.52,-610.0,45.55432793428333,441.8880363855829,1051.8880363855828,0
2015-08-31,37.36,-659.0,45.546133606349045,450.23734834919753,1109.2373483491974,0
2015-09-01,37.17,-364.0,45.5377574727427,460.22666100084825,824.2266610008483,0
2015-09-02,37.07,-194.0,45.529289715269954,465.26093433984744,659.2609343398474,0
2015-09-03,37.02,-273.0,45.52078042555468,467.5429234055074,740.5429234055074,0
2015-09-04,36.94,-437.0,45.51219964512913,471.4709804821023,908.4709804821023,0
2015-09-05,36.81,-544.0,45.503497445484,478.1423595016199,1022.1423595016199,0
2015-09-06,36.66,-337.0,45.49465394803852,485.9059671421187,822.9059671421187,0
2015-09-07,36.56,348.0,45.48571929409048,490.91456117497626,142.91456117497626,0
2015-09-08,36.66,34.0,45.47689357479639,484.9291466138018,450.9291466138018,0
2015-09-09,36.67,1757.0,45.46808668122159,483.8947674671875,0.0,0
2015-09-10,37.17,2251.0,45.45978859454037,455.9383726997203,0.0,0
2015-09-11,37.82,1209.0,45.45214880594583,419.7681843270208,0.0,1
2015-09-12,38.16,2140.0,45.44485665713989,400.667116142694,0.0,1
2015-09-13,38.78,1908.0,45.43819180048275,366.2005490265511,0.0,1
2015-09-14,39.32,2448.0,45.43819180048275,336.50054902655114,0.0,1
2015-09-15,40.02,1339.0,45.43819180048275,298.00054902655097,0.0,1
2015-09-16,40.41,642.0,45.43819180048275,276.5505490265513,0.0,1
2015-09-17,40.59,1090.0,45.43819180048275,266.65054902655095,0.0,1
2015-09-18,40.9,1253.0,45.43819180048275,249.60054902655122,0.0,1
2015-09-19,41.26,1078.0,45.43819180048275,229.80054902655127,0.0,1
2015-09-20,41.57,1493.0,45.43819180048275,212.75054902655114,0.0,1
2015-09-21,42.0,1919.0,45.43819180048275,189.10054902655116,0.0,1
2015-09-22,42.55,1559.0,45.43819180048275,158.8505490265513,0.0,1
2015-09-23,42.99,-338.0,45.43819180048275,134.65054902655106,472.65054902655106,0
2015-09-24,42.9,210.0,45.435653608682266,139.4609484775247,0.0,0
2015-09-25,42.96,24.0,45.43317795507358,136.02478752904693,112.02478752904693,0
2015-09-26,42.97,931.0,45.43071477711851,135.3393127415181,0.0,0
2015-09-27,43.23,498.0,45.42851406234139,120.91827342877676,0.0,0
2015-09-28,43.38,2019.0,45.426465548279054,112.55560515534785,0.0,1
2015-09-29,43.95,707.0,45.424989082730775,81.12439955019248,0.0,1
2015-09-30,44.16,1140.0,45.42372409364805,69.5048251506428,0.0,1
2015-10-01,44.48,1121.0,45.4227803695544,51.85292032549231,0.0,1
2015-10-02,44.8,1679.0,45.42215758918485,34.21866740516684,0.0,1
2015-10-03,45.28,1027.0,45.42201543159566,7.810848737761269,0.0,1
2015-10-04,45.58,2376.0,45.422173416164064,-8.680462110976386,0.0,1
2015-10-05,46.26,1072.0,45.422173416164064,-46.08046211097637,0.0,1
2015-10-06,46.57,925.0,45.422173416164064,-63.130462110976495,0.0,1
2015-10-07,46.83,1007.0,45.422173416164064,-77.43046211097638,0.0,1
2015-10-08,47.12,-321.0,45.422173416164064,-93.38046211097634,227.61953788902366,0
2015-10-09,47.03,-284.0,45.4237812427479,-88.34203164886557,195.65796835113443,0
2015-10-10,46.95,-358.0,45.42530746150515,-83.85808961721696,274.14191038278307,0
2015-10-11,46.85,-450.0,45.42673215404364,-78.27973152759981,371.7202684724002,0
2015-10-12,46.72,-568.0,45.4280254218896,-71.05860179607191,496.9413982039281,0
2015-10-13,46.56,265.0,45.42915739646771,-62.19634319427616,0.0,0
2015-10-14,46.63,-539.0,45.43035823907124,-65.98029685108199,473.019703148918,0
2015-10-15,46.48,-369.0,45.43140788083217,-57.67256655423058,311.32743344576943,0
2015-10-16,46.38,-562.0,45.432356472951334,-52.12039398767679,509.8796060123232,0
2015-10-17,46.22,-303.0,45.43314411647838,-43.277073593688975,259.72292640631105,0
2015-10-18,46.13,-364.0,45.4338409723619,-38.28874652009567,325.7112534799043,0
2015-10-19,46.02,-505.0,45.43442713138954,-32.206507773575446,472.7934922264246,0
2015-10-20,45.87,-339.0,45.43486270425815,-23.932551265801543,315.0674487341985,0
2015-10-21,45.78,877.0,45.43520784155389,-18.963568714536123,0.0,0
2015-10-22,46.02,511.0,45.43579263371234,-32.13140514582154,0.0,0
2015-10-23,46.17,230.0,45.436526841078624,-40.34102374067576,0.0,1
2015-10-24,46.23,-494.0,45.437320314237546,-43.5973827169348,450.4026172830652,0
2015-10-25,46.09,-437.0,45.43797299392331,-35.86148533421813,401.1385146657819,0
2015-10-26,45.96,-366.0,45.43849502092939,-28.682773848883727,337.3172261511163,0
2015-10-27,45.85,-12.0,45.43890652590846,-22.610141075034917,0.0,0
2015-10-28,45.85,-305.0,45.43931761938255,-22.587530933959847,282.41246906604016,0
2015-10-29,45.76,-305.0,45.43963830176317,-17.619893403025664,287.3801065969743,0
2015-10-30,45.67,-655.0,45.439868663461404,-12.657223509622888,642.3427764903771,0
2015-10-31,45.48,-455.0,45.439908794797944,-2.2050162861129152,452.79498371388706,0
2015-11-01,45.35,-147.0,45.439818886003145,4.940038730172915,151.94003873017292,0
2015-11-02,45.31,-523.0,45.43968906711714,7.132898691442762,530.1328986914427,0
2015-11-03,45.16,155.0,45.43940937805002,15.36751579275144,0.0,0
2015-11-04,45.21,-307.0,45.43917996867197,12.604898276958423,319.6048982769584,0
2015-11-05,45.12,-386.0,45.4388607887033,17.53734337868174,403.5373433786817,0
2015-11-06,45.01,-425.0,45.4384319279146,23.5637560353031,448.5637560353031,0
2015-11-07,44.89,-448.0,45.43788349598668,30.13359227926749,478.1335922792675,0
2015-11-08,44.77,234.0,45.4372156124907,36.696858686988136,0.0,0
2015-11-09,44.83,193.0,45.436608396878206,33.363461828301446,0.0,0
2015-11-10,44.89,474.0,45.436061788481325,30.033398366472852,0.0,1
2015-11-11,45.03,-14.0,45.43565572669284,22.311064968106322,36.31106496810632,1
