date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2014-12-30,-3.05,11.85,2406.0,159.0,33.35,1.89,2091.0,129.0,
2014-12-31,-3.15,11.87,2406.0,159.0,33.33,1.86,2091.0,129.0,
2015-01-01,-3.28,11.88,2406.0,159.0,33.3,1.84,2091.0,129.0,
2015-01-02,-3.54,11.9,2406.0,159.0,33.13,1.81,2091.0,128.0,
2015-01-03,-3.61,11.92,2405.0,159.0,33.14,1.79,2091.0,128.0,
2015-01-04,-3.78,11.93,2405.0,159.0,33.07,1.76,2091.0,128.0,
2015-01-05,-3.87,11.95,2405.0,159.0,33.07,1.73,2091.0,128.0,
2015-01-06,-4.04,11.97,2405.0,159.0,32.98,1.71,2091.0,128.0,
2015-01-07,-3.96,11.98,2405.0,159.0,33.16,1.68,2091.0,128.0,
2015-01-08,-4.22,12.0,2405.0,159.0,32.99,1.65,2091.0,128.0,
2015-01-09,-4.51,12.02,2405.0,159.0,32.79,1.63,2091.0,127.0,
2015-01-10,-4.52,12.04,2404.0,159.0,32.86,1.6,2091.0,127.0,
2015-01-11,-4.52,12.05,2404.0,159.0,32.96,1.57,2090.0,127.0,
2015-01-12,-4.65,12.07,2404.0,159.0,32.92,1.55,2090.0,127.0,
2015-01-13,-4.73,12.09,2404.0,159.0,32.93,1.52,2090.0,127.0,
2015-01-14,-4.69,12.1,2404.0,159.0,33.06,1.49,2090.0,127.0,
2015-01-15,-4.59,12.12,2404.0,159.0,33.25,1.47,2090.0,126.0,
2015-01-16,-4.71,12.14,2404.0,159.0,33.22,1.44,2090.0,126.0,
2015-01-17,-4.68,12.15,2403.0,159.0,33.34,1.42,2090.0,126.0,
2015-01-18,-4.88,12.17,2403.0,159.0,33.23,1.39,2090.0,126.0,
2015-01-19,-5.12,12.19,2403.0,159.0,33.08,1.36,2090.0,125.0,
2015-01-20,-5.24,12.2,2403.0,159.0,33.05,1.34,2090.0,125.0,
2015-01-21,-5.14,12.22,2403.0,159.0,33.24,1.31,2090.0,125.0,
2015-01-22,-5.04,12.24,2403.0,159.0,33.43,1.28,2090.0,125.0,
2015-01-23,-5.12,12.25,2403.0,159.0,33.44,1.26,2090.0,124.0,
2015-01-24,-4.86,12.27,2402.0,159.0,33.79,1.23,2090.0,124.0,
2015-01-25,-4.71,12.29,2402.0,159.0,34.03,1.21,2090.0,124.0,
2015-01-26,-4.93,12.3,2402.0,159.0,33.9,1.18,2090.0,123.0,
2015-01-27,-5.1,12.32,2402.0,159.0,33.82,1.15,2090.0,123.0,
2015-01-28,-5.01,12.34,2402.0,159.0,34.0,1.13,2090.0,122.0,
2015-01-29,-4.8,12.35,2402.0,159.0,34.3,1.1,2090.0,122.0,
2015-01-30,-4.86,12.37,2402.0,159.0,34.32,1.08,2090.0,122.0,
2015-01-31,-4.61,12.38,2401.0,159.0,34.66,1.05,2090.0,121.0,
2015-02-01,-5.28,12.4,2401.0,159.0,34.09,1.03,2090.0,121.0,
2015-02-02,-5.41,12.42,2401.0,159.0,34.05,1.0,2089.0,120.0,
2015-02-03,-5.63,12.43,2401.0,159.0,33.92,0.98,2089.0,120.0,
2015-02-04,-5.71,12.45,2401.0,159.0,33.92,0.96,2089.0,119.0,
2015-02-05,-5.72,12.47,2401.0,159.0,34.0,0.93,2089.0,119.0,
2015-02-06,-5.97,12.48,2401.0,159.0,33.84,0.91,2089.0,118.0,
2015-02-07,-5.74,12.5,2400.0,159.0,34.16,0.89,2089.0,118.0,
2015-02-08,-6.01,12.51,2400.0,159.0,33.99,0.86,2089.0,117.0,
2015-02-09,-6.18,12.53,2400.0,159.0,33.91,0.84,2089.0,117.0,
2015-02-10,-6.43,12.55,2400.0,159.0,33.74,0.82,2089.0,116.0,
2015-02-11,-6.56,12.56,2400.0,159.0,33.7,0.8,2089.0,115.0,
2015-02-12,-6.82,12.58,2400.0,159.0,33.54,0.78,2089.0,115.0,
2015-02-13,-7.02,12.6,2399.0,159.0,33.42,0.76,2089.0,114.0,
2015-02-14,-7.15,12.61,2399.0,159.0,33.38,0.74,2089.0,113.0,
2015-02-15,-7.12,12.63,2399.0,159.0,33.5,0.72,2089.0,113.0,
2015-02-16,-7.37,12.64,2399.0,159.0,33.34,0.7,2089.0,112.0,
2015-02-17,-7.67,12.66,2399.0,159.0,33.13,0.68,2089.0,111.0,
2015-02-18,-7.72,12.68,2399.0,159.0,33.17,0.67,2089.0,110.0,
2015-02-19,-7.96,12.69,2399.0,159.0,33.02,0.65,2089.0,109.0,
2015-02-20,-8.21,12.71,2398.0,159.0,32.86,0.64,2089.0,109.0,
2015-02-21,-8.43,12.72,2398.0,159.0,32.72,0.62,2089.0,108.0,
2015-02-22,32.8,0.98,2218.0,149.0,32.55,0.61,2089.0,107.0,41.739
2015-02-23,32.16,0.7,2225.0,149.0,32.46,0.6,2089.0,106.0,-1.018
2015-02-24,32.0,0.7,2227.0,149.0,32.34,0.59,2089.0,105.0,
2015-02-25,32.01,0.71,2228.0,149.0,32.39,0.59,2089.0,104.0,
2015-02-26,32.08,0.72,2230.0,149.0,32.5,0.58,2089.0,103.0,
2015-02-27,32.15,0.73,2231.0,149.0,32.61,0.58,2089.0,102.0,
2015-02-28,32.23,0.75,2233.0,150.0,32.73,0.58,2089.0,101.0,
2015-03-01,32.24,0.76,2234.0,150.0,32.79,0.57,2090.0,100.0,
2015-03-02,32.16,0.78,2236.0,150.0,32.75,0.57,2090.0,100.0,
2015-03-03,32.05,0.8,2237.0,150.0,32.68,0.57,2090.0,99.0,
2015-03-04,32.16,0.82,2239.0,150.0,32.83,0.57,2090.0,98.0,
2015-03-05,32.14,0.85,2240.0,150.0,32.85,0.58,2091.0,97.0,
2015-03-06,31.9,0.87,2241.0,151.0,32.67,0.58,2091.0,97.0,
2015-03-07,32.11,0.89,2243.0,151.0,32.92,0.58,2092.0,96.0,
2015-03-08,32.05,0.92,2244.0,151.0,32.9,0.59,2092.0,95.0,
2015-03-09,31.84,0.95,2246.0,151.0,32.74,0.59,2093.0,95.0,
