date,fm,sp,surplus,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_30,required_30,stock_30,shortfall_30
2011-06-02,93.43,98.79627665596917,-398.0,295.14521607830375,193.14521607830375,151.9463623223009,151.9463623223009,41.19885375600285,-579.8333333333334,437.9261482856033,349.0441671650249,244.5457656993525
2011-06-03,93.31,98.67096992396837,-917.0,294.8533458182603,711.8533458182603,148.5181626113947,148.5181626113947,563.3351832068656,-575.1333333333333,437.77749808152214,339.3872073044742,254.054075355822
2011-06-04,93.04,98.54235839315912,-998.0,302.62971162375123,800.6297116237513,145.84416683688787,145.84416683688787,654.7855447868634,-593.5,460.53781777283814,331.8547786132447,275.88026018205073
2011-06-05,92.75,98.4100607446192,-973.0,311.30334095405607,784.303340954056,143.75845013277254,143.75845013277254,640.5448908212835,-610.9,482.5177532144562,324.28617152282226,297.2317565427602
2011-06-06,92.47,98.2743895697096,-1060.0,319.24142633402795,879.2414263340279,142.13159110356258,142.13159110356258,737.1098352304653,-630.7,507.0618017773381,316.74324875802665,321.8020843837757
2011-06-07,92.15,98.13450831861645,-1097.0,329.14795752390467,926.1479575239047,140.86264106077883,140.86264106077883,785.2853164631258,-638.6666666666666,520.0045401769655,309.35644030415364,342.1316312372761
2011-06-08,91.83,97.9905131496127,-1349.0,338.82822322869833,1187.8282232286983,139.87286002740746,139.87286002740746,1047.9553632012908,-714.5666666666667,559.5988142845888,303.5947297101327,377.06347667731916
2011-06-09,91.44,97.84089922250365,-1461.0,352.04945723770095,1313.049457237701,139.10083082137783,139.10083082137783,1173.9486264163233,-756.6,603.3671295258454,296.34910092780945,416.1950975578632
2011-06-10,91.02,97.68510966895484,-1441.0,366.5810317925162,1307.5810317925161,138.4986480406747,138.4986480406747,1169.0823837518415,-778.7,632.0299917747636,287.65437918232345,453.5526815522674
2011-06-11,90.61,97.52351394078474,-1026.0,380.24326674316063,906.2432667431606,138.02894547172627,138.02894547172627,768.2143212714343,-827.5,662.2381006662023,280.8724962208444,479.15982559464857
2011-06-12,90.32,97.35898545499286,-1345.0,387.14420002460776,1232.1442000246077,137.6625774679465,137.6625774679465,1094.4816225566613,-884.7666666666667,703.309574000356,272.6393912821167,515.6425463465373
2011-06-13,89.93,97.1893071926993,-1374.0,399.2618955984613,1273.2618955984613,137.37681042499827,137.37681042499827,1135.885085173463,-955.9,745.7516371869714,262.986531259044,553.505382518986
2011-06-14,89.54,97.0145967749619,-1189.0,411.1028226229042,1100.1028226229041,137.15391213149866,137.15391213149866,962.9489104914055,-982.9,781.7221214557229,251.94421636693275,585.6036795353663
2011-06-15,89.19,96.83588273763247,-1296.0,420.5235505697862,1216.5235505697863,136.98005146256895,136.98005146256895,1079.5434991072173,-1039.1333333333334,822.2729064747158,239.68164365552275,621.5884628389401
2011-06-16,88.82,96.65279972287756,-1179.0,430.8039847582662,1109.8039847582663,136.84444014080378,136.84444014080378,972.9595446174626,-1081.0333333333333,859.2663726333246,226.0844553885905,654.0204476595222
2011-06-17,88.48,96.46613271922645,-1242.0,439.23729955745455,1181.2372995574547,136.73866330982693,136.73866330982693,1044.4986362476277,-1110.7333333333333,898.6409492852398,211.18024795272487,688.8370688677766
2011-06-18,88.13,96.275735184783,-923.0,448.0154351630654,871.0154351630654,136.65615738166503,136.65615738166503,734.3592777814004,-1108.3333333333333,906.7198288979496,194.99586691017774,713.1003295230333
2011-06-19,87.86,96.08351952751353,-1308.0,452.2935740132442,1260.2935740132443,136.5918027576987,136.5918027576987,1123.7017712555457,-1123.4333333333334,932.0414559701101,182.3720496969909,750.5570552315515
2011-06-20,87.48,95.88701486992854,-977.0,462.38581784606924,939.3858178460692,136.541606151005,136.541606151005,802.8442116950642,-1127.5666666666666,946.4137584825205,172.4277285553394,774.8736788856135
2011-06-21,87.2,95.6886031760872,-75.0,466.8731746847958,41.8731746847958,136.50245279778392,41.8731746847958,0.0,-1107.4666666666667,936.3905276800318,164.67115806485123,774.8736788856135
2011-06-22,87.18,95.4942664109649,-1591.0,457.284652603069,1548.284652603069,175.3977688048691,175.3977688048691,1372.8868837982,-1124.3333333333333,962.7992616274959,159.7410318113372,806.2125390865916
2011-06-23,86.72,95.29386188917212,-900.0,471.5624039044667,871.5624039044667,166.81025966779788,166.81025966779788,704.7521442366688,-1121.6,969.6766880478046,155.89553333359626,816.9354639846413
