date,start_time,duration_min,distance_m,kph,hr_mean,hr_median,hr_max,hr_samples,hr_resid_all,hr_resid_2021p,datauuid
2017-04-02,2017-04-02 19:58:20.782000,60.53,5047.7,5.003,147.77,154.00,167,60,28.93,36.80,d31931c1-a0fb-68b6-45c4-89f145375bbb
2017-04-11,2017-04-11 23:48:01.949000,45.14,3145.0,4.180,135.33,141.50,157,46,22.17,29.21,aadc7743-a7f7-317f-acfb-9da2862e097a
2017-04-14,2017-04-14 23:10:50.090000,51.11,3758.9,4.413,150.19,147.00,200,52,35.43,42.70,23fddb2b-28bc-1e04-26ad-ff4560683085
2017-04-15,2017-04-15 01:01:14.619000,37.56,2560.4,4.091,127.18,135.00,154,38,14.65,21.60,2f9b34c9-47d4-a497-b625-0d574fd3b55a
2017-04-20,2017-04-20 23:08:22.755000,40.12,3107.1,4.646,143.90,147.00,200,41,27.53,35.04,a90e8a4e-976e-f4a3-dc6e-11a906447dac
2017-04-25,2017-04-25 00:21:28.980000,31.33,2407.6,4.611,140.53,144.50,160,32,24.40,31.88,59a56272-7919-64d9-53d1-9d59df77d8de
2017-04-27,2017-04-27 20:56:25.802000,46.05,3668.2,4.779,130.70,143.00,193,47,13.41,21.05,c3d2a7d5-8037-7fd7-3e93-242000c47b68
2017-04-28,2017-04-28 20:53:02.856000,32.56,2636.0,4.858,133.36,142.00,162,33,15.53,23.25,84b52987-c221-6eb3-5a8f-5bdf04806397
2017-06-04,2017-06-04 23:36:02.702000,32.34,2324.3,4.313,136.82,144.00,170,33,22.75,29.92,5b96dcfc-db7a-64f6-f3cd-841140e9ff17
2017-08-28,2017-08-28 22:14:30.587000,31.72,2665.2,5.042,147.41,147.50,190,32,28.30,36.21,7bfc6905-f7e4-e7b4-abaa-e9912547e290
2017-09-04,2017-09-04 22:01:48.960000,31.31,2723.6,5.219,129.41,133.00,159,32,9.08,17.17,f02cea3b-5898-6be1-f7cc-87a781f3069c
2017-09-28,2017-09-28 01:34:17.744000,34.60,2525.9,4.380,131.29,138.00,151,35,16.75,23.99,d697c326-554e-1c2b-547d-f42d67a3b19f
2017-09-28,2017-09-28 22:48:00.887000,29.36,2134.0,4.360,133.23,137.50,152,30,18.83,26.05,f9c5bd4a-40d1-decc-9807-a1bcbf990c96
2017-09-30,2017-09-30 19:50:29.550000,30.05,2239.1,4.470,148.77,146.00,195,31,33.62,40.95,f6c30a99-c25c-391d-90d5-04991981961a
2017-10-01,2017-10-01 16:45:26.926000,31.27,2614.6,5.016,121.22,113.50,165,32,2.29,10.18,740cfa13-3aca-06e4-3655-6fe26f9f5d27
2017-10-02,2017-10-02 22:24:09.122000,37.24,2854.0,4.598,129.08,123.50,199,38,13.04,20.50,f504b44f-8066-df88-bfce-6ffc140f2d7d
2017-10-04,2017-10-04 23:14:05.914000,40.13,2769.3,4.141,135.37,140.00,183,41,22.48,29.48,5d5e5921-0db3-fad4-158c-3d3b917f8524
2017-10-05,2017-10-05 22:42:20.524000,47.88,3721.6,4.663,141.12,148.00,161,48,24.63,32.16,6acd11a0-4dd2-6af9-8369-4a12e86a464a
2017-10-06,2017-10-06 22:54:31.882000,31.40,2215.7,4.234,127.19,126.00,154,32,13.66,20.76,c72ae514-ad5e-c49a-69b3-6cd34020116c
2017-10-07,2017-10-07 01:50:36.268000,32.79,1916.2,3.506,119.85,123.00,175,33,11.34,17.70,f8c6b9e7-3735-afc8-f7a1-e2fb7a4ef566
2017-10-07,2017-10-07 18:57:10.858000,30.39,2381.2,4.702,126.29,134.00,160,31,9.53,17.10,7819116e-d33f-e96a-157b-6a1f8d2df268
2017-10-07,2017-10-07 22:56:59.200000,29.27,2045.9,4.195,128.23,135.00,157,30,14.98,22.03,76876769-1125-6a11-f192-04ec49f5f920
2017-10-09,2017-10-09 16:29:53.569000,40.09,3086.1,4.619,124.80,118.00,191,41,8.62,16.10,bc0f9084-5acf-74d6-75be-cec0e0cdc665
2017-10-12,2017-10-12 21:59:46.494000,29.85,2340.8,4.706,140.80,148.00,159,30,24.02,31.59,b0cb10aa-5b56-78b4-2a5e-46adf101f258
2017-10-15,2017-10-15 18:56:43.626000,37.22,3006.4,4.847,110.97,113.50,154,38,-6.78,0.93,07a9b3d8-4522-23fb-82ef-ee6cd92e0501
2017-10-18,2017-10-18 16:04:45.822000,36.70,3010.1,4.921,140.19,152.00,202,37,21.92,29.71,188973d4-15b8-9e15-12fa-87f42ec72d60
2017-10-19,2017-10-19 20:41:13.318000,61.18,4432.1,4.346,142.42,144.00,197,62,28.12,35.32,a3af34d0-8394-48df-1b36-9f8f2c215ecb
2017-10-22,2017-10-22 23:10:37.436000,32.73,2290.0,4.197,133.48,138.00,153,33,20.21,27.27,ad1c5341-4c45-2ac7-973e-237bef472896
2017-10-26,2017-10-26 21:45:06.045000,33.62,2349.7,4.194,136.29,140.50,157,34,23.04,30.10,b2d66068-0fef-8022-ba3a-251eb4b91c45
2017-10-27,2017-10-27 19:12:44.457000,31.45,2500.9,4.770,112.42,103.00,203,31,-4.81,2.82,b87a02e9-c150-19ba-dec9-c522cb15aa8e
2017-10-30,2017-10-30 20:13:39.030000,20.52,1524.1,4.457,98.38,92.00,145,21,-16.69,-9.37,11794fc6-4a83-ded6-e323-7f9184ef00bf
2018-02-15,2018-02-15 19:05:36.194000,29.04,2415.2,4.990,113.30,111.00,159,30,-5.45,2.41,ceb1cba2-a7e0-d981-8c8c-113e61dcdeea
2020-04-08,2020-04-08 19:03:43.338000,32.71,2665.2,4.889,126.44,119.00,164,32,8.39,16.15,389d44b4-ea5b-b8ba-b9b0-07f5ceeea8c1
2020-04-08,2020-04-08 19:59:05.056000,31.36,2386.5,4.566,110.39,110.00,135,31,-5.43,2.00,5db8406d-9d30-b9d0-2881-b785d80b2513
2020-04-09,2020-04-09 18:48:52.329000,16.12,1308.3,4.870,109.12,107.00,147,17,-8.80,-1.06,bf0d0c2d-e4ea-4ea9-f19a-55590bc6ed02
2020-04-09,2020-04-09 19:49:10.042000,33.57,2766.4,4.945,124.50,124.00,160,34,6.06,13.88,6b65a1db-3f3f-7e87-d944-5a99b776b059
2020-04-10,2020-04-10 19:20:06.721000,32.97,2844.0,5.176,120.47,120.00,165,30,0.44,8.48,3dfc3ae2-6f89-ad17-f236-49ad5fd17e24
2020-04-10,2020-04-10 20:30:17.226000,25.46,2103.7,4.959,129.78,130.00,161,23,11.25,19.08,d761a053-4fec-1d59-f6ca-75ceb4b0c122
2020-04-13,2020-04-13 19:26:43.586000,33.77,2836.0,5.039,109.68,110.00,160,34,-9.40,-1.50,f438263d-a04e-301c-6366-86e22e530a9d
2020-04-13,2020-04-13 20:25:44.990000,33.72,2832.9,5.041,131.80,126.00,169,30,12.70,20.61,bbeec9b0-fc84-c878-8f35-e8e27206ed12
2020-08-16,2020-08-16 19:37:14.610000,35.80,2886.3,4.837,116.81,115.00,145,36,-0.88,6.82,89043ae3-02cf-7466-79d0-3ba8329b8c43
2020-08-21,2020-08-21 19:53:06.550000,33.99,2859.9,5.049,126.06,128.00,160,33,6.91,14.82,f677949e-42e2-976a-5e28-b0977f350e02
2020-08-29,2020-08-29 20:13:27.410000,34.59,2910.3,5.049,129.00,129.00,159,35,9.85,17.77,293da6de-c8d0-f8f5-7449-f56bd5d505f5
2020-08-29,2020-08-29 21:05:23.220000,27.67,2400.0,5.203,123.62,123.00,150,29,3.40,11.47,a68b753f-4649-11cf-3cb6-7c891bc5b4a1
2020-08-31,2020-08-31 19:49:46.410000,34.15,2918.7,5.128,129.46,130.00,156,35,9.76,17.75,0dbe9f8a-07e5-7ec1-8301-c53c9034d561
2020-09-07,2020-09-07 20:01:32.010000,33.99,2851.5,5.034,129.64,124.00,194,33,10.59,18.49,3bedb870-6c71-48bd-af65-30b36bba1531
2020-09-09,2020-09-09 22:43:24.230000,46.76,3910.2,5.018,147.86,149.00,175,37,28.93,36.81,6b8cd34a-ed9a-f370-2311-011359d69dd6
2020-09-14,2020-09-14 19:07:57.930000,35.17,2870.7,4.898,115.50,113.50,158,28,-2.61,5.15,3a694deb-a9a9-4a2d-89e2-f923adfffee0
2020-09-16,2020-09-16 22:24:45.190000,54.86,4225.6,4.621,134.98,141.00,166,53,18.78,26.26,5e9c709e-238e-f37d-a7ef-0f085a60e6f4
2020-09-26,2020-09-26 16:22:14.510000,75.39,6193.3,4.929,125.43,123.50,164,72,7.11,14.90,75bd801a-c14e-0dfd-8325-d33b7df299b4
2020-09-27,2020-09-27 17:21:41.710000,51.96,4158.7,4.802,115.37,115.50,154,52,-2.08,5.58,a5cb225c-5406-8239-eacc-bcccb69c1256
2020-09-28,2020-09-28 22:57:20.090000,27.42,2202.4,4.819,128.32,128.00,168,25,10.76,18.44,274c2000-5520-15f5-dcf1-dcc016bbf1bb
2021-04-16,2021-04-16 18:17:27.710000,25.11,1792.7,4.285,102.17,103.00,118,58,-11.70,-4.56,c0351218-970e-88a8-ed7c-57029b7c6f2a
2021-04-19,2021-04-19 20:20:07.880000,20.94,1508.7,4.323,96.30,100.00,107,84,-17.85,-10.66,61b70b68-46a9-53c9-b84e-a70ffae1f197
2021-04-20,2021-04-20 21:35:51.040000,41.92,2862.3,4.097,118.99,120.50,139,170,6.41,13.37,c5702757-b151-5bb1-bce9-9eedbf8f82b8
2021-04-28,2021-04-28 21:32:57.970000,55.79,4537.0,4.879,111.46,112.00,139,261,-6.52,1.22,4c048e1a-32ce-679d-7ef6-ba3ccee97cb3
2021-05-01,2021-05-01 01:55:26.410000,27.42,1799.3,3.937,110.28,107.00,135,82,-1.20,5.60,63f0d2b5-a032-94d0-d41c-671d28191ccb
2021-05-05,2021-05-05 22:05:36.950000,34.44,2354.3,4.101,103.64,105.00,118,154,-8.97,-2.01,25948659-4995-1c3b-adcc-179cc4a93e08
2021-05-09,2021-05-09 19:48:08.100000,36.72,2810.1,4.592,112.18,111.00,139,199,-3.82,3.64,69f56d26-f525-7a93-ac09-fddeaf224239
