date,fm,surplus,sp,pressure,suppression,load,score,future_event
2012-10-18,28.84,1181.0,80.28486802662151,2829.467741464183,1648.4677414641828,7865366.294600443,1.4250264667440922,1.0
2012-10-19,29.17,1095.0,80.2337531585949,2808.506423722719,1713.5064237227189,7841943.725549654,1.4171117060857763,1.0
2012-10-20,29.49,1409.0,80.1830094054363,2788.1155172989966,1379.1155172989966,7811279.981755198,1.406750067595362,1.0
2012-10-21,29.89,2930.0,80.13271639603086,2763.349401781697,0.0,7751351.421979979,1.3864995047220092,1.0
2012-10-22,30.73,120.0,80.08331367963483,2714.432252379915,2594.432252379915,7745912.389762901,1.3846615919756449,1.0
2012-10-23,30.77,-57.0,80.08331367963483,2712.2322523799157,2769.2322523799157,7744108.602770742,1.3840520712057172,1.0
2012-10-24,30.75,-514.0,80.03398036595519,2710.618920127535,3224.618920127535,7751754.605683593,1.3866357452218674,1.0
2012-10-25,30.61,-268.0,79.98455638558923,2715.6006012074076,2983.6006012074076,7754443.760107198,1.3875444420257887,1.0
2012-10-26,30.53,-637.0,79.93510182920365,2717.2806006062006,3354.2806006062006,7764878.3504199255,1.3910704124141668,1.0
2012-10-27,30.35,834.0,79.88551672737444,2724.453420005594,1890.4534200055941,7744820.333158264,1.384292573247072,1.0
2012-10-28,30.59,-395.0,79.83622121064707,2708.5421665855883,3103.5421665855883,7749893.513145668,1.386006860236249,1.0
2012-10-29,30.48,-343.0,79.78686498943642,2711.877574419003,3054.877574419003,7753994.689824196,1.3873926959128404,1.0
2012-10-30,30.38,-239.0,79.73745812444699,2714.660196844585,2953.660196844585,7756021.562654621,1.3880776000026895,1.0
2012-10-31,30.31,762.0,79.68803066632255,2715.79168664774,1953.7916866477399,7737225.565414032,1.3817262121950136,1.0
2012-11-01,30.53,592.0,79.63887263565623,2700.987994961092,2108.987994961092,7721567.868040916,1.376435292701945,1.0
2012-11-02,30.7,-201.0,79.58993376302057,2688.946356966131,2889.946356966131,7721946.429117066,1.376563212927339,1.0
2012-11-03,30.65,1506.0,79.54099382925754,2689.004660609165,1183.004660609165,7687108.850013577,1.3647911865573292,1.0
2012-11-04,31.08,-191.0,79.49253283542829,2662.689305948556,2853.689305948556,7686428.946070478,1.3645614390446372,1.0
2012-11-05,31.03,-404.0,79.44407030259286,2662.7738666426076,3066.7738666426076,7690109.202328988,1.3658050407769757,1.0
2012-11-06,30.91,1195.0,79.39553623229027,2666.704492775965,1471.7044927759648,7661220.020922387,1.3560430477201029,1.0
2012-11-07,31.25,-405.0,79.34739069605799,2645.3564882831893,3050.3564882831893,7664350.681525147,1.357100934637611,1.0
2012-11-08,31.14,371.0,79.29918330536192,2648.755081794906,2277.755081794906,7651836.523593841,1.3528722539727414,1.0
2012-11-09,31.25,-183.0,79.25113412205656,2640.0623767131106,2823.0623767131106,7650311.505314339,1.3523569324187459,1.0
2012-11-10,31.2,-514.0,79.2030829879345,2640.169564336397,3154.169564336397,7655507.257779182,1.3541126380849313,1.0
2012-11-11,31.05,-287.0,79.15492990494656,2645.771144772061,2932.771144772061,7656304.645098821,1.35438208460778,1.0
2012-11-12,30.97,-434.0,79.10674497504161,2647.5209736272886,3081.5209736272886,7660156.681727154,1.3556837329408136,1.0
2012-11-13,30.85,154.0,79.05848823006657,2651.4668526536616,2497.4668526536616,7652191.508689367,1.352992207597908,1.0
2012-11-14,30.89,-405.0,79.01031974183651,2646.6175858010083,3051.6175858010083,7655446.55593185,1.3540921262191277,1.0
2012-11-15,30.78,191.0,78.96208942209468,2650.014918215207,2459.014918215207,7646707.930686912,1.3511392423084672,1.0
2012-11-16,30.83,274.0,78.91395733267258,2644.617653296992,2370.617653296992,7636140.9760372,1.347568544458953,1.0
2012-11-17,30.91,426.0,78.86595337533991,2637.5774356436955,2211.5774356436955,7622308.767704934,1.342894479112472,1.0
2012-11-18,31.04,-374.0,78.81812742196458,2627.797008208052,3001.797008208052,7624348.033573233,1.3435835709550985,1.0
2012-11-19,30.93,-400.0,78.7702392945426,2631.2131611998434,3031.2131611998434,7627044.1461649,1.344494619005577,1.0
2012-11-20,30.82,1038.0,78.72228905524807,2634.6258980386438,1596.6258980386438,7600801.639273336,1.3356269682935413,1.0
2012-11-21,31.11,892.0,78.67467676619282,2616.057222140605,1724.057222140605,7577090.625587716,1.327614738811762,1.0
2012-11-22,31.37,1575.0,78.62737208942663,2599.1554649184645,1024.1554649184645,7539381.320289262,1.3148723224960512,1.0
2012-11-23,31.82,251.0,78.5805647173372,2571.831059453546,2320.831059453546,7527331.624008375,1.3108005888676086,1.0
2012-11-24,31.9,157.0,78.53388415261986,2564.8636283940923,2407.8636283940923,7516962.921780336,1.3072968828354339,1.0
2012-11-25,31.94,580.0,78.48729026846725,2560.100964765699,1980.1009647656988,7498184.001081846,1.3009512653915165,0.0
2012-11-26,32.11,-2.0,78.44091297819878,2548.200213800933,2550.200213800933,7490513.763542098,1.2983594022108425,0.0
2012-11-27,32.11,218.0,78.39458206522059,2545.6520135871324,2327.6520135871324,7478506.06553813,1.2943018602925043,0.0
2012-11-28,32.17,-313.0,78.34835748315537,2539.8096615735453,2852.8096615735453,7476719.148134568,1.2936980399543208,0.0
2012-11-29,32.08,-349.0,78.30208912567221,2542.2149019119715,2891.2149019119715,7475747.639500032,1.2933697557979942,0.0
2012-11-30,31.99,-112.0,78.25577703654653,2544.6177370100595,2656.6177370100595,7470256.972934735,1.291514395200072,0.0
2012-12-01,31.96,-123.0,78.20948125950999,2543.721469273049,2666.721469273049,7464987.343657718,1.2897337256930164,0.0
2012-12-02,31.92,-465.0,78.16319177825048,2543.375547803776,3008.375547803776,7466417.732582489,1.2902170708787355,1.0
2012-12-03,31.79,-154.0,78.11681858647223,2547.975022255973,2701.975022255973,7461953.726134269,1.2887086307696154,1.0
2012-12-04,31.75,-298.0,78.07045176788576,2547.6248472337165,2845.6248472337165,7460324.418531136,1.2881580686306113,1.0
2012-12-05,31.66,-434.0,78.02404131611787,2550.022272386483,2984.022272386483,7461467.545618057,1.288544344673833,1.0
2012-12-06,31.54,-18.0,77.97755727480175,2554.0656501140966,2572.0656501140966,7454622.209231132,1.286231225262777,1.0
2012-12-07,31.54,-244.0,77.93111971752695,2551.5115844639827,2795.5115844639827,7452153.019982111,1.285396857269936,1.0
2012-12-08,31.47,-283.0,77.88465859780943,2552.806222879519,2835.806222879519,7450519.722236517,1.284844946815019,1.0
2012-12-09,31.39,-491.0,77.83816393921163,2554.6490166566396,3045.6490166566396,7453051.841707927,1.2857005796677183,1.0
2012-12-10,31.25,-508.0,77.79157577527242,2559.786667639983,3067.786667639983,7456119.340305004,1.2867371234030764,1.0
2012-12-11,31.11,-173.0,77.74489419949715,2564.9191809723434,2737.9191809723434,7452792.907225989,1.2856130826708567,1.0
2012-12-12,31.06,-420.0,77.69820930529765,2565.1015117913707,2985.1015117913707,7454360.273230518,1.2861427140175692,1.0
2012-12-13,30.94,-366.0,77.65145109599236,2569.12981027958,2935.12981027958,7455022.902522975,1.2863666242233032,1.0
2012-12-14,30.84,-353.0,77.60463964489637,2572.0551804693,2925.0551804693,7455547.52083779,1.2865438989018292,1.0
2012-12-15,30.74,-94.0,77.55777500525147,2574.9776252888314,2668.9776252888314,7451074.791354941,1.2850325111770506,1.0
2012-12-16,30.71,345.0,77.51092723024622,2574.050997663542,2229.050997663542,7437929.618408735,1.2805906031414378,1.0
2012-12-17,30.81,-111.0,77.46422630301598,2565.982446665879,2676.982446665879,7433565.450044391,1.2791158994912328,1.0
2012-12-18,30.78,-183.0,77.41754207671296,2565.064814219213,2748.064814219213,7430614.769830716,1.2781188300570547,1.0
2012-12-19,30.73,-263.0,77.37085453463625,2565.2469994049934,2828.2469994049934,7429268.611019881,1.2776639472142404,1.0
2012-12-20,30.65,588.0,77.32413368010161,2567.0773524055885,1979.0773524055885,7411248.307372198,1.2715746753648407,1.0
2012-12-21,30.82,-51.0,77.27762954642151,2555.169625053183,2606.169625053183,7405478.594262763,1.2696250216684715,1.0
2012-12-22,30.81,17.0,77.23116191687508,2553.1639054281295,2536.1639054281295,7398341.770209679,1.2672134051579946,1.0
