date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2024-09-16,85.86,0.42,2462.0,74.0,86.01,0.23,2409.0,47.0,0.683
2024-09-17,85.89,0.44,2461.0,75.0,86.05,0.23,2406.0,47.0,
2024-09-18,86.17,0.41,2433.0,74.0,86.04,0.23,2404.0,47.0,1.743
2024-09-19,86.37,0.39,2411.0,74.0,86.01,0.22,2401.0,47.0,1.457
2024-09-20,86.32,0.38,2404.0,73.0,85.88,0.22,2399.0,47.0,0.461
2024-09-21,86.04,0.37,2418.0,73.0,85.73,0.22,2396.0,47.0,-1.104
2024-09-22,85.95,0.36,2418.0,73.0,85.63,0.22,2393.0,46.0,-0.025
2024-09-23,85.85,0.35,2424.0,73.0,85.59,0.22,2390.0,46.0,-0.544
2024-09-24,85.78,0.34,2430.0,72.0,85.58,0.21,2386.0,46.0,-0.589
2024-09-25,85.6,0.34,2436.0,72.0,85.45,0.21,2382.0,46.0,-0.512
2024-09-26,85.34,0.33,2447.0,72.0,85.31,0.21,2379.0,46.0,-0.962
2024-09-27,85.14,0.33,2459.0,72.0,85.24,0.21,2375.0,46.0,-1.124
2024-09-28,84.87,0.33,2474.0,72.0,85.13,0.21,2371.0,46.0,-1.36
2024-09-29,84.73,0.33,2476.0,72.0,85.05,0.22,2367.0,46.0,-0.218
2024-09-30,84.59,0.32,2480.0,72.0,85.0,0.22,2363.0,46.0,-0.438
2024-10-01,84.58,0.32,2486.0,72.0,85.09,0.22,2359.0,46.0,-0.596
2024-10-02,84.51,0.32,2484.0,72.0,85.06,0.22,2356.0,46.0,0.064
2024-10-03,84.43,0.34,2484.0,73.0,85.04,0.22,2352.0,46.0,
2024-10-04,84.32,0.36,2483.0,74.0,84.99,0.22,2349.0,46.0,
2024-10-05,84.47,0.37,2482.0,75.0,85.18,0.22,2346.0,46.0,
2024-10-06,84.43,0.39,2481.0,76.0,85.2,0.22,2343.0,46.0,
2024-10-07,84.67,0.41,2480.0,77.0,85.49,0.22,2340.0,46.0,
2024-10-08,84.48,0.43,2479.0,78.0,85.36,0.22,2338.0,46.0,
2024-10-09,84.85,0.41,2429.0,77.0,85.32,0.22,2335.0,46.0,2.697
2024-10-10,84.84,0.39,2422.0,75.0,85.29,0.22,2333.0,46.0,0.365
2024-10-11,84.84,0.38,2423.0,74.0,85.33,0.22,2331.0,46.0,-0.075
2024-10-12,84.76,0.37,2428.0,74.0,85.36,0.21,2329.0,46.0,-0.446
2024-10-13,84.93,0.36,2411.0,73.0,85.41,0.21,2327.0,46.0,1.223
2024-10-14,84.95,0.38,2410.0,74.0,85.47,0.21,2326.0,46.0,
2024-10-15,85.01,0.37,2395.0,74.0,85.43,0.21,2324.0,46.0,0.999
2024-10-16,85.1,0.36,2380.0,73.0,85.41,0.21,2323.0,46.0,1.053
2024-10-17,84.98,0.35,2365.0,73.0,85.18,0.21,2321.0,46.0,1.045
2024-10-18,84.92,0.34,2364.0,72.0,85.14,0.21,2320.0,46.0,0.033
2024-10-19,84.77,0.34,2363.0,72.0,85.0,0.21,2319.0,46.0,0.065
2024-10-20,84.61,0.34,2367.0,72.0,84.9,0.21,2318.0,46.0,-0.347
