date,fm,surplus,sp,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_pred_no_control,surplus_pred_with_control
2016-01-20,42.45,-809.0,44.3188032572493,102.78417914871135,511.78417914871136,57.260237776669214,57.260237776669214,454.52394137204215,-297.21582085128864,-354.47605862795785
2016-01-21,42.22,-824.0,44.28274707351848,113.4510890435164,537.4510890435164,57.21093791046815,57.21093791046815,480.24015113304824,-286.5489109564836,-343.75984886695176
2016-01-22,41.98,-763.0,44.24318725709376,124.47529914015689,487.4752991401569,57.18234398807152,57.18234398807152,430.29295515208537,-275.5247008598431,-332.70704484791463
2016-01-23,41.76,-770.0,44.20052758631683,134.22901724742582,504.2290172474258,57.16575951308148,57.16575951308148,447.06325773434435,-265.7709827525742,-322.93674226565565
2016-01-24,41.54,-703.0,44.15482131483006,143.81517231565329,446.8151723156533,57.15614051758726,57.15614051758726,389.65903179806605,-256.1848276843467,-313.34096820193395
2016-01-25,41.33,-276.0,44.10629257542466,152.69609164835643,28.69609164835643,57.15056150020061,28.69609164835643,0.0,-247.30390835164357,-276.0
2016-01-26,41.25,-339.0,44.05722317859922,154.39727482295726,93.39727482295726,88.52911361085401,88.52911361085401,4.868161212103246,-245.60272517704274,-334.13183878789675
2016-01-27,41.15,-111.0,44.007278824495515,157.1503353472534,0.0,95.34688589429533,0.0,0.0,-242.8496646527466,-242.8496646527466
2016-01-28,41.11,21.0,43.95750530844316,156.61279196437386,0.0,137.43994817640942,0.0,0.0,-243.38720803562614,-243.38720803562614
2016-01-29,41.11,83.0,43.90858687160489,153.92227793826893,0.0,178.69114921288121,0.0,0.0,-246.07772206173107,-246.07772206173107
2016-01-30,41.13,106.0,43.86085241226069,150.19688267433787,0.0,219.1173262286236,0.0,0.0,-249.80311732566213,-249.80311732566213
2016-01-31,41.16,1230.0,43.81445338440044,145.99493614202424,0.0,258.7349797040511,0.0,0.0,-254.00506385797576,-254.00506385797576
2016-02-01,41.5,1512.0,43.77469246056152,125.10808533088348,0.0,297.5602801099701,0.0,0.0,-274.89191466911655,-274.89191466911655
2016-02-02,41.93,-593.0,43.74300174822098,99.7150961521541,292.7150961521541,335.6090745077707,292.7150961521541,0.0,-300.2849038478459,-593.0
2016-02-03,41.76,92.0,43.70893496510283,107.1914230806556,0.0,235.81085455675367,0.0,0.0,-292.80857691934443,-292.80857691934443
2016-02-04,41.78,54.0,43.675797016957226,104.26883593264736,0.0,275.0946374656186,0.0,0.0,-295.73116406735267,-295.73116406735267
