family,sp_params,baseline,suppress_thresh,require_positive_pressure,min_run,n_expr,expr_frac,slope,intercept,corr,rmse_expr,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
HoldMean,"tol=3,hold=42,rate=0.0075",-100,100,True,3,108,0.05187319884726225,1.6383159836938503,365.52593696888516,0.4483573752310043,527.945698176592,-2.564430665112305,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",0,200,True,3,108,0.05187319884726225,1.6383159836938503,365.52593696888516,0.4483573752310043,527.945698176592,-2.564430665112305,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-300,0,False,3,704,0.3381364073006724,0.5533651426607146,479.41136925552064,0.21660363335725777,631.1729072995225,-2.571739011840117,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-200,100,False,3,704,0.3381364073006724,0.5533651426607146,479.41136925552064,0.21660363335725777,631.1729072995225,-2.571739011840117,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-100,200,False,3,704,0.3381364073006724,0.5533651426607146,479.41136925552064,0.21660363335725777,631.1729072995225,-2.571739011840117,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,0,False,1,899,0.43179634966378483,0.552519142803768,465.020692256368,0.273655700773542,585.124405769619,-2.576623817301115,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-100,100,False,1,899,0.43179634966378483,0.552519142803768,465.020692256368,0.273655700773542,585.124405769619,-2.576623817301115,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",0,200,False,1,899,0.43179634966378483,0.552519142803768,465.020692256368,0.273655700773542,585.124405769619,-2.576623817301115,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=3,hold=42,rate=0.0075",-300,0,False,7,493,0.2367915465898175,0.5522810622787605,522.6595387217926,0.17247589841611463,642.7058670725064,-2.5808214431541403,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-200,100,False,7,493,0.2367915465898175,0.5522810622787605,522.6595387217926,0.17247589841611463,642.7058670725064,-2.5808214431541403,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
