date,year,walk_regime,first_start,first_duration_min,second_duration_min,break_min,regime_duration_min,regime_distance_m,regime_steps,source_types
2021-09-01,2021,single_daylight_walk,2021-09-01 18:13:21,37.34,,,37.34,2591.51,3509.0,4.0
2021-09-02,2021,paired_daylight_walk,2021-09-02 15:20:09,41.82,24.55,8.12,66.37,4617.77,6246.0,4.0
2021-09-03,2021,paired_daylight_walk,2021-09-03 14:40:32,37.25,38.32,15.87,75.57,5437.45,7310.0,4.0
2021-09-05,2021,single_daylight_walk,2021-09-05 14:56:19,39.45,,,39.45,2752.18,3716.0,4.0
2021-09-07,2021,paired_daylight_walk,2021-09-07 13:25:30,42.45,37.15,8.45,79.6,5606.06,7546.0,4.0
2021-09-09,2021,paired_daylight_walk,2021-09-09 14:04:14,40.06,38.17,34.2,78.23,5488.8,7392.0,4.0
2021-09-15,2021,single_daylight_walk,2021-09-15 15:34:05,39.99,,,39.99,2785.14,3733.0,4.0
2021-09-16,2021,paired_daylight_walk,2021-09-16 14:26:09,36.42,36.47,19.75,72.89,5323.59,7120.0,4.0
2021-09-22,2021,borderline_paired_daylight_walk,2021-09-22 15:47:08,37.36,14.81,16.15,52.17,3688.47,5068.0,4.0
2021-09-24,2021,borderline_paired_daylight_walk,2021-09-24 16:25:11,35.6,19.77,20.53,55.37,4064.44,5513.0,4.0
2021-09-30,2021,single_daylight_walk,2021-09-30 15:04:20,38.57,,,38.57,2251.26,3585.0,4.0
2021-10-10,2021,paired_daylight_walk,2021-10-10 12:26:21,29.45,38.56,20.68,68.01,4436.11,5838.0,4.0
2021-12-05,2021,single_daylight_walk,2021-12-05 18:32:17,42.61,,,42.61,2473.98,3680.0,4.0
2021-12-16,2021,paired_daylight_walk,2021-12-16 14:30:50,38.23,37.34,27.13,75.57,5389.88,7226.0,4.0
2021-12-25,2021,single_daylight_walk,2021-12-25 13:38:35,32.27,,,32.27,2133.74,2863.0,4.0
2022-02-11,2022,single_daylight_walk,2022-02-11 15:15:00,21.73,,,21.73,1579.19,2099.0,4.0
2022-03-11,2022,paired_daylight_walk,2022-03-11 16:13:06,35.14,33.52,18.83,68.66,4626.27,6826.0,4.0
2022-03-12,2022,single_daylight_walk,2022-03-12 12:22:15,26.08,,,26.08,1282.88,1792.0,4.0
2022-03-14,2022,single_daylight_walk,2022-03-14 17:48:25,35.01,,,35.01,2528.12,3381.0,4.0
