half_life_days,surplus_window_days,r,abs_r,n
80,140,-0.9080013228751097,0.9080013228751097,3513
85,135,-0.90793156456999,0.90793156456999,3518
85,130,-0.9077914924475483,0.9077914924475483,3523
50,115,-0.9077496182074268,0.9077496182074268,3538
25,70,-0.9076329682561688,0.9076329682561688,3583
75,140,-0.907619989071849,0.907619989071849,3513
85,140,-0.9071732215829543,0.9071732215829543,3513
45,60,-0.9070722774730909,0.9070722774730909,3593
75,105,-0.9068372851320993,0.9068372851320993,3548
35,45,-0.906786264101076,0.906786264101076,3608
80,115,-0.9066587291073547,0.9066587291073547,3538
65,135,-0.9064580907990298,0.9064580907990298,3518
85,125,-0.906395430577051,0.906395430577051,3528
60,130,-0.9063738442012972,0.9063738442012972,3523
70,95,-0.9063711503149771,0.9063711503149771,3558
80,145,-0.9058435845378288,0.9058435845378288,3508
85,145,-0.9058228990687924,0.9058228990687924,3508
60,80,-0.9057550216194151,0.9057550216194151,3573
70,140,-0.9057067221893398,0.9057067221893398,3513
90,135,-0.9054054405474655,0.9054054405474655,3518
90,140,-0.90539166275221,0.90539166275221,3513
45,110,-0.9049493686021612,0.9049493686021612,3543
55,125,-0.9047774369982141,0.9047774369982141,3528
90,145,-0.9047746022098134,0.9047746022098134,3508
75,145,-0.9045734683180253,0.9045734683180253,3508
90,130,-0.9045185962805469,0.9045185962805469,3523
85,120,-0.9042237509043668,0.9042237509043668,3533
85,150,-0.9042064318933034,0.9042064318933034,3503
80,110,-0.9040851138930213,0.9040851138930213,3543
90,150,-0.9038733126722454,0.9038733126722454,3503
75,100,-0.9034540813241213,0.9034540813241213,3553
80,150,-0.9034426577579342,0.9034426577579342,3503
65,85,-0.9032556511620147,0.9032556511620147,3568
35,95,-0.9031558535902569,0.9031558535902569,3558
50,65,-0.9029638691317217,0.9029638691317217,3588
95,145,-0.9029092921428504,0.9029092921428504,3508
95,140,-0.9028602499051549,0.9028602499051549,3513
95,150,-0.90265994583152,0.90265994583152,3503
30,85,-0.9026399836268711,0.9026399836268711,3568
20,60,-0.9024659779203206,0.9024659779203206,3593
90,125,-0.902386621215007,0.902386621215007,3528
95,135,-0.9021999355244825,0.9021999355244825,3518
90,155,-0.9019179936206627,0.9019179936206627,3498
65,140,-0.9018543722939139,0.9018543722939139,3513
50,120,-0.9017753666006968,0.9017753666006968,3533
85,115,-0.9017107394831622,0.9017107394831622,3538
70,145,-0.9016830132573402,0.9016830132573402,3508
85,155,-0.9015226711415602,0.9015226711415602,3498
40,50,-0.9015094324736302,0.9015094324736302,3603
60,135,-0.9013694638626116,0.9013694638626116,3518
95,155,-0.9013692809057242,0.9013692809057242,3498
75,150,-0.9013127828418758,0.9013127828418758,3503
70,90,-0.9011402113856449,0.9011402113856449,3563
100,150,-0.900740985431197,0.900740985431197,3503
80,105,-0.9007200804363751,0.9007200804363751,3548
95,130,-0.9006391371499133,0.9006391371499133,3523
100,145,-0.9003958061348172,0.9003958061348172,3508
