com.samsung.shealth.activity.day_summary,6060029,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,29640000,2016-06-22 04:00:00.851,8059.648,135593,10335,6514407,1466553600000,OBFuvbOf82,6650000,183,com.sec.android.app.shealth,2016-06-23 21:43:18.620,1202657,5f550731-624a-4813-b6fe-425e24c31c9d,5f550731-624a-4813-b6fe-425e24c31c9d.extra_data.json,473.3884
0,60,32580000,2016-06-25 04:00:11.468,8937.813,194759,11308,6760669,1466812800000,OBFuvbOf82,6955428,191,com.sec.android.app.shealth,2016-06-26 14:49:27.545,868760,8ab19761-5da5-46aa-b818-2c78d39e89b9,8ab19761-5da5-46aa-b818-2c78d39e89b9.extra_data.json,504.95602
0,60,39000000,2016-08-23 04:00:02.731,3347.539,14898,4301,2758953,1471910400000,J9OOjwOhpg,2773851,75,com.sec.android.app.shealth,2016-08-25 02:14:36.948,180000,a5f7d338-9dfa-4b3f-b8a1-34f9b451d2e1,a5f7d338-9dfa-4b3f-b8a1-34f9b451d2e1.extra_data.json,195.31001
0,60,55320000,2015-05-16 04:00:03.571,44.280003,0,59,39353,1431734400000,ScgltublDV,39353,0,com.sec.android.app.shealth,2015-05-17 04:00:34.514,18676,613335d3-5e7d-4104-b8a5-7d5c78558006,613335d3-5e7d-4104-b8a5-7d5c78558006.extra_data.json,2.4900002
0,60,39180000,2015-08-03 04:00:15.282,6144.9004,39702,7602,4706699,1438560000000,ScgltublDV,4746401,130,com.sec.android.app.shealth,2015-08-04 04:01:19.574,1200000,3d73acf1-db82-4704-a38e-2d9e66ee2b02,3d73acf1-db82-4704-a38e-2d9e66ee2b02.extra_data.json,347.08566
0,60,26160000,2015-06-03 04:00:02.825,12230.539,1912471,13523,6129485,1433289600000,ScgltublDV,8041956,221,com.sec.android.app.shealth,2015-06-04 04:00:23.525,2033350,51bb6078-931b-44f3-ba7c-d3c382b1d4ff,51bb6078-931b-44f3-ba7c-d3c382b1d4ff.extra_data.json,848.8126
0,60,45060000,2016-01-22 05:00:00.942,1537.32,7600,1939,1243198,1453420800000,OBFuvbOf82,1250798,33,com.sec.android.app.shealth,2016-01-23 02:56:10.378,120000,5f13af6e-3e64-4535-bd7a-35002c46adf4,5f13af6e-3e64-4535-bd7a-35002c46adf4.extra_data.json,84.079994
0,60,42180000,2016-02-10 05:00:02.284,154.98999,4000,204,129398,1455062400000,OBFuvbOf82,133398,3,com.sec.android.app.shealth,2016-02-11 02:35:01.429,39486,c1c6d2ba-80a8-4b2e-af5d-03fe042266ba,c1c6d2ba-80a8-4b2e-af5d-03fe042266ba.extra_data.json,12.59
0,60,46080000,2016-06-17 04:00:00.477,9376.163,1395031,11010,4833555,1466121600000,OBFuvbOf82,6228586,171,com.sec.android.app.shealth,2016-06-19 17:25:42.032,2647699,c6c1e7a0-01f3-4a23-9003-4392aecf46c3,c6c1e7a0-01f3-4a23-9003-4392aecf46c3.extra_data.json,629.87476
0,60,36660000,2015-09-01 04:00:22.997,7039.672,90107,9054,5793781,1441065600000,TiXFQW5DKB,5883888,161,com.sec.android.app.shealth,2015-09-02 04:00:09.847,360000,2c2ffa60-e901-42a1-9ead-4547e6c9a9dc,2c2ffa60-e901-42a1-9ead-4547e6c9a9dc.extra_data.json,327.3432
0,60,33540000,2015-06-28 04:00:07.456,2285.2468,19918,2788,1782854,1435449600000,ScgltublDV,1802772,48,com.sec.android.app.shealth,2015-06-29 04:00:20.928,120000,404ba239-f720-4027-81a9-892b7191c816,404ba239-f720-4027-81a9-892b7191c816.extra_data.json,132.53917
0,60,38820000,2016-01-24 05:00:01.337,2293.4102,28000,2858,1833433,1453593600000,OBFuvbOf82,1861433,50,com.sec.android.app.shealth,2016-01-25 23:09:14.217,120000,d3664629-14b0-422b-a4be-6b75294f430c,d3664629-14b0-422b-a4be-6b75294f430c.extra_data.json,131.82999
