com.samsung.shealth.step_daily_trend,6060029,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-08-21 16:27:54.379,4798.3096,6195,0,1415318400000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.379,b9f1d1b5-ae21-4f51-afc9-981302233946.binning_data.json,b9f1d1b5-ae21-4f51-afc9-981302233946,262.34,com.sec.android.app.shealth
2019-08-21 16:27:54.379,2172.53,2752,0,1415404800000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.379,258110d3-c113-417c-9901-a7d7788c3a8a.binning_data.json,258110d3-c113-417c-9901-a7d7788c3a8a,119.89,com.sec.android.app.shealth
2019-08-21 16:27:54.380,356.57,478,0,1415491200000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.380,a7a997d4-40ea-41f8-9812-52e175e1a0e5.binning_data.json,a7a997d4-40ea-41f8-9812-52e175e1a0e5,20.56,com.sec.android.app.shealth
2019-08-21 16:27:54.380,11855.53,15226,0,1415577600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.380,dbd374f9-4f6c-45cb-9ec4-b89f2f0b6271.binning_data.json,dbd374f9-4f6c-45cb-9ec4-b89f2f0b6271,651.26,com.sec.android.app.shealth
2019-08-21 16:27:54.380,6837.57,8605,0,1415664000000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.380,23524212-5b47-4d4f-a340-bcb5d8a48819.binning_data.json,23524212-5b47-4d4f-a340-bcb5d8a48819,381.54,com.sec.android.app.shealth
2019-08-21 16:27:54.380,659.58,857,0,1415750400000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.380,f6b1b052-137c-4443-b18d-7a83da2e8045.binning_data.json,f6b1b052-137c-4443-b18d-7a83da2e8045,37.85,com.sec.android.app.shealth
2019-08-21 16:27:54.381,5644.749,7322,0,1415836800000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.381,e561ff68-53d7-4130-92b4-0e19b945d616.binning_data.json,e561ff68-53d7-4130-92b4-0e19b945d616,316.65015,com.sec.android.app.shealth
2019-08-21 16:27:54.381,5949.52,7450,0,1415923200000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.381,0a2062cb-daae-48b8-9640-ab4f97b2cd59.binning_data.json,0a2062cb-daae-48b8-9640-ab4f97b2cd59,348.38998,com.sec.android.app.shealth
2019-08-21 16:27:54.381,5289.05,6453,0,1416009600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.381,04539ef4-8822-4792-b623-2b7893a6028b.binning_data.json,04539ef4-8822-4792-b623-2b7893a6028b,316.42,com.sec.android.app.shealth
2019-08-21 16:27:54.381,12639.279,15496,0,1416096000000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.381,9732c67c-c35d-44e9-8a84-4c5b35fbe0a4.binning_data.json,9732c67c-c35d-44e9-8a84-4c5b35fbe0a4,713.27997,com.sec.android.app.shealth
