com.samsung.shealth.sleep_data,6225039,4
start_time,update_time,create_time,sleep_uuid,sleep_status,time_offset,deviceuuid,comment,pkg_name,json_version,datauuid
2018-03-13 07:15:00.000,2018-03-13 09:30:14.290,2018-03-13 09:30:14.290,b39389e2-89b6-afb7-ebaa-26ddfeb097ae,57f9564c-f7cb-4c28-2fb3-e2f483c99607.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,57f9564c-f7cb-4c28-2fb3-e2f483c99607,
2018-05-11 21:46:00.000,2018-05-11 23:17:19.297,2018-05-11 23:17:19.297,ff364216-7a98-da22-c5d1-5679d5b61621,ec199bf0-99ed-6eef-ee43-6cde46de1458.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,ec199bf0-99ed-6eef-ee43-6cde46de1458,
2017-10-09 17:37:00.000,2017-10-09 19:09:13.249,2017-10-09 19:09:13.249,6bf05a01-1c65-72c1-4298-f617f3a96358,6d48266a-5cde-aedd-8cb4-d5e1afd35919.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,6d48266a-5cde-aedd-8cb4-d5e1afd35919,
2017-10-20 01:05:00.000,2017-10-20 03:16:11.760,2017-10-20 03:16:11.760,a18077c1-cac0-ce66-f450-ec0bafa2ce38,72ffe26c-8fdb-7f86-be83-9ad3ed2f352d.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,72ffe26c-8fdb-7f86-be83-9ad3ed2f352d,
2017-03-28 20:17:00.000,2017-03-29 00:05:01.730,2017-03-29 00:05:01.730,5669c2c4-ce2a-4b6b-7044-f16aa9e93a56,a5b33b67-5853-28ff-9d89-638e67dffaa5.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,a5b33b67-5853-28ff-9d89-638e67dffaa5,
2017-10-02 23:08:00.000,2017-10-03 07:54:17.522,2017-10-03 07:54:17.522,8687380d-ce57-6cb2-4818-e8b3a7e2bee3,23f2cc59-204d-a987-5245-c3cb4dbfb88a.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,23f2cc59-204d-a987-5245-c3cb4dbfb88a,
2017-10-04 20:30:00.000,2017-10-04 23:14:07.176,2017-10-04 23:14:07.176,2bc161e8-58c0-a9cd-e104-8309a6fc1c09,646db6ed-0df2-df90-4614-8ed701f23689.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,646db6ed-0df2-df90-4614-8ed701f23689,
2018-05-11 19:06:00.000,2018-05-11 20:12:51.629,2018-05-11 20:12:51.629,c285a35e-c919-5a6f-f529-a00b7c751cfd,ff4b575e-e70b-54e2-c1f3-239e98db3ad7.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,ff4b575e-e70b-54e2-c1f3-239e98db3ad7,
2020-03-02 02:09:00.000,2020-03-03 17:30:29.387,2020-03-03 17:30:29.387,b44be377-bd75-0bda-c666-fee71058bc21,72707112-1532-0192-4456-615ad47eb810.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,72707112-1532-0192-4456-615ad47eb810,
2017-03-01 06:00:00.000,2017-03-01 08:14:22.255,2017-03-01 08:14:22.255,7078bb3e-f98f-80bc-577e-218d941e7c9f,f66c72b2-709e-d19a-1435-e9d27fe50080.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,f66c72b2-709e-d19a-1435-e9d27fe50080,
2018-03-05 15:03:00.000,2018-03-05 16:23:09.325,2018-03-05 16:23:09.325,1073bb8c-1fc4-c54c-553d-7c586796a5c5,aa1f928a-9cb2-cf77-a174-a607f1d15b78.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,aa1f928a-9cb2-cf77-a174-a607f1d15b78,
2017-09-06 03:00:00.000,2017-09-06 07:10:51.304,2017-09-06 07:10:51.304,cbde298c-dc0b-3d2f-fc68-0264be958432,8f605a88-6fae-ba18-d658-519df46cfa59.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,8f605a88-6fae-ba18-d658-519df46cfa59,
2017-10-11 03:14:00.000,2017-10-11 06:24:50.253,2017-10-11 06:24:50.253,9801f993-94cb-3c71-50f1-b3a8d05708b2,47f34475-82d4-9353-d5bd-aa60d5a52840.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,47f34475-82d4-9353-d5bd-aa60d5a52840,
2019-06-07 12:47:00.000,2019-07-05 23:01:32.314,2019-07-05 23:01:32.314,a5cd2ebc-d8a0-d918-c3f3-1ed8a1a6df47,def91f87-3745-8a1e-827b-51a16fccaf17.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,def91f87-3745-8a1e-827b-51a16fccaf17,
