com.samsung.health.exercise,6060029,13
max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,,,4.20675,,,,7FBCXSeqw+,4974293,2015-05-04 23:39:40.277,9b8d7030-4699-a483-31dc-8f0f597c7429,,,,,,0.0,,2014-06-13 21:50:46.936,UTC+0100,0.845698,135.0,,,0.0,,2014-06-13 23:13:41.229,2.912,1002,2014-06-13 21:50:46.936,,com.sec.android.app.shealth,,,310.529,,183.0,,
,f5c5c82e-636e-4a1f-55f0-c134df5a647e.live_data.json,,3856.881,,,,ROm+XQMkto,3177000,2016-06-29 01:35:09.237,f5c5c82e-636e-4a1f-55f0-c134df5a647e,f5c5c82e-636e-4a1f-55f0-c134df5a647e.location_data.json,429.033,,,589.184,293.995,,2016-06-29 01:35:06.641,UTC-0300,1.087,137.0,,,249.41,,2016-06-29 01:35:06.538,2.5,1001,2016-06-29 00:42:09.550,,com.sec.android.app.shealth,,67.0,211.0,,194.0,,
,a9f3f469-d740-f09f-d45f-25d1df96b44b.live_data.json,,1607.1,,,,PEzvKidhug,1622315,2017-09-09 21:55:42.175,a9f3f469-d740-f09f-d45f-25d1df96b44b,a9f3f469-d740-f09f-d45f-25d1df96b44b.location_data.json,,,,,,0.0,2017-09-09 21:55:42.175,UTC-0300,1.1100223,0.0,,,,,2017-09-09 21:54:42.526,1.3611112,1001,2017-09-09 21:27:40.211,,com.sec.android.app.shealth,,0.0,105.31,,0.0,0.0,
,74cb237c-b02e-7010-3e3d-a05aa59c10b3.live_data.json,,4562.22,,,,VkNqn5W6aG,1805000,2015-11-19 02:54:31.835,74cb237c-b02e-7010-3e3d-a05aa59c10b3,74cb237c-b02e-7010-3e3d-a05aa59c10b3.location_data.json,,,,,262.04,,2015-07-16 00:37:53.536,UTC-0300,2.53,130.0,,,243.79,,2015-07-15 23:50:50.482,3.815,1002,2015-07-15 23:20:45.482,,com.sec.android.app.shealth,,55.0,375.164,,169.0,,
,d193a444-e60e-2fd9-fd8c-2d117d51d972.live_data.json,,4461.379,,,,PEzvKidhug,3200019,2017-03-09 22:21:07.572,d193a444-e60e-2fd9-fd8c-2d117d51d972,d193a444-e60e-2fd9-fd8c-2d117d51d972.location_data.json,753.539,,,729.178,298.226,0.0,2017-03-09 20:35:09.191,UTC-0400,1.3941722,136.0,,,265.741,,2017-03-09 20:35:09.048,2.393,1001,2017-03-09 19:41:42.285,,com.sec.android.app.shealth,,75.0,291.316,,162.0,0.0,
,4eb7307a-a88f-47b7-89c3-664134c03fae.live_data.json,,,,,,PEzvKidhug,600000,2018-07-01 15:59:20.328,4eb7307a-a88f-47b7-89c3-664134c03fae,4eb7307a-a88f-47b7-89c3-664134c03fae.location_data.json,,,,,,0.0,2018-07-01 15:59:20.328,UTC-0300,,0.0,,,,,2018-07-01 15:58:33.271,,11007,2018-07-01 15:48:33.271,,com.sec.android.app.shealth,,0.0,120.655,,0.0,0.0,
,1114ea16-5749-6c7d-9edf-fd4cb3846f97.live_data.json,,2951.94,,,,VkNqn5W6aG,1096000,2015-11-19 02:54:32.569,1114ea16-5749-6c7d-9edf-fd4cb3846f97,,,,,,0.0,,2015-08-12 00:36:50.831,UTC-0300,2.696,154.0,,,0.0,,2015-08-12 00:07:41.240,2.876,1002,2015-08-11 23:49:25.240,,com.sec.android.app.shealth,,98.0,242.764,,175.0,,
,b2d66068-0fef-8022-ba3a-251eb4b91c45.live_data.json,,2349.748,,,,PEzvKidhug,2017119,2017-10-26 22:19:17.778,b2d66068-0fef-8022-ba3a-251eb4b91c45,b2d66068-0fef-8022-ba3a-251eb4b91c45.location_data.json,649.056,,,638.674,291.578,0.0,2017-10-26 22:19:13.408,UTC-0300,1.1665565,136.0,,,238.082,,2017-10-26 22:19:13.114,2.243,1001,2017-10-26 21:45:06.045,,com.sec.android.app.shealth,,78.0,214.153,,157.0,0.0,
,70bd79a9-bb6a-6547-7348-756b2e5ece51.live_data.json,,4014.123,,,,ROm+XQMkto,1536000,2016-06-21 00:50:33.508,70bd79a9-bb6a-6547-7348-756b2e5ece51,70bd79a9-bb6a-6547-7348-756b2e5ece51.location_data.json,1257.349,,,1572.06,262.28162,,2016-06-21 00:19:33.339,UTC-0300,2.652,191.0,,,236.90561,,2016-06-21 00:19:33.238,3.675,1002,2016-06-20 23:53:57.371,,com.sec.android.app.shealth,,100.0,334.0,,245.0,,
,7fda6e4c-d69a-1996-fc6a-31ce93a2c859.live_data.json,,1218.25,,,,PEzvKidhug,1178749,2017-05-24 00:43:22.516,7fda6e4c-d69a-1996-fc6a-31ce93a2c859,7fda6e4c-d69a-1996-fc6a-31ce93a2c859.location_data.json,,,,,,0.0,2017-05-24 00:43:22.516,UTC-0400,1.0603876,0.0,,,,,2017-05-24 00:42:20.588,1.2222222,1001,2017-05-24 00:22:41.839,,com.sec.android.app.shealth,,0.0,75.62,,0.0,0.0,
