com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
a5cd2ebc-d8a0-d918-c3f3-1ed8a1a6df47,83.0,,,1,com.sec.android.app.shealth,1562367692338,UTC+0400,1559915700000,,,,PEzvKidhug,a5cd2ebc-d8a0-d918-c3f3-1ed8a1a6df47.extra_data.json,1559911620000,1562367692338,
0bae7ab7-aaa9-627d-b347-a9bec3b65adb,98.5,,,1,com.sec.android.app.shealth,1504580021306,UTC-0300,1504579140000,,,,PEzvKidhug,,1504567200000,1504580021306,
1073bb8c-1fc4-c54c-553d-7c586796a5c5,95.454544,,,1,com.sec.android.app.shealth,1520266989342,UTC-0400,1520266080000,,,,PEzvKidhug,,1520262180000,1520266989342,
d9940508-7bde-49f0-acd2-ba6718c40feb,0.0,,,,com.sec.android.app.shealth,1488988034234,UTC-0500,1488464400000,,,0,Q2GTsbBv8Q,,1488439200000,1488988034234,
e81d4b70-2c29-4560-b00a-330acf951311,0.0,,,,com.sec.android.app.shealth,1558123719618,UTC-0300,1558107600000,,,0,4V/TlqPcbG,,1558085400000,1558123719618,
6595c488-8e0c-4d3b-907c-19cc87264eb0,0.0,,,,com.sec.android.app.shealth,1522969093313,UTC-0300,1522937400000,,,0,9wVta8KBzt,,1522915200000,1522969093313,
9d32d634-0eea-4fb1-b44b-2eba2df1c79b,0.0,,,,com.sec.android.app.shealth,1506467666687,UTC-0300,1506432600000,,,0,EHdtKydEi4,,1506406800000,1506467666687,
1bbf2e3f-5d0d-40d2-a0e8-d5550ced7ae2,0.0,,,,com.sec.android.app.shealth,1505771272772,UTC-0300,1505660400000,,,0,EHdtKydEi4,,1505631600000,1505771272772,
1c494656-c1c1-4501-abcf-fa916428b99f,0.0,,,,com.sec.android.app.shealth,1513807315355,UTC-0400,1513786200000,,,0,EHdtKydEi4,,1513746600000,1513807315355,
fcbbd2f0-9373-4c06-9a12-0c272337ed7e,0.0,,,,com.sec.android.app.shealth,1543164465724,UTC-0400,1543164459795,,,0,Mz5pMh3q+T,,1543121400000,1543164465724,
b5e5e9f7-dd32-4b29-8e1e-3ab7268dbb19,0.0,,,,com.sec.android.app.shealth,1484869951188,UTC-0400,1484408400000,,,0,Q2GTsbBv8Q,,1484373600000,1484869951188,
4b64bd27-f7b0-4db9-901a-88752f251e1b,0.0,,,,com.sec.android.app.shealth,1506467685954,UTC-0300,1506184200000,,,0,EHdtKydEi4,,1506146400000,1506467685954,
89e66456-a15c-4798-be1b-56a7f31d9380,0.0,,,,com.sec.android.app.shealth,1542125928093,UTC-0400,1542121200000,,,0,Mz5pMh3q+T,,1542098400000,1542125928093,
4fd283ca-e76a-4c30-8ec7-9cb3019d8678,0.0,,,,com.sec.android.app.shealth,1488988026077,UTC-0500,1488636000000,,,0,Q2GTsbBv8Q,,1488609000000,1488988026077,
71c95ea9-0c64-433d-a8f4-d431faa76355,0.0,,,,com.sec.android.app.shealth,1555687999673,UTC-0300,1555681800000,,,0,4V/TlqPcbG,,1555655400000,1555687999673,
e93c98ba-896c-f2ae-6608-357dfe7fd89b,97.560974,,,1,com.sec.android.app.shealth,1507523758280,UTC-0300,1507522860000,,,,PEzvKidhug,,1507515540000,1507523758280,
