com.samsung.health.step_count,6060029,6
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2019-08-22 23:43:30.477,2.94,UTC-0300,,5,2019-08-22 23:41:59.999,0.8333333,PEzvKidhug,2019-08-22 23:41:00.000,com.sec.android.app.shealth,2019-08-22 23:43:30.477,58503ac7-d6a8-a5c0-95f3-84a9e79c180f,0.21,230002
2019-08-22 23:49:52.491,22.27,UTC-0300,,34,2019-08-22 23:47:59.999,1.0555556,PEzvKidhug,2019-08-22 23:47:00.000,com.sec.android.app.shealth,2019-08-22 23:49:52.491,37af5bd0-c2f7-d57c-11bf-1aec4eb7168c,1.46,230002
2019-08-22 23:49:52.506,39.09,UTC-0300,,69,2019-08-22 23:48:59.999,0.8888889,PEzvKidhug,2019-08-22 23:48:00.000,com.sec.android.app.shealth,2019-08-22 23:49:52.506,f4071694-879b-0959-1874-53541e9340a2,2.77,230002
2019-08-22 23:49:52.517,8.71,UTC-0300,,15,2019-08-22 23:49:59.999,0.6388889,PEzvKidhug,2019-08-22 23:49:00.000,com.sec.android.app.shealth,2019-08-22 23:49:52.517,ffa317cb-5091-0473-74c2-7fe9e2895279,0.63,230002
2019-08-23 00:08:02.606,22.61,UTC-0300,,39,2019-08-22 23:57:59.999,0.8611111,PEzvKidhug,2019-08-22 23:57:00.000,com.sec.android.app.shealth,2019-08-23 00:08:02.606,71ddc8d8-9bd6-e5b0-b622-8fe37f98e6f0,1.57,230002
2019-08-23 00:08:02.611,26.73,UTC-0300,,48,2019-08-22 23:58:59.999,0.8888889,PEzvKidhug,2019-08-22 23:58:00.000,com.sec.android.app.shealth,2019-08-23 00:08:02.611,866914a7-2a05-0a01-15fd-6ef638322cd9,1.96,230002
2019-08-23 00:08:02.616,20.29,UTC-0300,,37,2019-08-23 00:00:59.999,0.8611111,PEzvKidhug,2019-08-23 00:00:00.000,com.sec.android.app.shealth,2019-08-23 00:08:02.616,3c447182-bcf0-9a87-c9de-b9accae428ec,1.49,230002
2019-08-23 00:08:02.621,56.82,UTC-0300,,89,2019-08-23 00:01:59.999,0.9722222,PEzvKidhug,2019-08-23 00:01:00.000,com.sec.android.app.shealth,2019-08-23 00:08:02.621,1b021ee7-799a-5247-5299-6139dae6cb01,3.79,230002
2019-08-23 00:08:02.626,11.56,UTC-0300,,18,2019-08-23 00:02:59.999,1.25,PEzvKidhug,2019-08-23 00:02:00.000,com.sec.android.app.shealth,2019-08-23 00:08:02.627,25f08a35-b313-dc7b-f44c-f86f621a4bcb,0.77,230002
2019-08-23 00:15:01.227,30.45,UTC-0300,,59,2019-08-23 00:08:59.999,0.8055556,PEzvKidhug,2019-08-23 00:08:00.000,com.sec.android.app.shealth,2019-08-23 00:15:01.228,9cf7e432-d0f4-efe0-4828-c912dc5a6835,2.33,230002
2019-08-23 00:15:01.236,16.54,UTC-0300,,29,2019-08-23 00:12:59.999,1.0833334,PEzvKidhug,2019-08-23 00:12:00.000,com.sec.android.app.shealth,2019-08-23 00:15:01.237,69dd29c9-ebe7-ea7d-ed2f-c0ac72d920a8,1.19,230002
2019-08-23 00:15:01.249,24.08,UTC-0300,,40,2019-08-23 00:14:59.999,0.9444444,PEzvKidhug,2019-08-23 00:14:00.000,com.sec.android.app.shealth,2019-08-23 00:15:01.250,f48742af-4a85-4a45-9f7e-94b9578f079d,1.69,230002
